index,name,color,dimensions,filename,product_url,glb_url
1,MAMMUT Children's chair - in/outdoor/lilac,lilac,"{""width"": ""39 cm"", ""depth"": ""36 cm"", ""height"": ""67 cm"", ""seat_width"": ""30 cm"", ""seat_depth"": ""26 cm"", ""seat_height"": ""30 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\01 - MAMMUT Children's chair - inoutdoorlilac.glb,https://www.ikea.com/fi/en/p/mammut-childrens-chair-in-outdoor-lilac-90581990/,https://web-api.ikea.com/dimma/assets/1.2/90581990/PS01_S01_NV01/rqp1/glb/6ac5b2e1d4b269611fbb4d1135f4a5ec-90581990_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
2,MAMMUT Children's chair - in/outdoor/bright green,green,"{""width"": ""39 cm"", ""depth"": ""36 cm"", ""height"": ""67 cm"", ""seat_width"": ""30 cm"", ""seat_depth"": ""26 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\02 - MAMMUT Children's chair - inoutdoorbright green.glb,https://www.ikea.com/fi/en/p/mammut-childrens-chair-in-outdoor-bright-green-70581986/,https://web-api.ikea.com/dimma/assets/1.2/70581986/PS01_S01_NV01/rqp1/glb/70581986_PS01_S01_NV01_RQP1_4.0_139724647a3c493eaa545ad235cb5356.glb?cn=pip
3,MAMMUT Children's chair - in/outdoor/light blue,blue,"{""width"": ""39 cm"", ""depth"": ""36 cm"", ""height"": ""67 cm"", ""seat_width"": ""30 cm"", ""seat_depth"": ""26 cm"", ""seat_height"": ""30 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\03 - MAMMUT Children's chair - inoutdoorlight blue.glb,https://www.ikea.com/fi/en/p/mammut-childrens-chair-in-outdoor-light-blue-30581988/,https://web-api.ikea.com/dimma/assets/1.2/30581988/PS01_S01_NV01/rqp1/glb/30581988_PS01_S01_NV01_RQP1_4.0_bc73599ef7e44163b1c4506cff12ef22.glb?cn=pip
4,UTTER Children's stool - in/outdoor/white,white,"{""width"": ""28 cm"", ""depth"": ""28 cm"", ""height"": ""27 cm"", ""seat_width"": ""28 cm"", ""seat_depth"": ""28 cm"", ""seat_height"": ""27 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\04 - UTTER Children's stool - inoutdoorwhite.glb,https://www.ikea.com/fi/en/p/utter-childrens-stool-in-outdoor-white-50357785/,https://web-api.ikea.com/dimma/assets/1.2/50357785/PS01_S01_NV01/iqp1/glb/cd1b3f40d6e24ec0a0469b7b4daf9d4f-50357785_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
5,GREJSIMOJS Cover for children's chair - faux fur/pink,,"{""width"": ""40 cm"", ""height"": ""6 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\05 - GREJSIMOJS Cover for children's chair - faux furpink.glb,https://www.ikea.com/fi/en/p/grejsimojs-cover-for-childrens-chair-faux-fur-pink-70602007/,https://web-api.ikea.com/dimma/assets/1.2/70602007/PS01_S01_NV01/rqp1/glb/9437fadc65dc968b94df8aa0c3b9f6dd-70602007_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,GREJSIMOJS Cover for children's chair - faux fur/blue,,"{""width"": ""40 cm"", ""height"": ""6 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\06 - GREJSIMOJS Cover for children's chair - faux furblue.glb,https://www.ikea.com/fi/en/p/grejsimojs-cover-for-childrens-chair-faux-fur-blue-30604367/,https://web-api.ikea.com/dimma/assets/geomagical/30604367/PS01_S01_NV_01/simple/glb/92891236ada5f4e771fdae8fef4455ce-G-30604367-7e68ad6489fae949034d5d7e37c7efc8ecd67e86-simple.glb?cn=pip
7,MAMMUT Children's stool - in/outdoor/red,red,"{""width"": ""35 cm"", ""height"": ""30 cm"", ""seat_height"": ""30 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\07 - MAMMUT Children's stool - inoutdoorred.glb,https://www.ikea.com/fi/en/p/mammut-childrens-stool-in-outdoor-red-70581991/,https://web-api.ikea.com/dimma/assets/1.2/70581991/PS01_S01_NV01/rqp1/glb/70581991_PS01_S01_NV01_RQP1_4.0_77e232f69ec949878bcca7552b7c46b5.glb?cn=pip
8,PUGGEHATT Seat pad - dot pattern/round,grey,"{""height"": ""3 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\08 - PUGGEHATT Seat pad - dot patternround.glb,https://www.ikea.com/fi/en/p/puggehatt-seat-pad-dot-pattern-round-50613605/,https://web-api.ikea.com/dimma/assets/1.2/50613605/PS01_S01_NV01/rqp1/glb/b7c201b1ba6c3f6257fbd51bb127bd80-50613605_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
9,FLISAT Children's stool - pine,beige,"{""width"": ""32 cm"", ""depth"": ""32 cm"", ""height"": ""28 cm"", ""seat_width"": ""26 cm"", ""seat_depth"": ""26 cm"", ""seat_height"": ""28 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\09 - FLISAT Children's stool - pine.glb,https://www.ikea.com/fi/en/p/flisat-childrens-stool-pine-30596536/,https://web-api.ikea.com/dimma/assets/1.2/30596536/LPT_S01_NV01/rqp1/glb/43bae4e664bf75a60ef86c5ac6df9d9f-30596536_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
10,SUNDVIK Children's chair - white,white,"{""width"": ""28 cm"", ""depth"": ""29 cm"", ""height"": ""55 cm"", ""seat_width"": ""28 cm"", ""seat_depth"": ""26 cm"", ""seat_height"": ""29 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\10 - SUNDVIK Children's chair - white.glb,https://www.ikea.com/fi/en/p/sundvik-childrens-chair-white-60196358/,https://web-api.ikea.com/dimma/assets/1.2/60196358/PS01_S01_NV01/iqp1/glb/ede14bf7e4b3482cafb55b06bae5824a-60196358_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
11,KRITTER Children's chair - white,white,"{""width"": ""27 cm"", ""depth"": ""29 cm"", ""height"": ""53 cm"", ""seat_width"": ""27 cm"", ""seat_depth"": ""29 cm"", ""seat_height"": ""30 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\11 - KRITTER Children's chair - white.glb,https://www.ikea.com/fi/en/p/kritter-childrens-chair-white-40153699/,https://web-api.ikea.com/dimma/assets/1.2/40153699/PS01_S01_NV01/iqp1/glb/85fc97bc1bd84f00a9048426aa4ab869-40153699_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
12,TROGEN Children's step stool - yellow 40x38x33 cm,yellow,"{""width"": ""40 cm"", ""depth"": ""38 cm"", ""height"": ""33 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\12 - TROGEN Children's step stool - yellow 40x38x33 cm.glb,https://www.ikea.com/fi/en/p/trogen-childrens-step-stool-yellow-80371520/,https://web-api.ikea.com/dimma/assets/1.2/80371520/PS01_S01_NV01/iqp1/glb/b17953d98d284313bc86932a792061e4-80371520_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
13,SANDLÖPARE Stool cover - black white/zebra pattern 38 cm,"black, white","{""height"": ""8 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\13 - SANDLÖPARE Stool cover - black whitezebra pattern 38 cm.glb,https://www.ikea.com/fi/en/p/sandloepare-stool-cover-black-white-zebra-pattern-80603209/,https://web-api.ikea.com/dimma/assets/1.2/80603209/PS01_S01_NV01/rqp1/glb/81682a30e4bfcdff74420f1fdb68a2ff-80603209_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
14,FÖRSIKTIG Children's stool - white/turquoise,"turquoise, white","{""width"": ""37 cm"", ""depth"": ""24 cm"", ""height"": ""13 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\14 - FÖRSIKTIG Children's stool - whiteturquoise.glb,https://www.ikea.com/fi/en/p/foersiktig-childrens-stool-white-turquoise-10591318/,https://web-api.ikea.com/dimma/assets/1.2/10591318/PS01_S01_NV01/rqp1/glb/a1f07e4455ba6990ab8fb0bfe8461bd9-10591318_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
15,BOLMEN Step stool - white,white,"{""width"": ""44 cm"", ""depth"": ""35 cm"", ""height"": ""25 cm"", ""seat_height"": ""25 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\15 - BOLMEN Step stool - white.glb,https://www.ikea.com/fi/en/p/bolmen-step-stool-white-70574429/,https://web-api.ikea.com/dimma/assets/1.2/70574429/PS01_S01_NV01/rqp1/glb/70574429_PS01_S01_NV01_RQP1_4.0_9a8de907152e48d1a3a52a42a3e5eac9.glb?cn=pip
16,SANDLÖPARE Stool cover - beige brown/giraffe pattern 38 cm,"beige, brown","{""height"": ""8 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\16 - SANDLÖPARE Stool cover - beige browngiraffe pattern 38 cm.glb,https://www.ikea.com/fi/en/p/sandloepare-stool-cover-beige-brown-giraffe-pattern-80603233/,https://web-api.ikea.com/dimma/assets/1.2/80603233/PS01_S01_NV01/rqp1/glb/9cd51479870dee91841aedb039ea7c52-80603233_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
17,SMÅSKRAKE Multi-functional child chair/table - green,green,"{""width"": ""39 cm"", ""depth"": ""39 cm"", ""height"": ""39 cm"", ""seat_width"": ""36 cm"", ""seat_depth"": ""32 cm"", ""seat_height"": ""16 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\17 - SMÅSKRAKE Multi-functional child chairtable - green.glb,https://www.ikea.com/fi/en/p/smaskrake-multi-functional-child-chair-table-green-60569744/,https://web-api.ikea.com/dimma/assets/1.2/60569744/PS01_S01_NV01/rqp1/glb/60569744_PS01_S01_NV01_RQP1_4.0_a746518178f14ae6bf51c7379c77f28a.glb?cn=pip
18,POÄNG Children's armchair - birch veneer/Skogbo animal pattern,,"{""width"": ""47 cm"", ""depth"": ""56 cm"", ""height"": ""68 cm"", ""seat_width"": ""38 cm"", ""seat_depth"": ""36 cm"", ""seat_height"": ""24 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\18 - POÄNG Children's armchair - birch veneerSkogbo animal pattern.glb,https://www.ikea.com/fi/en/p/poaeng-childrens-armchair-birch-veneer-skogbo-animal-pattern-s19598914/,https://web-api.ikea.com/dimma/assets/geomagical/19598914/PS01_S01_NV_01/simple/glb_draco/6b7fdaca98855a0f9689d0c0cb6d5b55-G-19598914-669bd883aa5b03ca9403ad45669620bc3e88d2e1-simple+draco.glb?cn=pip
19,POÄNG Children's armchair - birch veneer/Knisa light beige,beige,"{""width"": ""47 cm"", ""depth"": ""56 cm"", ""height"": ""68 cm"", ""seat_width"": ""38 cm"", ""seat_depth"": ""36 cm"", ""seat_height"": ""24 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\19 - POÄNG Children's armchair - birch veneerKnisa light beige.glb,https://www.ikea.com/fi/en/p/poaeng-childrens-armchair-birch-veneer-knisa-light-beige-s49412561/,https://web-api.ikea.com/dimma/assets/1.2/49412561/PS01_S01_NV01/isp1/glb_draco/49412561_PS01_S01_NV01_ISP1_2.0_1a45441852d04275b3404b160cc9edb0.glb?cn=pip
20,GREJSIMOJS Pouffe with storage - yellow,,"{""width"": ""57 cm"", ""depth"": ""32 cm"", ""height"": ""24 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\20 - GREJSIMOJS Pouffe with storage - yellow.glb,https://www.ikea.com/fi/en/p/grejsimojs-pouffe-with-storage-yellow-10603180/,https://web-api.ikea.com/dimma/assets/1.2/10603180/PS01_S01_NV01/rqp1/glb/7ff5e757fb7a3c0b6fbc25ab7671af30-10603180_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
21,IKEA PS LÖMSK Swivel armchair - white/red,"red, white","{""width"": ""59 cm"", ""depth"": ""62 cm"", ""height"": ""75 cm"", ""seat_height"": ""17 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\21 - IKEA PS LÖMSK Swivel armchair - whitered.glb,https://www.ikea.com/fi/en/p/ikea-ps-loemsk-swivel-armchair-white-red-10407136/,https://web-api.ikea.com/dimma/assets/1.2/10407136/PS01_S01_NV01/isp1/glb/10407136_PS01_S01_NV01_ISP1_2.0_81142472b6d7494a8515ab0bd8708aea.glb?cn=pip
22,GREJSIMOJS Children's stool - moose shaped,,"{""width"": ""29 cm"", ""depth"": ""44 cm"", ""height"": ""28 cm"", ""seat_width"": ""20 cm"", ""seat_height"": ""28 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\22 - GREJSIMOJS Children's stool - moose shaped.glb,https://www.ikea.com/fi/en/p/grejsimojs-childrens-stool-moose-shaped-50598959/,https://web-api.ikea.com/dimma/assets/1.2/50598959/PS01_S01_NV01/rqp1/glb/a6a0e32d65da72411253f66f88d138a6-50598959_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
23,FLISAT Children's bench - height adjustable/green,"beige, white","{""width"": ""61 cm"", ""depth"": ""36 cm"", ""height"": ""47 cm"", ""seat_width"": ""48 cm"", ""seat_depth"": ""30 cm"", ""seat_height"": ""32 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\23 - FLISAT Children's bench - height adjustablegreen.glb,https://www.ikea.com/fi/en/p/flisat-childrens-bench-height-adjustable-green-90609178/,https://web-api.ikea.com/dimma/assets/1.2/90609178/PS01_S01_NV01/rqp1/glb/332030069f3cd4fec197339985b0930e-90609178_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
24,POÄNG Children's armchair frame - birch veneer,beige,"{""width"": ""47 cm"", ""depth"": ""56 cm"", ""height"": ""68 cm"", ""seat_width"": ""38 cm"", ""seat_depth"": ""29 cm"", ""seat_height"": ""24 cm""}",downloaded-files\兒童家具\fi-kids-chairs-stools\24 - POÄNG Children's armchair frame - birch veneer.glb,https://www.ikea.com/fi/en/p/poaeng-childrens-armchair-frame-birch-veneer-80418056/,https://web-api.ikea.com/dimma/assets/1.2/80418056/PS01_S01_NV01/isp1/glb_draco/80418056_PS01_S01_NV01_ISP1_2.0_aa5e5096e8114c61a6f5dd5cbbd3f457.glb?cn=pip
