index,name,color,dimensions,filename,product_url,glb_url
1,"MORUM Rug flatwoven, in/outdoor - dark grey 80x200 cm",grey,"{""width"": ""80 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\01 - MORUM Rug flatwoven, inoutdoor - dark grey 80x200 cm.glb",https://www.ikea.com/fi/en/p/morum-rug-flatwoven-in-outdoor-dark-grey-10203573/,https://web-api.ikea.com/dimma/assets/1.2/10203573/PS01_S01_NV01/rqp1/glb/a362c9ce78634f9799f280a35ba18500-10203573_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
2,"MORUM Rug flatwoven, in/outdoor - beige 80x250 cm",beige,"{""width"": ""80 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\02 - MORUM Rug flatwoven, inoutdoor - beige 80x250 cm.glb",https://www.ikea.com/fi/en/p/morum-rug-flatwoven-in-outdoor-beige-00624164/,https://web-api.ikea.com/dimma/assets/1.2/00624164/PS01_S01_NV01/rqp1/glb/dfc654c633d1a44b32c2ed292a01fc22-00624164_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
3,"MORUM Rug flatwoven, in/outdoor - dark green 80x250 cm",green,"{""width"": ""80 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\03 - MORUM Rug flatwoven, inoutdoor - dark green 80x250 cm.glb",https://www.ikea.com/fi/en/p/morum-rug-flatwoven-in-outdoor-dark-green-20624177/,https://web-api.ikea.com/dimma/assets/1.2/20624177/PS01_S01_NV01/rqp1/glb/2bd4e95a85abbab764fc4d4865c14d8d-20624177_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
4,"LOHALS Rug, flatwoven - natural 80x150 cm",beige,"{""width"": ""80 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\04 - LOHALS Rug, flatwoven - natural 80x150 cm.glb",https://www.ikea.com/fi/en/p/lohals-rug-flatwoven-natural-20307481/,https://web-api.ikea.com/dimma/assets/1.2/20307481/PS01_S01_NV01/rqp1/glb/d32e11f0dd8444a69cf1375389b6ea8b-20307481_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
5,"TIPHEDE Rug, flatwoven - natural/black 50x80 cm","beige, black","{""width"": ""50 cm"", ""height"": ""2 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\05 - TIPHEDE Rug, flatwoven - naturalblack 50x80 cm.glb",https://www.ikea.com/fi/en/p/tiphede-rug-flatwoven-natural-black-40592825/,https://web-api.ikea.com/dimma/assets/geomagical/40592825/PS01_S01_NV_01/simple/glb_draco/7f0f019bed250757db26e29d9117aa76-G-40592825-6dbb90a9f09dbea1bb7dd8153ef728a080fcd765-simple+draco.glb?cn=pip
6,"TIPHEDE Rug, flatwoven - black/natural 80x150 cm","beige, black","{""width"": ""80 cm"", ""height"": ""8 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\06 - TIPHEDE Rug, flatwoven - blacknatural 80x150 cm.glb",https://www.ikea.com/fi/en/p/tiphede-rug-flatwoven-black-natural-20528878/,https://web-api.ikea.com/dimma/assets/geomagical/20528878/PS01_S01_NV_01/simple/glb_draco/9b49624689e8e5596d63dc87a3e4bca6-G-20528878-4144230464cd9ab2679719ad24b310424fd609be-simple+draco.glb?cn=pip
7,KÖRFÄLT Kitchen mat - light grey 45x180 cm,grey,"{""width"": ""45 cm""}",downloaded-files\地毯與踏墊\fi-runner-small-rugs\07 - KÖRFÄLT Kitchen mat - light grey 45x180 cm.glb,https://www.ikea.com/fi/en/p/koerfaelt-kitchen-mat-light-grey-00610789/,https://web-api.ikea.com/dimma/assets/1.2/00610789/PS01_S01_NV01/rqp1/glb/660fc458a8ede5cfdb7502185f8ab544-00610789_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
8,"TÅNUM Rug, flatwoven - assorted colours 60x90 cm",multicolour,"{""width"": ""60 cm"", ""height"": ""2 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\08 - TÅNUM Rug, flatwoven - assorted colours 60x90 cm.glb",https://www.ikea.com/fi/en/p/tanum-rug-flatwoven-assorted-colours-30212675/,https://web-api.ikea.com/dimma/assets/geomagical/30212675/PS01_S01_NV_01/simple/glb_draco/41694b948c392b6d704074c9fd2fa192-G-30212675-8c4f8a5d1547ff77d7f40b0f8db7c42c390c5559-simple+draco.glb?cn=pip
9,"RIDSTIG Rug, flatwoven - grey/off-white 80x180 cm","grey, white","{""width"": ""80 cm"", ""height"": ""7 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\09 - RIDSTIG Rug, flatwoven - greyoff-white 80x180 cm.glb",https://www.ikea.com/fi/en/p/ridstig-rug-flatwoven-grey-off-white-20600968/,https://web-api.ikea.com/dimma/assets/1.2/20600968/PS01_S01_NV01/rqp1/glb/3939129bdbdd68954ef672154b3cc187-20600968_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,"VEDBÄK Rug, low pile - light grey 80x180 cm",grey,"{""width"": ""80 cm""}","downloaded-files\地毯與踏墊\fi-runner-small-rugs\10 - VEDBÄK Rug, low pile - light grey 80x180 cm.glb",https://www.ikea.com/fi/en/p/vedbaek-rug-low-pile-light-grey-90528894/,https://web-api.ikea.com/dimma/assets/geomagical/90528894/PS01_S01_NV_01/simple/glb_draco/55f94430ad4a4f86b37ff9ca30a5a3ed-G-90528894-c8e544aa85b51567b888e99acb3c27f70a5b70ae-simple+draco.glb?cn=pip
