index,name,color,dimensions,filename,product_url,glb_url
1,VESTERÖY Pocket sprung mattress - firm/light blue 160x200 cm,"blue, white","{""width"": ""160 cm""}",downloaded-files\床與床墊\fi-mattresses\01 - VESTERÖY Pocket sprung mattress - firmlight blue 160x200 cm.glb,https://www.ikea.com/fi/en/p/vesteroey-pocket-sprung-mattress-firm-light-blue-40450618/,https://web-api.ikea.com/dimma/assets/1.2/40450618/PS01_S01_NV01/iqp1/glb/6fa56cc51c474faeaf8de63c94bb5f3f-40450618_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
2,ÅGOTNES Foam mattress - firm/light blue 140x200 cm,blue,"{""width"": ""140 cm""}",downloaded-files\床與床墊\fi-mattresses\02 - ÅGOTNES Foam mattress - firmlight blue 140x200 cm.glb,https://www.ikea.com/fi/en/p/agotnes-foam-mattress-firm-light-blue-20480843/,https://web-api.ikea.com/dimma/assets/1.2/20480843/PS01_S01_NV01/iqp1/glb/5b6433d98521432881316240ac0e6980-20480843_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
3,VADSÖ Sprung mattress - firm/light blue 140x200 cm,blue,"{""width"": ""140 cm""}",downloaded-files\床與床墊\fi-mattresses\03 - VADSÖ Sprung mattress - firmlight blue 140x200 cm.glb,https://www.ikea.com/fi/en/p/vadsoe-sprung-mattress-firm-light-blue-90451229/,https://web-api.ikea.com/dimma/assets/1.2/90451229/PS01_S01_NV01/rqp1/glb/971b7d789442570e3310de5069bb26a1-90451229_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
4,ÅNNELAND Hybrid mattress - firm/white 160x200 cm,white,"{""width"": ""160 cm""}",downloaded-files\床與床墊\fi-mattresses\04 - ÅNNELAND Hybrid mattress - firmwhite 160x200 cm.glb,https://www.ikea.com/fi/en/p/anneland-hybrid-mattress-firm-white-20481710/,https://web-api.ikea.com/dimma/assets/1.2/20481710/PS01_S01_NV01/rqp1/glb/20481710_PS01_S01_NV01_RQP1_4.0_2e9deed3d073468cbb6ae5b0cddc8391.glb?cn=pip
5,VALEVÅG Pocket sprung mattress - firm/light blue 160x200 cm,"blue, white","{""width"": ""160 cm""}",downloaded-files\床與床墊\fi-mattresses\05 - VALEVÅG Pocket sprung mattress - firmlight blue 160x200 cm.glb,https://www.ikea.com/fi/en/p/valevag-pocket-sprung-mattress-firm-light-blue-40450680/,https://web-api.ikea.com/dimma/assets/1.2/40450680/PS01_S01_NV01/rqp1/glb/40450680_PS01_S01_NV01_RQP1_4.0_1805e4c8af5a4fa18ff791301b1544cc.glb?cn=pip
6,VESTMARKA Sprung mattress - firm/light blue 140x200 cm,"blue, white","{""width"": ""140 cm""}",downloaded-files\床與床墊\fi-mattresses\06 - VESTMARKA Sprung mattress - firmlight blue 140x200 cm.glb,https://www.ikea.com/fi/en/p/vestmarka-sprung-mattress-firm-light-blue-40451284/,https://web-api.ikea.com/dimma/assets/1.2/40451284/PS01_S01_NV01/iqp1/glb/4c34ad8fe3e84154ae2dba453338766b-40451284_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
7,VANNAREID Pocket sprung mattress - firm/beige 80x200 cm,beige,"{""width"": ""80 cm""}",downloaded-files\床與床墊\fi-mattresses\07 - VANNAREID Pocket sprung mattress - firmbeige 80x200 cm.glb,https://www.ikea.com/fi/en/p/vannareid-pocket-sprung-mattress-firm-beige-90486728/,https://web-api.ikea.com/dimma/assets/1.2/90486728/PS01_S01_NV01/rqp1/glb/90486728_PS01_S01_NV01_RQP1_4.0_f9879e04c8a64786980e54f22ec2dfd9.glb?cn=pip
8,VATNESTRÖM Pocket sprung mattress - firm/natural 90x200 cm,beige,"{""width"": ""90 cm"", ""height"": ""28 cm""}",downloaded-files\床與床墊\fi-mattresses\08 - VATNESTRÖM Pocket sprung mattress - firmnatural 90x200 cm.glb,https://www.ikea.com/fi/en/p/vatnestroem-pocket-sprung-mattress-firm-natural-70476419/,https://web-api.ikea.com/dimma/assets/1.2/70476419/PS01_S01_NV01/rqp1/glb/70476419_PS01_S01_NV01_RQP1_4.0_ae797b6c722441feb2dc45c3a8484954.glb?cn=pip
9,RANDÅSEN Bonnell spring mattress base - medium firm/Bremanger grey 90x200x23 cm,grey,"{""width"": ""90 cm"", ""height"": ""24 cm""}",downloaded-files\床與床墊\fi-mattresses\09 - RANDÅSEN Bonnell spring mattress base - medium firmBremanger grey 90x200x23 cm.glb,https://www.ikea.com/fi/en/p/randasen-bonnell-spring-mattress-base-medium-firm-bremanger-grey-70597586/,https://web-api.ikea.com/dimma/assets/1.2/70597586/PS01_S01_NV01/rqp1/glb/194820b814b1bf1af2a6dcb788d8f860-70597586_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,NORDBERGET Mattress pad - white 160x200 cm,white,"{""width"": ""160 cm""}",downloaded-files\床與床墊\fi-mattresses\10 - NORDBERGET Mattress pad - white 160x200 cm.glb,https://www.ikea.com/fi/en/p/nordberget-mattress-pad-white-30558474/,https://web-api.ikea.com/dimma/assets/1.2/30558474/PS01_S01_NV01/rqp1/glb/30558474_PS01_S01_NV01_RQP1_4.0_29426b1111294bb7b9cea2e421e2878e.glb?cn=pip
