index,name,color,dimensions,filename,product_url,glb_url
1,"KROKHOLMEN Coffee table, outdoor - beige 73 cm",beige,"{""width"": ""75 cm"", ""height"": ""44 cm""}","downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\01 - KROKHOLMEN Coffee table, outdoor - beige 73 cm.glb",https://www.ikea.com/fi/en/p/krokholmen-coffee-table-outdoor-beige-80336466/,https://web-api.ikea.com/dimma/assets/1.2/80336466/PS01_S01_NV01/iqp1/glb/80336466_PS01_S01_NV01_IQP1_2.0_b613fe0c8d45285100e5f757f5de8bb3.glb?cn=pip
2,"NÄMMARÖ Stool, outdoor - foldable/light brown stained 37x45 cm",brown,"{""width"": ""37 cm"", ""depth"": ""37 cm"", ""height"": ""45 cm"", ""seat_width"": ""37 cm"", ""seat_depth"": ""37 cm""}","downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\02 - NÄMMARÖ Stool, outdoor - foldablelight brown stained 37x45 cm.glb",https://www.ikea.com/fi/en/p/naemmaroe-stool-outdoor-foldable-light-brown-stained-70510300/,https://web-api.ikea.com/dimma/assets/1.2/70510300/PS01_S01_NV01/rqp1/glb/bae9090f384a47df82f6cf00e81fedc4-70510300_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
3,MÅBÄRSSKÄR Coffee table - outdoor indoor/white 61x41 cm,white,"{""width"": ""41 cm"", ""height"": ""71 cm""}",downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\03 - MÅBÄRSSKÄR Coffee table - outdoor indoorwhite 61x41 cm.glb,https://www.ikea.com/fi/en/p/mabaersskaer-coffee-table-outdoor-indoor-white-30597164/,https://web-api.ikea.com/dimma/assets/1.2/30597164/PS01_S01_NV01/rqp1/glb/d199189b306cc1646e60ebc3235005eb-30597164_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
4,HÅKANSKÄR Coffee table - outdoor/light brown stained 80x64 cm,brown,"{""width"": ""64 cm"", ""height"": ""43 cm""}",downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\04 - HÅKANSKÄR Coffee table - outdoorlight brown stained 80x64 cm.glb,https://www.ikea.com/fi/en/p/hakanskaer-coffee-table-outdoor-light-brown-stained-70597162/,https://web-api.ikea.com/dimma/assets/1.2/70597162/PS01_S01_NV01/rqp1/glb/cc904d5abb24b847165ccdcede0bfee7-70597162_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
5,TÅNEBRO Side table - in/outdoor/light grey-beige 46 cm,beige,"{""width"": ""47 cm"", ""height"": ""60.5 cm""}",downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\05 - TÅNEBRO Side table - inoutdoorlight grey-beige 46 cm.glb,https://www.ikea.com/fi/en/p/tanebro-side-table-in-outdoor-light-grey-beige-60554988/,https://web-api.ikea.com/dimma/assets/1.2/60554988/LPT_S01_NV01/rqp1/glb/1844dec995fae4200e76e4306e34a25e-60554988_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
6,TÅNEBRO Side table - in/outdoor/anthracite 46 cm,grey,"{""width"": ""47 cm"", ""height"": ""60.5 cm""}",downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\06 - TÅNEBRO Side table - inoutdooranthracite 46 cm.glb,https://www.ikea.com/fi/en/p/tanebro-side-table-in-outdoor-anthracite-60578970/,https://web-api.ikea.com/dimma/assets/1.2/60578970/LPT_S01_NV01/rqp1/glb/d65cbc1ed85ac1b1050d7c400f6c9272-60578970_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
7,TÅNEBRO Side table - in/outdoor/pale yellow 46 cm,yellow,"{""width"": ""47 cm"", ""height"": ""60.5 cm""}",downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\07 - TÅNEBRO Side table - inoutdoorpale yellow 46 cm.glb,https://www.ikea.com/fi/en/p/tanebro-side-table-in-outdoor-pale-yellow-70605162/,https://web-api.ikea.com/dimma/assets/1.2/70605162/LPT_S01_NV01/rqp1/glb/bd9b30d9c857d1eb403b86b39e185a20-70605162_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
8,"GRYTSHOLM Nest of tables, set of 2 - outdoor/black-blue",blue,"{""width"": ""41 cm"", ""height"": ""9 cm""}","downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\08 - GRYTSHOLM Nest of tables, set of 2 - outdoorblack-blue.glb",https://www.ikea.com/fi/en/p/grytsholm-nest-of-tables-set-of-2-outdoor-black-blue-90597161/,https://web-api.ikea.com/dimma/assets/1.2/90597161/LPT_S01_NV01/rqp1/glb/434c5c23bf6efcda4ddaec0728d0926f-90597161_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
9,"ÖRSKÄR Nest of tables, set of 2 - in/outdoor dark grey",grey,"{""width"": ""57 cm"", ""height"": ""8 cm""}","downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\09 - ÖRSKÄR Nest of tables, set of 2 - inoutdoor dark grey.glb",https://www.ikea.com/fi/en/p/oerskaer-nest-of-tables-set-of-2-in-outdoor-dark-grey-30533737/,https://web-api.ikea.com/dimma/assets/geomagical/30533737/PS01_S01_NV_01/simple/glb/d39dc84f962f1a1098a30fc556066772-G-30533737-53a6f15d19a2e5619af452234e3d5bd44bd27527-simple.glb?cn=pip
10,"SEGERÖN Coffee table, outdoor - white/beige 73x73 cm","beige, white","{""width"": ""73 cm"", ""height"": ""30 cm""}","downloaded-files\戶外家具\fi-outdoor-coffee-side-tables\10 - SEGERÖN Coffee table, outdoor - whitebeige 73x73 cm.glb",https://www.ikea.com/fi/en/p/segeroen-coffee-table-outdoor-white-beige-40510797/,https://web-api.ikea.com/dimma/assets/geomagical/40510797/PS01_S01_NV_01/simple/glb/81389eb8ffadfc7b9c829cb547ed3236-G-40510797-21a5d991982b09c572d1e181e3e000b26b40d656-simple.glb?cn=pip
