index,name,color,dimensions,filename,product_url,glb_url
1,MALM Chest of 2 drawers - white 40x55 cm,white,"{""width"": ""40 cm"", ""depth"": ""48 cm"", ""height"": ""55 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\01 - MALM Chest of 2 drawers - white 40x55 cm.glb,https://www.ikea.com/fi/en/p/malm-chest-of-2-drawers-white-80214549/,https://web-api.ikea.com/dimma/assets/1.2/80214549/PS01_S01_NV01/iqp1/glb/679139b08edc414ab1fbc14677a39807-80214549_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
2,KNARREVIK Bedside table - black 42x34 cm,black,"{""width"": ""42 cm"", ""depth"": ""33.5 cm"", ""height"": ""52 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\02 - KNARREVIK Bedside table - black 42x34 cm.glb,https://www.ikea.com/fi/en/p/knarrevik-bedside-table-black-20569977/,https://web-api.ikea.com/dimma/assets/1.2/20569977/LPT_S01_NV01/rqp1/glb/b8f08437a261ec7939878d112eaf29e4-20569977_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
3,NORDKISA Bedside table - bamboo 40x40 cm,beige,"{""width"": ""40 cm"", ""depth"": ""40 cm"", ""height"": ""67 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\03 - NORDKISA Bedside table - bamboo 40x40 cm.glb,https://www.ikea.com/fi/en/p/nordkisa-bedside-table-bamboo-60447677/,https://web-api.ikea.com/dimma/assets/1.2/60447677/PS01_S01_NV01/iqp1/glb/60447677_PS01_S01_NV01_IQP1_2.0_58bb63043d81a13f0226d833117ce918.glb?cn=pip
4,TONSTAD Bedside table - oak veneer 40x40x59 cm,beige,"{""width"": ""40 cm"", ""depth"": ""40 cm"", ""height"": ""59 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\04 - TONSTAD Bedside table - oak veneer 40x40x59 cm.glb,https://www.ikea.com/fi/en/p/tonstad-bedside-table-oak-veneer-80489322/,https://web-api.ikea.com/dimma/assets/1.2/80489322/PS01_S01_NV01/rqp1/glb/7ed3c290a86980f09f3b36ba76b6c4fd-80489322_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
5,TONSTAD Bedside table - brown stained oak veneer 40x40x59 cm,brown,"{""width"": ""40 cm"", ""depth"": ""40 cm"", ""height"": ""59 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\05 - TONSTAD Bedside table - brown stained oak veneer 40x40x59 cm.glb,https://www.ikea.com/fi/en/p/tonstad-bedside-table-brown-stained-oak-veneer-40489319/,https://web-api.ikea.com/dimma/assets/1.2/40489319/PS01_S01_NV01/rqp1/glb/620664fa45b77b04bcbc3c59ae678aaf-40489319_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,TONSTAD Bedside table - off-white 40x40x59 cm,white,"{""width"": ""40 cm"", ""depth"": ""40 cm"", ""height"": ""59 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\06 - TONSTAD Bedside table - off-white 40x40x59 cm.glb,https://www.ikea.com/fi/en/p/tonstad-bedside-table-off-white-80510007/,https://web-api.ikea.com/dimma/assets/1.2/80510007/LPT_S01_NV01/rqp1/glb/1b5ada7723beae5e7e4b6a97b653291d-80510007_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
7,GRÅFJÄLLET Bedside table - anthracite 45x36x59 cm,grey,"{""width"": ""45 cm"", ""depth"": ""36 cm"", ""height"": ""59 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\07 - GRÅFJÄLLET Bedside table - anthracite 45x36x59 cm.glb,https://www.ikea.com/fi/en/p/grafjaellet-bedside-table-anthracite-20570221/,https://web-api.ikea.com/dimma/assets/1.2/20570221/PS01_S01_NV01/rqp1/glb/20570221_PS01_S01_NV01_RQP1_4.0_fc531843886b4b59afb3d431ffc8594c.glb?cn=pip
8,RÅDMANSÖ Bedside table - brown walnut effect 54x38x58 cm,brown,"{""width"": ""54 cm"", ""depth"": ""38 cm"", ""height"": ""58 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\08 - RÅDMANSÖ Bedside table - brown walnut effect 54x38x58 cm.glb,https://www.ikea.com/fi/en/p/radmansoe-bedside-table-brown-walnut-effect-80593597/,https://web-api.ikea.com/dimma/assets/1.2/80593597/LPT_S01_NV01/rqp1/glb/306f8154cee255024ec879e8a8207cb5-80593597_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
9,KRONÖREN Bedside table - pine 39x32x55 cm,brown,"{""width"": ""39 cm"", ""depth"": ""32 cm"", ""height"": ""55 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\09 - KRONÖREN Bedside table - pine 39x32x55 cm.glb,https://www.ikea.com/fi/en/p/kronoeren-bedside-table-pine-00610807/,https://web-api.ikea.com/dimma/assets/1.2/00610807/PS01_S01_NV01/rqp1/glb/b2cd4bf23f5758d0a2f417b5d736a123-00610807_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,EKET Cabinet - white stained oak effect 35x25x35 cm,beige,"{""width"": ""35 cm"", ""depth"": ""25 cm"", ""height"": ""35 cm"", ""max_load/shelf"": ""5 kg""}",downloaded-files\桌子書桌\fi-bedside-tables\10 - EKET Cabinet - white stained oak effect 35x25x35 cm.glb,https://www.ikea.com/fi/en/p/eket-cabinet-white-stained-oak-effect-90428842/,https://web-api.ikea.com/dimma/assets/1.2/90428842/PS01_S01_NV01/iqp1/glb/90428842_PS01_S01_NV01_IQP1_2.0_6e7639eb5f9a4c088c070f31260e33b1.glb?cn=pip
11,EKET Cabinet - dark grey 35x25x35 cm,grey,"{""width"": ""35 cm"", ""depth"": ""25 cm"", ""height"": ""35 cm"", ""max_load/shelf"": ""5 kg""}",downloaded-files\桌子書桌\fi-bedside-tables\11 - EKET Cabinet - dark grey 35x25x35 cm.glb,https://www.ikea.com/fi/en/p/eket-cabinet-dark-grey-40334558/,https://web-api.ikea.com/dimma/assets/1.2/40334558/PS01_S01_NV01/iqp1/glb/40334558_PS01_S01_NV01_IQP1_2.0_2117e6bcd49948d18896d7188d309174.glb?cn=pip
12,EKET Cabinet - white 35x25x35 cm,white,"{""width"": ""35 cm"", ""depth"": ""25 cm"", ""height"": ""35 cm"", ""max_load/shelf"": ""5 kg""}",downloaded-files\桌子書桌\fi-bedside-tables\12 - EKET Cabinet - white 35x25x35 cm.glb,https://www.ikea.com/fi/en/p/eket-cabinet-white-70332124/,https://web-api.ikea.com/dimma/assets/1.2/70332124/PS01_S01_NV01/iqp1/glb/70332124_PS01_S01_NV01_IQP1_2.0_c82e1f2297cb4f8d9a296a2eeee1677b.glb?cn=pip
13,KULLEN Chest of 2 drawers - white 35x49 cm,white,"{""width"": ""35 cm"", ""depth"": ""40 cm"", ""height"": ""49 cm""}",downloaded-files\桌子書桌\fi-bedside-tables\13 - KULLEN Chest of 2 drawers - white 35x49 cm.glb,https://www.ikea.com/fi/en/p/kullen-chest-of-2-drawers-white-80309241/,https://web-api.ikea.com/dimma/assets/1.2/80309241/PS01_S01_NV01/rqp1/glb/c718810514084b3da3b508dd2e875e54-80309241_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
