index,name,color,dimensions,filename,product_url,glb_url
1,MICKE Desk - white/anthracite 105x50 cm,white,"{""width"": ""105 cm"", ""depth"": ""50 cm"", ""height"": ""75 cm"", ""max_load/shelf"": ""8 kg""}",downloaded-files\桌子書桌\fi-desks\01 - MICKE Desk - whiteanthracite 105x50 cm.glb,https://www.ikea.com/fi/en/p/micke-desk-white-anthracite-10489839/,https://web-api.ikea.com/dimma/assets/1.2/10489839/PS01_S01_NV01/iqp1/glb/8987390e74824e4dbaecf6efbe3dee9e-10489839_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
2,MICKE Desk - anthracite/red 105x50 cm,grey,"{""width"": ""105 cm"", ""depth"": ""50 cm"", ""height"": ""75 cm"", ""max_load/shelf"": ""8 kg""}",downloaded-files\桌子書桌\fi-desks\02 - MICKE Desk - anthracitered 105x50 cm.glb,https://www.ikea.com/fi/en/p/micke-desk-anthracite-red-80489850/,https://web-api.ikea.com/dimma/assets/1.2/80489850/PS01_S01_NV01/iqp1/glb/13eab0ff5ac74e91b5033e480a2261a7-80489850_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
3,MICKE Desk - white 105x50 cm,white,"{""width"": ""105 cm"", ""depth"": ""50 cm"", ""height"": ""75 cm"", ""max_load/shelf"": ""8 kg""}",downloaded-files\桌子書桌\fi-desks\03 - MICKE Desk - white 105x50 cm.glb,https://www.ikea.com/fi/en/p/micke-desk-white-80213074/,https://web-api.ikea.com/dimma/assets/1.2/80213074/PS01_S01_NV01/rqp1/glb/2b60bcb7100c43a7b1c429d37d3e151e-80213074_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
4,MICKE Desk - black-brown 105x50 cm,"brown, black","{""width"": ""105 cm"", ""depth"": ""50 cm"", ""height"": ""75 cm"", ""max_load/shelf"": ""8 kg""}",downloaded-files\桌子書桌\fi-desks\04 - MICKE Desk - black-brown 105x50 cm.glb,https://www.ikea.com/fi/en/p/micke-desk-black-brown-10244743/,https://web-api.ikea.com/dimma/assets/1.2/10244743/PS01_S01_NV01/iqp1/glb/64c04fa1ecab4d858dade61730968312-10244743_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
5,TORALD Desk - white 65x40 cm,white,"{""width"": ""65 cm"", ""depth"": ""40 cm"", ""height"": ""75 cm"", ""max_load/shelf"": ""5 kg""}",downloaded-files\桌子書桌\fi-desks\05 - TORALD Desk - white 65x40 cm.glb,https://www.ikea.com/fi/en/p/torald-desk-white-90493955/,https://web-api.ikea.com/dimma/assets/1.2/90493955/PS01_S01_NV01/iqp1/glb/bf6f4635979edb7bedfad945b12e6762-90493955_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
6,MICKE Desk - white 73x50 cm,white,"{""width"": ""73 cm"", ""depth"": ""50 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-desks\06 - MICKE Desk - white 73x50 cm.glb,https://www.ikea.com/fi/en/p/micke-desk-white-30213076/,https://web-api.ikea.com/dimma/assets/1.2/30213076/PS01_S01_NV01/iqp1/glb/3a744040237b452484064ef058f54ea8-30213076_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip
7,MICKE Desk - black-brown 73x50 cm,"brown, black","{""width"": ""73 cm"", ""depth"": ""50 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-desks\07 - MICKE Desk - black-brown 73x50 cm.glb,https://www.ikea.com/fi/en/p/micke-desk-black-brown-20244747/,https://web-api.ikea.com/dimma/assets/1.2/20244747/PS01_S01_NV01/iqp1/glb/116f4c43ac454c2ba727e5bdbbef60ed-20244747_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip
8,LAGKAPTEN / ALEX Desk - white 120x60 cm,white,"{""width"": ""60 cm"", ""height"": ""73 cm""}",downloaded-files\桌子書桌\fi-desks\08 - LAGKAPTEN ALEX Desk - white 120x60 cm.glb,https://www.ikea.com/fi/en/p/lagkapten-alex-desk-white-s69416817/,https://web-api.ikea.com/dimma/assets/1.2/69416817/PS01_S01_NV01/isp1/glb_draco/69416817_PS01_S01_NV01_ISP1_2.0_98c6d4b430eb4c92a0b922b93f2929b7.glb?cn=pip
9,LAGKAPTEN / ALEX Desk - black-brown/white 120x60 cm,"brown, black, white","{""width"": ""60 cm"", ""height"": ""73 cm""}",downloaded-files\桌子書桌\fi-desks\09 - LAGKAPTEN ALEX Desk - black-brownwhite 120x60 cm.glb,https://www.ikea.com/fi/en/p/lagkapten-alex-desk-black-brown-white-s19417051/,https://web-api.ikea.com/dimma/assets/1.2/19417051/PS01_S01_NV01/isp1/glb/19417051_PS01_S01_NV01_ISP1_2.0_6d704dafa8a24b6bb9a547a116f81e24.glb?cn=pip
10,MICKE Desk - white 105x50 cm,white,"{""width"": ""105 cm"", ""depth"": ""50 cm"", ""height"": ""140 cm""}",downloaded-files\桌子書桌\fi-desks\10 - MICKE Desk - white 105x50 cm.glb,https://www.ikea.com/fi/en/p/micke-desk-white-s09903014/,https://web-api.ikea.com/dimma/assets/1.2/09903014/PS01_S01_NV01/isp1/glb/09903014_PS01_S01_NV01_ISP1_2.0_180e58d092b94de980b0602753cb8a17.glb?cn=pip
