index,name,color,dimensions,filename,product_url,glb_url
1,MITTPLAN Desk - white 80x60 cm,,"{""width"": ""80 cm"", ""depth"": ""60 cm"", ""height"": ""75 cm"", ""max_load/shelf"": ""25 kg""}",downloaded-files\桌子書桌\fi-tables\01 - MITTPLAN Desk - white 80x60 cm.glb,https://www.ikea.com/fi/en/p/mittplan-desk-white-10549428/,https://web-api.ikea.com/dimma/assets/geomagical/10549428/PS01_S01_NV_01/simple/glb/e5ec33d41d63cce5e45b0757d1b1c5f7-G-10549428-5f854120c2dc03ec8a4718482cc861a8bfd8be4c-simple.glb?cn=pip
2,SMÖRKULL Office chair with armrests - Gräsnäs red,red,"{""width"": ""65 cm"", ""depth"": ""66 cm"", ""height"": ""115 cm"", ""seat_width"": ""48 cm"", ""seat_depth"": ""49 cm"", ""seat_height"": ""56 cm""}",downloaded-files\桌子書桌\fi-tables\02 - SMÖRKULL Office chair with armrests - Gräsnäs red.glb,https://www.ikea.com/fi/en/p/smoerkull-office-chair-with-armrests-graesnaes-red-60503437/,https://web-api.ikea.com/dimma/assets/geomagical/60503437/PS01_S01_NV_01/simple/glb/e548eba42c53d446173bc2fbc0e6f633-G-60503437-2ad269477f5756f7dbf3a924780e4a8d120de88f-simple.glb?cn=pip
3,EKENABBEN Open shelving unit - aspen/blue 70x34x86 cm,"beige, blue","{""width"": ""70 cm"", ""depth"": ""34 cm"", ""height"": ""86 cm"", ""max_load/shelf"": ""20 kg""}",downloaded-files\桌子書桌\fi-tables\03 - EKENABBEN Open shelving unit - aspenblue 70x34x86 cm.glb,https://www.ikea.com/fi/en/p/ekenabben-open-shelving-unit-aspen-blue-40596395/,https://web-api.ikea.com/dimma/assets/geomagical/40596395/PS01_S01_NV_01/simple/glb/e6e2c3fca2d18413c5d1bfa62cb02a51-G-40596395-38e46aa2c16876d767e865427c6b36299d478e52-simple.glb?cn=pip
4,NÄVLINGE LED clamp spotlight - lilac/dark green,,"{""width"": ""14 cm"", ""height"": ""6 cm""}",downloaded-files\桌子書桌\fi-tables\04 - NÄVLINGE LED clamp spotlight - lilacdark green.glb,https://www.ikea.com/fi/en/p/naevlinge-led-clamp-spotlight-lilac-dark-green-90574777/,https://web-api.ikea.com/dimma/assets/1.2/90574777/LPT_S01_NV01/rqp1/glb/453bc6624077b8d9237ce3268d82a9bc-90574777_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
5,RYKTA Storage box with lid - transparent grey-blue 18x24x12 cm/3.5 l,blue,"{""width"": ""18 cm"", ""height"": ""12 cm""}",downloaded-files\桌子書桌\fi-tables\05 - RYKTA Storage box with lid - transparent grey-blue 18x24x12 cm3.5 l.glb,https://www.ikea.com/fi/en/p/rykta-storage-box-with-lid-transparent-grey-blue-80533198/,https://web-api.ikea.com/dimma/assets/1.2/80533198/PS01_S01_NV01/rqp1/glb/279d0cedf5e1df750e4271eb4315675c-80533198_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,DRÖNJÖNS Letter tray - white,white,"{""width"": ""34 cm"", ""depth"": ""24 cm"", ""height"": ""7 cm""}",downloaded-files\桌子書桌\fi-tables\06 - DRÖNJÖNS Letter tray - white.glb,https://www.ikea.com/fi/en/p/droenjoens-letter-tray-white-10428718/,https://web-api.ikea.com/dimma/assets/1.2/10428718/PS01_S01_NV01/isp1/glb_draco/10428718_PS01_S01_NV01_ISP1_2.0_b7a1ebb677894f79918d6d6c2374fe11.glb?cn=pip
7,LOMVIKEN Frame - black 32x32 cm,black,"{""width"": ""32 cm"", ""depth"": ""2 cm"", ""height"": ""32 cm""}",downloaded-files\桌子書桌\fi-tables\07 - LOMVIKEN Frame - black 32x32 cm.glb,https://www.ikea.com/fi/en/p/lomviken-frame-black-00335852/,https://web-api.ikea.com/dimma/assets/1.2/00335852/PS01_S01_NV01/rqp1/glb/d4e16bfb6e4b4fe2806d20d547bc6ddf-00335852_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
8,GULLSUDARE Pendant lamp shade - white/handmade 70 cm,white,"{""width"": ""70 cm"", ""height"": ""1 cm""}",downloaded-files\桌子書桌\fi-tables\08 - GULLSUDARE Pendant lamp shade - whitehandmade 70 cm.glb,https://www.ikea.com/fi/en/p/gullsudare-pendant-lamp-shade-white-handmade-80583616/,https://web-api.ikea.com/dimma/assets/1.2/80583616/PS01_S01_NV01/rqp1/glb/d5f58e1495a4f20d86b69a5bf8e9a2b0-80583616_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
9,VAPPEBY Portable bluetooth speaker - waterproof/blue,blue,"{""width"": ""8 cm"", ""height"": ""8 cm""}",downloaded-files\桌子書桌\fi-tables\09 - VAPPEBY Portable bluetooth speaker - waterproofblue.glb,https://www.ikea.com/fi/en/p/vappeby-portable-bluetooth-speaker-waterproof-blue-10591813/,https://web-api.ikea.com/dimma/assets/1.2/10591813/LPT_S01_NV01/rqp1/glb/cb62140008f87a7187f78a46bf4fcbf6-10591813_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
10,RÖDALM Frame - white 40x50 cm,white,"{""width"": ""42 cm"", ""depth"": ""3 cm"", ""height"": ""52 cm""}",downloaded-files\桌子書桌\fi-tables\10 - RÖDALM Frame - white 40x50 cm.glb,https://www.ikea.com/fi/en/p/roedalm-frame-white-80548915/,https://web-api.ikea.com/dimma/assets/1.2/80548915/PS01_S01_NV01/rqp1/glb/21e9514637d7436590b5108e7a89461a-80548915_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
