index,name,color,dimensions,filename,product_url,glb_url
1,GLOSTAD 3-seat sofa - Knisa dark grey,grey,"{""width"": ""3.5 cm"", ""depth"": ""78 cm"", ""height"": ""57 cm"", ""seat_width"": ""164 cm"", ""seat_depth"": ""54 cm"", ""seat_height"": ""41 cm""}",downloaded-files\fi-fabric-sofas\01 - GLOSTAD 3-seat sofa - Knisa dark grey.glb,https://www.ikea.com/fi/en/p/glostad-3-seat-sofa-knisa-dark-grey-40573285/,https://web-api.ikea.com/dimma/assets/geomagical/40573285/PS01_S01_NV_01/simple/glb/6725fabd14dd5b9702ce1c006c57ef3b-G-40573285-e7913722abd2fc374556af3da5b20d93a34a25d9-simple.glb?cn=pip
2,SÖDERHAMN 3-seat section - Kelinge dark yellow,beige,"{""width"": ""186 cm"", ""depth"": ""99 cm"", ""height"": ""83 cm"", ""seat_width"": ""186 cm"", ""seat_depth"": ""48 cm"", ""seat_height"": ""40 cm""}",downloaded-files\fi-fabric-sofas\02 - SÖDERHAMN 3-seat section - Kelinge dark yellow.glb,https://www.ikea.com/fi/en/p/soederhamn-3-seat-section-kelinge-dark-yellow-s79621600/,https://web-api.ikea.com/dimma/assets/geomagical/79621600/PS01_S01_NV_01/simple/glb_draco/be8d50e1754f2f640635f5d0a0ec0be7-G-79621600-30c1b00462671172d7141a1cbd1b232e16d5ca1f-simple+draco.glb?cn=pip
3,SÖDERHAMN 3-seat section - Kelinge dark blue,beige,"{""width"": ""186 cm"", ""depth"": ""99 cm"", ""height"": ""83 cm"", ""seat_width"": ""186 cm"", ""seat_depth"": ""48 cm"", ""seat_height"": ""40 cm""}",downloaded-files\fi-fabric-sofas\03 - SÖDERHAMN 3-seat section - Kelinge dark blue.glb,https://www.ikea.com/fi/en/p/soederhamn-3-seat-section-kelinge-dark-blue-s19621603/,https://web-api.ikea.com/dimma/assets/geomagical/19621603/PS01_S01_NV_01/simple/glb_draco/03b2a19669d8a3113918c40c216cc1f8-G-19621603-cc7b380e530f89dc405f68b4cad7bedc35219d93-simple+draco.glb?cn=pip
4,EKTORP 3-seat sofa - Kilanda light beige,beige,"{""width"": ""24 cm"", ""depth"": ""88 cm"", ""height"": ""45 cm"", ""seat_depth"": ""49 cm"", ""seat_height"": ""45 cm""}",downloaded-files\fi-fabric-sofas\04 - EKTORP 3-seat sofa - Kilanda light beige.glb,https://www.ikea.com/fi/en/p/ektorp-3-seat-sofa-kilanda-light-beige-s69509010/,https://web-api.ikea.com/dimma/assets/geomagical/39320053/PS01_S01_NV_01/simple/glb_draco/2f6093bebf534009881d95b89b89e41b-G-39320053-e0d7cd700d135071b122b05c6ad761ea650bc5a7-simple.glb?cn=pip
5,EKTORP 3-seat sofa - Hakebo grey-green,green,"{""width"": ""24 cm"", ""depth"": ""88 cm"", ""height"": ""45 cm"", ""seat_depth"": ""49 cm"", ""seat_height"": ""45 cm""}",downloaded-files\fi-fabric-sofas\05 - EKTORP 3-seat sofa - Hakebo grey-green.glb,https://www.ikea.com/fi/en/p/ektorp-3-seat-sofa-hakebo-grey-green-s59509001/,https://web-api.ikea.com/dimma/assets/geomagical/59509001/PS01_S01_NV_01/simple/glb_draco/1804212d0d88988c543d0ab8f64c1aa2-G-59509001-dd6324a7484acf62622052f68f9411475b1b065c-simple+draco.glb?cn=pip
6,EKTORP 3-seat sofa - Hakebo dark grey,grey,"{""width"": ""24 cm"", ""depth"": ""88 cm"", ""height"": ""45 cm"", ""seat_depth"": ""49 cm"", ""seat_height"": ""45 cm""}",downloaded-files\fi-fabric-sofas\06 - EKTORP 3-seat sofa - Hakebo dark grey.glb,https://www.ikea.com/fi/en/p/ektorp-3-seat-sofa-hakebo-dark-grey-s39508998/,https://web-api.ikea.com/dimma/assets/geomagical/39320048/PS01_S01_NV_01/simple/glb_draco/03227bd8321449598269ccca7b3f8548-G-39320048-990044f4b00313a732467ca832c6c2cf99e21994-simple+draco.glb?cn=pip
7,GLOSTAD 2-seat sofa - Knisa dark grey,grey,"{""width"": ""3.5 cm"", ""depth"": ""78 cm"", ""height"": ""57 cm"", ""seat_width"": ""114 cm"", ""seat_depth"": ""54 cm"", ""seat_height"": ""41 cm""}",downloaded-files\fi-fabric-sofas\07 - GLOSTAD 2-seat sofa - Knisa dark grey.glb,https://www.ikea.com/fi/en/p/glostad-2-seat-sofa-knisa-dark-grey-50489012/,https://web-api.ikea.com/dimma/assets/1.2/50489012/PS01_S01_NV01/rqp1/glb/ee3ebc20673f4a7fadc68d9c4217a79c-50489012_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
8,GULLVALLA 2-seat sofa - Silkeryd grey-green,green,"{""width"": ""79 cm"", ""depth"": ""83 cm"", ""height"": ""41 cm"", ""seat_width"": ""120 cm"", ""seat_depth"": ""48 cm"", ""seat_height"": ""42 cm""}",downloaded-files\fi-fabric-sofas\08 - GULLVALLA 2-seat sofa - Silkeryd grey-green.glb,https://www.ikea.com/fi/en/p/gullvalla-2-seat-sofa-silkeryd-grey-green-70613398/,https://web-api.ikea.com/dimma/assets/1.2/70613398/PS01_S01_NV01/rqp1/glb/31a86c1f02bd298d100b3c990c1f45c3-70613398_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
9,GULLVALLA 2-seat sofa - Silkeryd dark grey-beige,"beige, grey","{""width"": ""79 cm"", ""depth"": ""83 cm"", ""height"": ""41 cm"", ""seat_width"": ""120 cm"", ""seat_depth"": ""48 cm"", ""seat_height"": ""42 cm""}",downloaded-files\fi-fabric-sofas\09 - GULLVALLA 2-seat sofa - Silkeryd dark grey-beige.glb,https://www.ikea.com/fi/en/p/gullvalla-2-seat-sofa-silkeryd-dark-grey-beige-30618500/,https://web-api.ikea.com/dimma/assets/1.2/30618500/PS01_S01_NV01/rqp1/glb/a5cbc4069e42e3393c31e28b3a20c777-30618500_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,KLIPPAN 2-seat sofa - Vissle grey,grey,"{""width"": ""180 cm"", ""depth"": ""88 cm"", ""height"": ""66 cm"", ""seat_depth"": ""54 cm"", ""seat_height"": ""43 cm""}",downloaded-files\fi-fabric-sofas\10 - KLIPPAN 2-seat sofa - Vissle grey.glb,https://www.ikea.com/fi/en/p/klippan-2-seat-sofa-vissle-grey-s79010614/,https://web-api.ikea.com/dimma/assets/1.2/79010614/PS01_S01_NV01/isp1/glb_draco/79010614_PS01_S01_NV01_ISP1_2.0_b2270beeaa8848f1914031497a5934f0.glb?cn=pip
