index,name,color,dimensions,filename,product_url,glb_url
1,NYMÖ Lamp shade - black/brass-colour 44 cm,,"{""width"": ""45 cm"", ""height"": ""33 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\01 - NYMÖ Lamp shade - blackbrass-colour 44 cm.glb,https://www.ikea.com/fi/en/p/nymoe-lamp-shade-black-brass-colour-00377210/,https://web-api.ikea.com/dimma/assets/1.2/00377210/PS01_S01_NV01/rqp1/glb/9a93c5233fc6d127d631be885a42715a-00377210_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
2,HAVSDJUP Cord set - white 1.4 m,,{},downloaded-files\燈具\fi-lamp-shades-bases\02 - HAVSDJUP Cord set - white 1.4 m.glb,https://www.ikea.com/fi/en/p/havsdjup-cord-set-white-40582124/,https://web-api.ikea.com/dimma/assets/1.2/40582124/PS01_S01_NV01/rqp1/glb/94d944e5e317d61fc005dea6d999df19-40582124_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
3,HAVSDJUP Cord set - black 1.4 m,,{},downloaded-files\燈具\fi-lamp-shades-bases\03 - HAVSDJUP Cord set - black 1.4 m.glb,https://www.ikea.com/fi/en/p/havsdjup-cord-set-black-70597794/,https://web-api.ikea.com/dimma/assets/1.2/70597794/PS01_S01_NV01/rqp1/glb/c3cd9097be33b11f6140f2811ae2e555-70597794_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
4,SUNNEBY Cord set - white textile 1.8 m,,{},downloaded-files\燈具\fi-lamp-shades-bases\04 - SUNNEBY Cord set - white textile 1.8 m.glb,https://www.ikea.com/fi/en/p/sunneby-cord-set-white-textile-20420175/,https://web-api.ikea.com/dimma/assets/1.2/20420175/PS01_S01_NV01/rqp1/glb/6df09590f16c45d8861f9f3b957d5dde-20420175_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
5,RINGSTA Lamp shade - white 42 cm,,"{""width"": ""42 cm"", ""height"": ""31 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\05 - RINGSTA Lamp shade - white 42 cm.glb,https://www.ikea.com/fi/en/p/ringsta-lamp-shade-white-70405361/,https://web-api.ikea.com/dimma/assets/1.2/70405361/PS01_S01_NV01/iqp1/glb/67f1e5544d5d4933ac9f1e11f8890f07-70405361_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
6,RINGSTA Lamp shade - white 33 cm,,"{""width"": ""33 cm"", ""height"": ""24 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\06 - RINGSTA Lamp shade - white 33 cm.glb,https://www.ikea.com/fi/en/p/ringsta-lamp-shade-white-10405364/,https://web-api.ikea.com/dimma/assets/1.2/10405364/PS01_S01_NV01/iqp1/glb/506336974bf143c287d6190057a8ef5d-10405364_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
7,SKOTTORP Lamp shade - light grey 42 cm,,"{""width"": ""42 cm"", ""height"": ""31 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\07 - SKOTTORP Lamp shade - light grey 42 cm.glb,https://www.ikea.com/fi/en/p/skottorp-lamp-shade-light-grey-80449005/,https://web-api.ikea.com/dimma/assets/1.2/80449005/PS01_S01_NV01/rqp1/glb/0db90f00ebf446ad8e5fb36983361379-80449005_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
8,GRÅVACKA Cord set for bulb - beige 1.8 m,,{},downloaded-files\燈具\fi-lamp-shades-bases\08 - GRÅVACKA Cord set for bulb - beige 1.8 m.glb,https://www.ikea.com/fi/en/p/gravacka-cord-set-for-bulb-beige-20492799/,https://web-api.ikea.com/dimma/assets/1.2/20492799/PS01_S01_NV01/rqp1/glb/f717bc9533074fd5816a7e4c138205e3-20492799_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
9,GULLSUDARE Pendant lamp shade - white/handmade 70 cm,white,"{""width"": ""70 cm"", ""height"": ""1 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\09 - GULLSUDARE Pendant lamp shade - whitehandmade 70 cm.glb,https://www.ikea.com/fi/en/p/gullsudare-pendant-lamp-shade-white-handmade-80583616/,https://web-api.ikea.com/dimma/assets/1.2/80583616/PS01_S01_NV01/rqp1/glb/d5f58e1495a4f20d86b69a5bf8e9a2b0-80583616_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,IKEA PS 2026 Pendant lamp shade - handmade/white 90 cm,white,"{""width"": ""92 cm"", ""height"": ""33 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\10 - IKEA PS 2026 Pendant lamp shade - handmadewhite 90 cm.glb,https://www.ikea.com/fi/en/p/ikea-ps-2026-pendant-lamp-shade-handmade-white-10617078/,https://web-api.ikea.com/dimma/assets/1.2/10617078/PS01_S01_NV01/rqp1/glb/59aef98866ff97e736ab3435460cd0cf-10617078_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
11,JÄLLBY Cord set - textile nickel-plated 1.4 m,,"{""height"": ""9 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\11 - JÄLLBY Cord set - textile nickel-plated 1.4 m.glb,https://www.ikea.com/fi/en/p/jaellby-cord-set-textile-nickel-plated-20466366/,https://web-api.ikea.com/dimma/assets/1.2/20466366/PS01_S01_NV01/iqp1/glb/20466366_PS01_S01_NV01_IQP1_2.0_235bead33608f4a7665431462327932f.glb?cn=pip
12,JÄLLBY Cord set - textile brass-plated 1.4 m,,"{""height"": ""9 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\12 - JÄLLBY Cord set - textile brass-plated 1.4 m.glb,https://www.ikea.com/fi/en/p/jaellby-cord-set-textile-brass-plated-80466368/,https://web-api.ikea.com/dimma/assets/1.2/80466368/PS01_S01_NV01/iqp1/glb/3c1e351644d24351a5f91ba6778fc187-80466368_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
13,BRUNSTA Pendant lamp shade - black 30 cm,black,"{""width"": ""30 cm"", ""height"": ""35 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\13 - BRUNSTA Pendant lamp shade - black 30 cm.glb,https://www.ikea.com/fi/en/p/brunsta-pendant-lamp-shade-black-10579774/,https://web-api.ikea.com/dimma/assets/1.2/10579774/PS01_S01_NV01/rqp1/glb/10579774_PS01_S01_NV01_RQP1_4.0_f426d5632dd34c61bf0a7fc3c8781883.glb?cn=pip
14,BRUNSTA Pendant lamp shade - black 20 cm,black,"{""width"": ""19 cm"", ""height"": ""18 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\14 - BRUNSTA Pendant lamp shade - black 20 cm.glb,https://www.ikea.com/fi/en/p/brunsta-pendant-lamp-shade-black-90579770/,https://web-api.ikea.com/dimma/assets/1.2/90579770/PS01_S01_NV01/rqp1/glb/90579770_PS01_S01_NV01_RQP1_4.0_3c66ae815cc2439db3f22c42c827e0a5.glb?cn=pip
15,GULLSUDARE Pendant lamp shade - white/handmade 45 cm,white,"{""width"": ""49 cm"", ""height"": ""1 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\15 - GULLSUDARE Pendant lamp shade - whitehandmade 45 cm.glb,https://www.ikea.com/fi/en/p/gullsudare-pendant-lamp-shade-white-handmade-90603869/,https://web-api.ikea.com/dimma/assets/1.2/90603869/PS01_S01_NV01/rqp1/glb/85d8fca08e24aa4be04cae133bda4180-90603869_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
16,SKAFTET Floor lamp base - nickel-plated,,"{""width"": ""29 cm"", ""height"": ""130 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\16 - SKAFTET Floor lamp base - nickel-plated.glb,https://www.ikea.com/fi/en/p/skaftet-floor-lamp-base-nickel-plated-80405394/,https://web-api.ikea.com/dimma/assets/1.2/80405394/PS01_S01_NV01/rqp1/glb/c3ccb01d8392451f8c09ad39019afa24-80405394_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
17,MYRHULT Lamp shade - white 33 cm,,"{""height"": ""24 cm""}",downloaded-files\燈具\fi-lamp-shades-bases\17 - MYRHULT Lamp shade - white 33 cm.glb,https://www.ikea.com/fi/en/p/myrhult-lamp-shade-white-50405456/,https://web-api.ikea.com/dimma/assets/1.2/50405456/PS01_S01_NV01/rqp1/glb/e5503aaf6166273cbf226156a68a7a9f-50405456_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
18,"SKAFTET Floor lamp base, arched - black",,"{""width"": ""143 cm"", ""height"": ""214 cm""}","downloaded-files\燈具\fi-lamp-shades-bases\18 - SKAFTET Floor lamp base, arched - black.glb",https://www.ikea.com/fi/en/p/skaftet-floor-lamp-base-arched-black-50405395/,https://web-api.ikea.com/dimma/assets/1.2/50405395/PS01_S01_NV01/iqp1/glb/f4872fc02e8a411da7421fb1a33c0c03-50405395_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
