index,name,color,dimensions,filename,product_url,glb_url
1,DRÖNA Box - dark grey 33x38x33 cm,grey,"{""width"": ""33 cm"", ""depth"": ""38 cm"", ""height"": ""33 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\01 - DRÖNA Box - dark grey 33x38x33 cm.glb,https://www.ikea.com/fi/en/p/droena-box-dark-grey-10443974/,https://web-api.ikea.com/dimma/assets/1.2/10443974/PS01_S01_NV01/isp1/glb/10443974_PS01_S01_NV01_ISP1_2.0_4635fcf38254490a93da425ed54d1b0a.glb?cn=pip
2,DRÖNA Box - black 33x38x33 cm,black,"{""width"": ""33 cm"", ""depth"": ""38 cm"", ""height"": ""33 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\02 - DRÖNA Box - black 33x38x33 cm.glb,https://www.ikea.com/fi/en/p/droena-box-black-30219281/,https://web-api.ikea.com/dimma/assets/1.2/30219281/PS01_S01_NV01/iqp1/glb/7cd77f6b41534fedae0ca46601eb6816-30219281_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
3,DRÖNA Box - white 33x38x33 cm,white,"{""width"": ""33 cm"", ""depth"": ""38 cm"", ""height"": ""33 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\03 - DRÖNA Box - white 33x38x33 cm.glb,https://www.ikea.com/fi/en/p/droena-box-white-40217955/,https://web-api.ikea.com/dimma/assets/1.2/40217955/PS01_S01_NV01/isp1/glb_draco/40217955_PS01_S01_NV01_ISP1_2.0_c16b53cff5884f51b92bdb005d194f81.glb?cn=pip
4,UPPDATERA Box - white 24x17 cm,white,"{""width"": ""24 cm"", ""depth"": ""17 cm"", ""height"": ""10 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\04 - UPPDATERA Box - white 24x17 cm.glb,https://www.ikea.com/fi/en/p/uppdatera-box-white-20546467/,https://web-api.ikea.com/dimma/assets/1.2/20546467/PS01_S01_NV01/rqp1/glb/b3cd9773f4914c2dbffabaec488e3b8f-20546467_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
5,UPPDATERA Box - grey-blue 24x17 cm,blue,"{""width"": ""24 cm"", ""depth"": ""17 cm"", ""height"": ""10 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\05 - UPPDATERA Box - grey-blue 24x17 cm.glb,https://www.ikea.com/fi/en/p/uppdatera-box-grey-blue-00610548/,https://web-api.ikea.com/dimma/assets/1.2/00610548/PS01_S01_NV01/rqp1/glb/012851d3cefb68f21e4621611f4a9e26-00610548_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,UPPDATERA Box - anthracite 24x17 cm,"grey, black","{""width"": ""24 cm"", ""depth"": ""17 cm"", ""height"": ""10 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\06 - UPPDATERA Box - anthracite 24x17 cm.glb,https://www.ikea.com/fi/en/p/uppdatera-box-anthracite-80504049/,https://web-api.ikea.com/dimma/assets/1.2/80504049/PS01_S01_NV01/rqp1/glb/3dca6f6da1704a0fa9cc6e1b0ca5f81b-80504049_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
7,UPPDATERA Box - red-brown 24x17 cm,"brown, red","{""width"": ""24 cm"", ""depth"": ""17 cm"", ""height"": ""10 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\07 - UPPDATERA Box - red-brown 24x17 cm.glb,https://www.ikea.com/fi/en/p/uppdatera-box-red-brown-60610550/,https://web-api.ikea.com/dimma/assets/1.2/60610550/PS01_S01_NV01/rqp1/glb/df24a39af3101e8b3ccc815ef766f27a-60610550_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
8,"SKUBB Box, set of 6 - white",white,"{""width"": ""14 cm"", ""height"": ""5 cm""}","downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\08 - SKUBB Box, set of 6 - white.glb",https://www.ikea.com/fi/en/p/skubb-box-set-of-6-white-00428549/,https://web-api.ikea.com/dimma/assets/1.2/00428549/LPT_S01_NV01/rqp1/glb/7564ca23dcb12a956d35188c8fc48ee4-00428549_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
9,"SKUBB Box, set of 6 - dark grey",grey,"{""width"": ""15 cm"", ""height"": ""5 cm""}","downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\09 - SKUBB Box, set of 6 - dark grey.glb",https://www.ikea.com/fi/en/p/skubb-box-set-of-6-dark-grey-40399998/,https://web-api.ikea.com/dimma/assets/1.2/40399998/LPT_S01_NV01/rqp1/glb/4b608840895208ab49799d60e2c9e2b3-40399998_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
10,SKUBB Storage case - white 90x53x19 cm,white,"{""width"": ""90 cm"", ""depth"": ""53 cm"", ""height"": ""19 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\10 - SKUBB Storage case - white 90x53x19 cm.glb,https://www.ikea.com/fi/en/p/skubb-storage-case-white-20591049/,https://web-api.ikea.com/dimma/assets/1.2/20591049/PS01_S01_NV01/rqp1/glb/20591049_PS01_S01_NV01_RQP1_4.0_951d8a9462f64cd48a9e247b9d06cb93.glb?cn=pip
11,BEKNA Basket - plastic rattan 25x35x20 cm,beige,"{""width"": ""25 cm"", ""depth"": ""35 cm"", ""height"": ""20 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\11 - BEKNA Basket - plastic rattan 25x35x20 cm.glb,https://www.ikea.com/fi/en/p/bekna-basket-plastic-rattan-10513392/,https://web-api.ikea.com/dimma/assets/geomagical/10513392/PS01_S01_NV_01/simple/glb_draco/7651536efae385ebb509f9d27ddc7c48-G-10513392-51ba48adcb46fa2b2e8c26f50b77998dbae4f120-simple+draco.glb?cn=pip
12,LJUNGAN Basket with lid 20x10 cm,beige,"{""width"": ""22 cm"", ""height"": ""10 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\12 - LJUNGAN Basket with lid 20x10 cm.glb,https://www.ikea.com/fi/en/p/ljungan-basket-with-lid-50527882/,https://web-api.ikea.com/dimma/assets/geomagical/50527882/PS01_S01_NV_01/simple/glb_draco/933ebc6179e13c84bcd4d0936a526eb6-G-50527882-e659ba5065c837f82797b390a0cc44416bda21bf-simple+draco.glb?cn=pip
13,KUGGIS Box - white 37x54x21 cm,white,"{""width"": ""37 cm"", ""depth"": ""54 cm"", ""height"": ""21 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\13 - KUGGIS Box - white 37x54x21 cm.glb,https://www.ikea.com/fi/en/p/kuggis-box-white-10568520/,https://web-api.ikea.com/dimma/assets/1.2/10568520/PS01_S01_NV01/rqp1/glb/d22fb496b39e4d2fb34883cb7df10dbe-10568520_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
14,PLOGSVÄNG Storage basket - white 15x20x10 cm,white,"{""width"": ""15 cm"", ""height"": ""10 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\14 - PLOGSVÄNG Storage basket - white 15x20x10 cm.glb,https://www.ikea.com/fi/en/p/plogsvaeng-storage-basket-white-20593454/,https://web-api.ikea.com/dimma/assets/1.2/20593454/PS01_S01_NV01/rqp1/glb/a36ea91ecd3803cac968092b107c9044-20593454_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
15,DRAGAN 4-piece bathroom set - bamboo,beige,"{""width"": ""12 cm"", ""height"": ""12 cm""}",downloaded-files\裝飾與小型收納\fi-storage-boxes-baskets\15 - DRAGAN 4-piece bathroom set - bamboo.glb,https://www.ikea.com/fi/en/p/dragan-4-piece-bathroom-set-bamboo-40222607/,https://web-api.ikea.com/dimma/assets/1.2/40222607/PS01_S01_NV01/iqp1/glb/f4167d437ef342ceb1ce2feb41ca9e3c-40222607_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip
