index,name,color,dimensions,filename,product_url,glb_url,category
1,"VATTENVERK Door mat, indoor - dark grey 100x150 cm",grey,"{""width"": ""100 cm""}","downloaded-files/地毯與踏墊/fi-door-mats/01 - VATTENVERK Door mat, indoor - dark grey 100x150 cm.glb",https://www.ikea.com/fi/en/p/vattenverk-door-mat-indoor-dark-grey-40517020/,https://web-api.ikea.com/dimma/assets/geomagical/40517020/PS01_S01_NV_01/simple/glb_draco/677cac32eb7bf40d168d1a5fb1018d9a-G-40517020-a0ee217df73dff03d2cea012057e6a90933e000e-simple+draco.glb?cn=pip,fi-door-mats
2,"VATTENVERK Door mat, indoor - dark grey 60x90 cm",grey,"{""width"": ""60 cm"", ""height"": ""1 cm""}","downloaded-files/地毯與踏墊/fi-door-mats/02 - VATTENVERK Door mat, indoor - dark grey 60x90 cm.glb",https://www.ikea.com/fi/en/p/vattenverk-door-mat-indoor-dark-grey-00517017/,https://web-api.ikea.com/dimma/assets/geomagical/00517017/PS01_S01_NV_01/simple/glb_draco/f0c7da6b44b95ace2032d60e1c573db9-G-00517017-c9914752d88952f48b5275fec7c26b5b376fe389-simple+draco.glb?cn=pip,fi-door-mats
3,SINDAL Door mat - natural 50x80 cm,beige,"{""width"": ""50 cm"", ""height"": ""1 cm""}",downloaded-files/地毯與踏墊/fi-door-mats/03 - SINDAL Door mat - natural 50x80 cm.glb,https://www.ikea.com/fi/en/p/sindal-door-mat-natural-80047635/,https://web-api.ikea.com/dimma/assets/1.2/80047635/PS01_S01_NV01/rqp1/glb/9e95cf814f0d45b49c98ee52ef86cd6a-80047635_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-door-mats
4,"LOHALS Door mat, indoor - natural 60x90 cm",beige,"{""width"": ""60 cm"", ""height"": ""1 cm""}","downloaded-files/地毯與踏墊/fi-door-mats/04 - LOHALS Door mat, indoor - natural 60x90 cm.glb",https://www.ikea.com/fi/en/p/lohals-door-mat-indoor-natural-00556160/,https://web-api.ikea.com/dimma/assets/1.2/00556160/PS01_S01_NV01/rqp1/glb/7a4f8df8957d783937cf7466650971ca-00556160_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-door-mats
5,KÖGE Door mat - grey/black 69x90 cm,"grey, black","{""width"": ""69 cm"", ""height"": ""1 cm""}",downloaded-files/地毯與踏墊/fi-door-mats/05 - KÖGE Door mat - greyblack 69x90 cm.glb,https://www.ikea.com/fi/en/p/koege-door-mat-grey-black-30287939/,https://web-api.ikea.com/dimma/assets/geomagical/30287939/PS01_S01_NV_01/simple/glb_draco/a0e420dd3d094317b537210ba376dcdd-G-30287939-99967ac8fc16675a663373c85814c04f9098a67a-simple+draco.glb?cn=pip,fi-door-mats
6,KÖGE Door mat - grey/black 102x152 cm,"grey, black","{""width"": ""102 cm""}",downloaded-files/地毯與踏墊/fi-door-mats/06 - KÖGE Door mat - greyblack 102x152 cm.glb,https://www.ikea.com/fi/en/p/koege-door-mat-grey-black-40296603/,https://web-api.ikea.com/dimma/assets/geomagical/40296603/PS01_S01_NV_01/simple/glb/6257f8f2d96235caf34a433409aa53e2-G-40296603-a0596400686996d3789ff97944aa9f30d6b6fe69-simple.glb?cn=pip,fi-door-mats
7,KÖGE Door mat - grey/black 82x200 cm,"grey, black","{""width"": ""82 cm""}",downloaded-files/地毯與踏墊/fi-door-mats/07 - KÖGE Door mat - greyblack 82x200 cm.glb,https://www.ikea.com/fi/en/p/koege-door-mat-grey-black-20296604/,https://web-api.ikea.com/dimma/assets/geomagical/20296604/PS01_S01_NV_01/simple/glb_draco/701faebdb2c0cb866e8e2a4dca0d3b2d-G-20296604-b5e552ccc39a30d395a0dfa79ec8241d0c1df4f1-simple+draco.glb?cn=pip,fi-door-mats
8,FRIKTION Door mat - grey 38x58 cm,grey,"{""width"": ""38 cm"", ""height"": ""1 cm""}",downloaded-files/地毯與踏墊/fi-door-mats/08 - FRIKTION Door mat - grey 38x58 cm.glb,https://www.ikea.com/fi/en/p/friktion-door-mat-grey-00582852/,https://web-api.ikea.com/dimma/assets/geomagical/00582852/PS01_S01_NV_01/simple/glb_draco/6f78a6a4df7888222d0bfd5ed69d9ef0-G-00582852-5301e650c9e32d8a5c5dbfcaca1e4eeb3c784843-simple+draco.glb?cn=pip,fi-door-mats
9,LÖGE Door mat - multicolour/animal pattern 60x90 cm,"brown, green, black, white","{""width"": ""60 cm"", ""height"": ""2 cm""}",downloaded-files/地毯與踏墊/fi-door-mats/09 - LÖGE Door mat - multicolouranimal pattern 60x90 cm.glb,https://www.ikea.com/fi/en/p/loege-door-mat-multicolour-animal-pattern-90629063/,https://web-api.ikea.com/dimma/assets/geomagical/90629063/PS01_S01_NV_01/simple/glb_draco/9ab37b3c4885aa8bad1cebc61576bc54-G-90629063-065fa69589cc8ee8c5f99276a2bb8d2c87097d9e-simple+draco.glb?cn=pip,fi-door-mats
10,OPLEV Door mat - in/outdoor grey 50x80 cm,grey,"{""width"": ""50 cm"", ""height"": ""1 cm""}",downloaded-files/地毯與踏墊/fi-door-mats/10 - OPLEV Door mat - inoutdoor grey 50x80 cm.glb,https://www.ikea.com/fi/en/p/oplev-door-mat-in-outdoor-grey-30308994/,https://web-api.ikea.com/dimma/assets/geomagical/30308994/PS01_S01_NV_01/simple/glb_draco/4872c116bd664e93b7fce08f64d49e2c-G-30308994-820ff10c94a46893f6cd1a19da01795f8b345ccf-simple+draco.glb?cn=pip,fi-door-mats
