index,name,color,dimensions,filename,product_url,glb_url,category
1,SLATTUM Upholstered bed frame - Vissle dark grey 160x200 cm,grey,"{""width"": ""164 cm"", ""height"": ""40 cm""}",downloaded-files/床與床墊/fi-bed-frames/01 - SLATTUM Upholstered bed frame - Vissle dark grey 160x200 cm.glb,https://www.ikea.com/fi/en/p/slattum-upholstered-bed-frame-vissle-dark-grey-40571248/,https://web-api.ikea.com/dimma/assets/1.2/40571248/PS01_S01_NV01/rqp1/glb/6ad83887fe38468f9f4ee16372704d52-40571248_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-bed-frames
2,NEIDEN Bed frame - pine 140x200 cm,beige,"{""width"": ""144 cm"", ""height"": ""30 cm""}",downloaded-files/床與床墊/fi-bed-frames/02 - NEIDEN Bed frame - pine 140x200 cm.glb,https://www.ikea.com/fi/en/p/neiden-bed-frame-pine-70395239/,https://web-api.ikea.com/dimma/assets/1.2/70395239/PS01_S01_NV01/iqp1/glb/4e72d71937cf4cb3ba9ec421027192e4-70395239_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-bed-frames
3,"MALM Bed frame, high, w 2 storage boxes - white/Lönset 140x200 cm",white,"{""width"": ""156 cm"", ""height"": ""38 cm""}","downloaded-files/床與床墊/fi-bed-frames/03 - MALM Bed frame, high, w 2 storage boxes - whiteLönset 140x200 cm.glb",https://www.ikea.com/fi/en/p/malm-bed-frame-high-w-2-storage-boxes-white-loenset-s49176074/,https://web-api.ikea.com/dimma/assets/geomagical/49176074/PS01_S01_NV01/simple/glb_draco/G-49176074-2e5e5003ab767719594c11dea1e4d7a1645ca911_05417959144c4c259852a6b34acec414.glb?cn=pip,fi-bed-frames
4,VIHALS Bed frame - white 140x200 cm,white,"{""width"": ""140 cm"", ""height"": ""41 cm""}",downloaded-files/床與床墊/fi-bed-frames/04 - VIHALS Bed frame - white 140x200 cm.glb,https://www.ikea.com/fi/en/p/vihals-bed-frame-white-20602439/,https://web-api.ikea.com/dimma/assets/1.2/20602439/PS01_S01_NV01/rqp1/glb/9aca32a586ecd7083386e584f9c66f14-20602439_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-bed-frames
5,"MALM Bed frame, high - white stained oak veneer 160x200 cm",beige,"{""width"": ""176 cm"", ""height"": ""38 cm""}","downloaded-files/床與床墊/fi-bed-frames/05 - MALM Bed frame, high - white stained oak veneer 160x200 cm.glb",https://www.ikea.com/fi/en/p/malm-bed-frame-high-white-stained-oak-veneer-s19022549/,https://web-api.ikea.com/dimma/assets/1.2/19022549/PS01_S01_NV01/isp1/glb/19022549_PS01_S01_NV01_ISP1_2.0_0bdfd805b7524e39b5ad4614bc43106e.glb?cn=pip,fi-bed-frames
6,VEVELSTAD Bed frame - white 140x200 cm,white,"{""width"": ""146 cm"", ""height"": ""27 cm""}",downloaded-files/床與床墊/fi-bed-frames/06 - VEVELSTAD Bed frame - white 140x200 cm.glb,https://www.ikea.com/fi/en/p/vevelstad-bed-frame-white-00505528/,https://web-api.ikea.com/dimma/assets/1.2/00505528/PS01_S01_NV01/rqp1/glb/b39d5a0ce1624b648cb899fac92e64a8-00505528_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-bed-frames
7,STJÄRNÖ Bed frame - anthracite 160x200 cm,grey,"{""width"": ""160 cm"", ""height"": ""74 cm""}",downloaded-files/床與床墊/fi-bed-frames/07 - STJÄRNÖ Bed frame - anthracite 160x200 cm.glb,https://www.ikea.com/fi/en/p/stjaernoe-bed-frame-anthracite-50570187/,https://web-api.ikea.com/dimma/assets/1.2/50570187/PS01_S01_NV01/rqp1/glb/50570187_PS01_S01_NV01_RQP1_4.0_6ef53b8df99a48598a31b5eab01a7e6a.glb?cn=pip,fi-bed-frames
8,RAMNEFJÄLL Upholstered bed frame - Kilanda light beige 160x200 cm,beige,"{""width"": ""160 cm"", ""height"": ""43 cm""}",downloaded-files/床與床墊/fi-bed-frames/08 - RAMNEFJÄLL Upholstered bed frame - Kilanda light beige 160x200 cm.glb,https://www.ikea.com/fi/en/p/ramnefjaell-upholstered-bed-frame-kilanda-light-beige-s69552744/,https://web-api.ikea.com/dimma/assets/geomagical/69552744/PS01_S01_NV_01/simple/glb/2bd5a01e0cbbab06635d31a88ece8cdd-G-69552744-bd7f0a819cbbcfa34e4ce8932c79973ef8002496-simple.glb?cn=pip,fi-bed-frames
9,SÄBÖVIK Divan bed - firm/Vissle grey 140x200 cm,grey,"{""width"": ""140 cm"", ""height"": ""90 cm""}",downloaded-files/床與床墊/fi-bed-frames/09 - SÄBÖVIK Divan bed - firmVissle grey 140x200 cm.glb,https://www.ikea.com/fi/en/p/saeboevik-divan-bed-firm-vissle-grey-s69385750/,https://web-api.ikea.com/dimma/assets/1.2/69385750/PS01_S01_NV01/isp1/glb/69385750_PS01_S01_NV01_ISP1_2.0_c3da457329de40ea9e2da4bca7093391.glb?cn=pip,fi-bed-frames
10,SÄBÖVIK Divan bed - firm/Vissle grey 160x200 cm,grey,"{""width"": ""160 cm"", ""height"": ""90 cm""}",downloaded-files/床與床墊/fi-bed-frames/10 - SÄBÖVIK Divan bed - firmVissle grey 160x200 cm.glb,https://www.ikea.com/fi/en/p/saeboevik-divan-bed-firm-vissle-grey-s49385751/,https://web-api.ikea.com/dimma/assets/1.2/49385751/PS01_S01_NV01/isp1/glb/49385751_PS01_S01_NV01_ISP1_2.0_8115964dd8ea404db165739556ee1f35.glb?cn=pip,fi-bed-frames
