index,name,color,dimensions,filename,product_url,glb_url,category
1,NEIDEN Bed frame - pine 90x200 cm,beige,"{""width"": ""94 cm"", ""height"": ""30 cm""}",downloaded-files/床與床墊/fi-beds/01 - NEIDEN Bed frame - pine 90x200 cm.glb,https://www.ikea.com/fi/en/p/neiden-bed-frame-pine-40395245/,https://web-api.ikea.com/dimma/assets/1.2/40395245/PS01_S01_NV01/iqp1/glb/84e98367d0334dfe8abbaf9b6770745b-40395245_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-beds
2,IDANÄS Upholstered storage bed - Naggen beige 160x200 cm,beige,"{""width"": ""170 cm"", ""height"": ""49 cm""}",downloaded-files/床與床墊/fi-beds/02 - IDANÄS Upholstered storage bed - Naggen beige 160x200 cm.glb,https://www.ikea.com/fi/en/p/idanaes-upholstered-storage-bed-naggen-beige-30588094/,https://web-api.ikea.com/dimma/assets/geomagical/30588094/PS01_S01_NV_01/simple/glb/12afd516bf82575be102669d7693c7c0-G-30588094-0bbdbef86c8eb3566875690c9b78a37a018f22c9-simple.glb?cn=pip,fi-beds
3,RAMNEFJÄLL Upholstered bed frame - Kilanda light beige/Luröy 160x200 cm,beige,"{""width"": ""160 cm"", ""height"": ""43 cm""}",downloaded-files/床與床墊/fi-beds/03 - RAMNEFJÄLL Upholstered bed frame - Kilanda light beigeLuröy 160x200 cm.glb,https://www.ikea.com/fi/en/p/ramnefjaell-upholstered-bed-frame-kilanda-light-beige-luroey-s19552751/,https://web-api.ikea.com/dimma/assets/geomagical/19552751/PS01_S01_NV_01/simple/glb/3cfd8ae53f71f17e0c6fdf787d91f7c2-G-19552751-61306b0d7a5e5c0923b2bc6cd2afeebddea6eba9-simple.glb?cn=pip,fi-beds
4,SLATTUM Upholstered bed frame - Vissle dark grey 90x200 cm,grey,"{""width"": ""94 cm"", ""height"": ""40 cm""}",downloaded-files/床與床墊/fi-beds/04 - SLATTUM Upholstered bed frame - Vissle dark grey 90x200 cm.glb,https://www.ikea.com/fi/en/p/slattum-upholstered-bed-frame-vissle-dark-grey-80571251/,https://web-api.ikea.com/dimma/assets/geomagical/80571251/PS01_S01_NV01/simple/glb_draco/G-80571251-d4888a5b5b7209ed403c2ff595d3af6cfc5ea0ac_da2fe219663b496bb847a13e6acc6024.glb?cn=pip,fi-beds
5,"MALM Bed frame, high - white stained oak veneer/Lönset 160x200 cm",beige,"{""width"": ""176 cm"", ""height"": ""38 cm""}","downloaded-files/床與床墊/fi-beds/05 - MALM Bed frame, high - white stained oak veneerLönset 160x200 cm.glb",https://www.ikea.com/fi/en/p/malm-bed-frame-high-white-stained-oak-veneer-loenset-s69175059/,https://web-api.ikea.com/dimma/assets/1.2/69175059/PS01_S01_NV01/isp1/glb/69175059_PS01_S01_NV01_ISP1_2.0_75e24dd823d3451cbfda6371e171f978.glb?cn=pip,fi-beds
6,VIHALS Bed frame with 2 storage boxes - white/Luröy 140x200 cm,white,"{""width"": ""140 cm"", ""height"": ""5 cm""}",downloaded-files/床與床墊/fi-beds/06 - VIHALS Bed frame with 2 storage boxes - whiteLuröy 140x200 cm.glb,https://www.ikea.com/fi/en/p/vihals-bed-frame-with-2-storage-boxes-white-luroey-s99581976/,https://web-api.ikea.com/dimma/assets/geomagical/99581976/PS01_S01_NV_01/simple/glb/cd61df279c62e2cb85591b32a37caad4-G-99581976-22f8985e635b066e7ab85d5b19455b4b3a7d3c12-simple.glb?cn=pip,fi-beds
7,VIHALS Bed frame with 2 storage boxes - white/Luröy 90x200 cm,white,"{""width"": ""90 cm"", ""height"": ""5 cm""}",downloaded-files/床與床墊/fi-beds/07 - VIHALS Bed frame with 2 storage boxes - whiteLuröy 90x200 cm.glb,https://www.ikea.com/fi/en/p/vihals-bed-frame-with-2-storage-boxes-white-luroey-s59581983/,https://web-api.ikea.com/dimma/assets/geomagical/59581983/PS01_S01_NV_01/simple/glb/5df4b7721e6de29debce97cff4408f94-G-59581983-3ac6e8fe0c4c80d28aa9af67d93e3680475786b1-simple.glb?cn=pip,fi-beds
8,SONGESAND Bed frame with 4 storage boxes - white/Lönset 140x200 cm,white,"{""width"": ""153 cm"", ""height"": ""41 cm""}",downloaded-files/床與床墊/fi-beds/08 - SONGESAND Bed frame with 4 storage boxes - whiteLönset 140x200 cm.glb,https://www.ikea.com/fi/en/p/songesand-bed-frame-with-4-storage-boxes-white-loenset-s09241340/,https://web-api.ikea.com/dimma/assets/geomagical/09241340/PS01_S01_NV01/simple/glb_draco/G-09241340-2be2731ed3901da122541ed3f3fcc0e7377545c0_1370aefd6ef34745ae805e2ebe1a1c79.glb?cn=pip,fi-beds
9,BRIMNES Bed frame with storage - white/Lönset 160x200 cm,white,"{""width"": ""166 cm"", ""height"": ""47 cm""}",downloaded-files/床與床墊/fi-beds/09 - BRIMNES Bed frame with storage - whiteLönset 160x200 cm.glb,https://www.ikea.com/fi/en/p/brimnes-bed-frame-with-storage-white-loenset-s49018739/,https://web-api.ikea.com/dimma/assets/1.2/49018739/PS01_S01_NV01/isp1/glb_draco/49018739_PS01_S01_NV01_ISP1_2.0_5b9bcab1f92748c9bdad39db019c0a6a.glb?cn=pip,fi-beds
10,"MALM Bed frame, high - white 90x200 cm",white,"{""width"": ""105 cm"", ""height"": ""38 cm""}","downloaded-files/床與床墊/fi-beds/10 - MALM Bed frame, high - white 90x200 cm.glb",https://www.ikea.com/fi/en/p/malm-bed-frame-high-white-00249487/,https://web-api.ikea.com/dimma/assets/1.2/00249487/PS01_S01_NV01/iqp1/glb/57b07e8668f849828f613ca275aac9b7-00249487_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-beds
