index,name,color,dimensions,filename,product_url,glb_url,category
1,"TÄRNÖ Table+2 chairs, outdoor - black/light brown stained","brown, black","{""width"": ""54 cm"", ""depth"": ""40 cm"", ""height"": ""70 cm"", ""seat_width"": ""39 cm"", ""seat_depth"": ""28 cm"", ""seat_height"": ""45 cm""}","downloaded-files/戶外家具/fi-outdoor-dining/01 - TÄRNÖ Table+2 chairs, outdoor - blacklight brown stained.glb",https://www.ikea.com/fi/en/p/taernoe-table-2-chairs-outdoor-black-light-brown-stained-s69898415/,https://web-api.ikea.com/dimma/assets/1.2/69898415/PS01_S01_NV01/isp1/glb/69898415_PS01_S01_NV01_ISP1_2.0_23f58850659547518942e70b5e69c75e.glb?cn=pip,fi-outdoor-dining
2,"SEGERÖN Table, outdoor - dark green/light grey 91x147 cm","grey, green","{""width"": ""91 cm"", ""height"": ""75 cm""}","downloaded-files/戶外家具/fi-outdoor-dining/02 - SEGERÖN Table, outdoor - dark greenlight grey 91x147 cm.glb",https://www.ikea.com/fi/en/p/segeroen-table-outdoor-dark-green-light-grey-10510812/,https://web-api.ikea.com/dimma/assets/geomagical/10510812/PS01_S01_NV_01/simple/glb/3bb67ec4aa54cc680dfa62373cf566fe-G-10510812-051b54e15464ce460b1b0f55de77b6eb8be5d41f-simple.glb?cn=pip,fi-outdoor-dining
3,"SEGERÖN Table, outdoor - white/beige 91x147 cm","beige, white","{""width"": ""91 cm"", ""height"": ""75 cm""}","downloaded-files/戶外家具/fi-outdoor-dining/03 - SEGERÖN Table, outdoor - whitebeige 91x147 cm.glb",https://www.ikea.com/fi/en/p/segeroen-table-outdoor-white-beige-90510813/,https://web-api.ikea.com/dimma/assets/geomagical/90510813/PS01_S01_NV_01/simple/glb/c5d21d90be4b690cef63b008c1aac1d0-G-90510813-5ba4d715ae24738bff314272e5c6d2f50a4c0101-simple.glb?cn=pip,fi-outdoor-dining
4,"NÄMMARÖ Table, outdoor - light brown stained 75x63 cm",brown,"{""width"": ""63 cm"", ""height"": ""75 cm""}","downloaded-files/戶外家具/fi-outdoor-dining/04 - NÄMMARÖ Table, outdoor - light brown stained 75x63 cm.glb",https://www.ikea.com/fi/en/p/naemmaroe-table-outdoor-light-brown-stained-00510308/,https://web-api.ikea.com/dimma/assets/1.2/00510308/PS01_S01_NV01/rqp1/glb/cc0f3669e8fc41229adb1e6a747889f5-00510308_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-outdoor-dining
5,SOLUPPGÅNG Folding table - eucalyptus 82 cm,,"{""width"": ""60 cm"", ""depth"": ""45 cm"", ""height"": ""42 cm""}",downloaded-files/戶外家具/fi-outdoor-dining/05 - SOLUPPGÅNG Folding table - eucalyptus 82 cm.glb,https://www.ikea.com/fi/en/p/soluppgang-folding-table-eucalyptus-70621299/,https://web-api.ikea.com/dimma/assets/geomagical/70621299/PS01_S01_NV_01/simple/glb_draco/d49e5686db09bc02e0d5419ab87bccf8-G-70621299-d8aa96f6fdc8ba0ba07ca2ffb7c03e385f8171c7-simple+draco.glb?cn=pip,fi-outdoor-dining
6,NÄMMARÖ / ENSHOLM Table and 2 chairs - outdoor light brown stained/green 75 cm,"brown, green","{""width"": ""63 cm"", ""height"": ""75 cm""}",downloaded-files/戶外家具/fi-outdoor-dining/06 - NÄMMARÖ ENSHOLM Table and 2 chairs - outdoor light brown stainedgreen 75 cm.glb,https://www.ikea.com/fi/en/p/naemmaroe-ensholm-table-and-2-chairs-outdoor-light-brown-stained-green-s59544740/,https://web-api.ikea.com/dimma/assets/geomagical/59544740/PS01_S01_NV_01/simple/glb/b11ebf0af4029ae344f61b588a20bedc-G-59544740-9e8d173fdcfc5efe61be197a5404880687acb81b-simple.glb?cn=pip,fi-outdoor-dining
7,"ASKHOLMEN Table, outdoor - dark brown 143x75 cm",brown,"{""width"": ""75 cm"", ""height"": ""73 cm""}","downloaded-files/戶外家具/fi-outdoor-dining/07 - ASKHOLMEN Table, outdoor - dark brown 143x75 cm.glb",https://www.ikea.com/fi/en/p/askholmen-table-outdoor-dark-brown-50535679/,https://web-api.ikea.com/dimma/assets/1.2/50535679/PS01_S01_NV01/rqp1/glb/50535679_PS01_S01_NV01_RQP1_4.0_07125160ce4f430abc010c3be3229462.glb?cn=pip,fi-outdoor-dining
8,"VÄRMANSÖ Table, outdoor - dark grey 161x93 cm",grey,"{""width"": ""93 cm"", ""height"": ""75 cm""}","downloaded-files/戶外家具/fi-outdoor-dining/08 - VÄRMANSÖ Table, outdoor - dark grey 161x93 cm.glb",https://www.ikea.com/fi/en/p/vaermansoe-table-outdoor-dark-grey-90515684/,https://web-api.ikea.com/dimma/assets/1.2/90515684/PS01_S01_NV01/rqp1/glb/012917f8f3424ca98bb87f720b7f8f92-90515684_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-outdoor-dining
9,"FEJAN Table+2 folding chairs, outdoor - white/white",white,"{""width"": ""44 cm"", ""height"": ""7 cm""}","downloaded-files/戶外家具/fi-outdoor-dining/09 - FEJAN Table+2 folding chairs, outdoor - whitewhite.glb",https://www.ikea.com/fi/en/p/fejan-table-2-folding-chairs-outdoor-white-white-s59434949/,https://web-api.ikea.com/dimma/assets/geomagical/59434949/PS01_S01_NV_01/simple/glb_draco/2197b19d70dd418aa6ff2ac66dfbfac6-G-59434949-0490966d3f5b9da548beadefaaf5548570e421aa-simple+draco.glb?cn=pip,fi-outdoor-dining
10,SUNDSÖ Table - bright red outdoor 65x65 cm,red,"{""width"": ""65 cm"", ""height"": ""71 cm""}",downloaded-files/戶外家具/fi-outdoor-dining/10 - SUNDSÖ Table - bright red outdoor 65x65 cm.glb,https://www.ikea.com/fi/en/p/sundsoe-table-bright-red-outdoor-30582577/,https://web-api.ikea.com/dimma/assets/1.2/30582577/LPT_S01_NV01/rqp1/glb/775dfc40dafd99b6c2f116980b5ddf11-30582577_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-outdoor-dining
11,SUNDSÖ Table - dark blue outdoor 65x65 cm,blue,"{""width"": ""65 cm"", ""height"": ""71 cm""}",downloaded-files/戶外家具/fi-outdoor-dining/11 - SUNDSÖ Table - dark blue outdoor 65x65 cm.glb,https://www.ikea.com/fi/en/p/sundsoe-table-dark-blue-outdoor-60582585/,https://web-api.ikea.com/dimma/assets/1.2/60582585/LPT_S01_NV01/rqp1/glb/228176043203a55c5aca05b592688e3b-60582585_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-outdoor-dining
12,SUNDSÖ Table - bright orange outdoor 65x65 cm,orange,"{""width"": ""65 cm"", ""height"": ""71 cm""}",downloaded-files/戶外家具/fi-outdoor-dining/12 - SUNDSÖ Table - bright orange outdoor 65x65 cm.glb,https://www.ikea.com/fi/en/p/sundsoe-table-bright-orange-outdoor-50582581/,https://web-api.ikea.com/dimma/assets/1.2/50582581/LPT_S01_NV01/rqp1/glb/0fee6e4a6c5d0d1d2a7792e8f033ab23-50582581_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-outdoor-dining
13,"TEGELÖN Table, outdoor - dark grey/black 216x86 cm","grey, black","{""width"": ""86 cm"", ""height"": ""75 cm""}","downloaded-files/戶外家具/fi-outdoor-dining/13 - TEGELÖN Table, outdoor - dark greyblack 216x86 cm.glb",https://www.ikea.com/fi/en/p/tegeloen-table-outdoor-dark-grey-black-30492143/,https://web-api.ikea.com/dimma/assets/geomagical/30492143/PS01_S01_NV_01/simple/glb_draco/3a6ec153e109f531bc5f6553c548a4b5-G-30492143-5fd53682a1281af4c3b6823e4aab64ffd26ef4fd-simple+draco.glb?cn=pip,fi-outdoor-dining
