index,name,color,dimensions,filename,product_url,glb_url,category
1,BILLY / OXBERG Bookcase with panel/glass doors - white/glass 120x30x202 cm,white,"{""width"": ""120 cm"", ""depth"": ""30 cm"", ""height"": ""202 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-display-cabinets/01 - BILLY OXBERG Bookcase with panelglass doors - whiteglass 120x30x202 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-panel-glass-doors-white-glass-s79281790/,https://web-api.ikea.com/dimma/assets/1.2/79281790/PS01_S01_NV01/isp1/glb/79281790_PS01_S01_NV01_ISP1_2.0_dd5de5a5440645b6afc4649e818458fe.glb?cn=pip,fi-display-cabinets
2,BLÅLIDEN / STRIMSÄV Glass-door cabinet with lighting - white,white,"{""width"": ""35 cm"", ""depth"": ""32 cm"", ""height"": ""151 cm"", ""max_load/shelf"": ""3 kg""}",downloaded-files/fi-display-cabinets/02 - BLÅLIDEN STRIMSÄV Glass-door cabinet with lighting - white.glb,https://www.ikea.com/fi/en/p/blaliden-strimsaev-glass-door-cabinet-with-lighting-white-s39522956/,https://web-api.ikea.com/dimma/assets/geomagical/39522956/PS01_S01_NV_01/simple/glb_draco/a0c6ac5ce9c16ef10c39fec1bf7141a4-G-39522956-5383f7f0a70748c1df1a02f1f0cafcdcdaaffa16-simple+draco.glb?cn=pip,fi-display-cabinets
3,BLÅLIDEN / STRIMSÄV Glass-door cabinet with lighting - black,black,"{""width"": ""35 cm"", ""depth"": ""32 cm"", ""height"": ""151 cm"", ""max_load/shelf"": ""3 kg""}",downloaded-files/fi-display-cabinets/03 - BLÅLIDEN STRIMSÄV Glass-door cabinet with lighting - black.glb,https://www.ikea.com/fi/en/p/blaliden-strimsaev-glass-door-cabinet-with-lighting-black-s89522925/,https://web-api.ikea.com/dimma/assets/geomagical/89522925/PS01_S01_NV_01/simple/glb/a9934cc05bbb0953f4f2cf7adddd522c-G-89522925-a068c44b114b6426db00a882f9d03001cf9e4c19-simple.glb?cn=pip,fi-display-cabinets
4,BILLY / OXBERG Bookcase with glass-doors - white 80x30x106 cm,white,"{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""106 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-display-cabinets/04 - BILLY OXBERG Bookcase with glass-doors - white 80x30x106 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-glass-doors-white-s09484022/,https://web-api.ikea.com/dimma/assets/geomagical/09484022/PS01_S01_NV_01/simple/glb_draco/6c4f9582dfb00506400b3d63a07ebe7c-G-09484022-8713b2e06e86e5f75c44898dc8de12e343601709-simple+draco.glb?cn=pip,fi-display-cabinets
5,RUDSTA Glass-door cabinet - anthracite 42x37x155 cm,grey,"{""width"": ""42 cm"", ""depth"": ""37 cm"", ""height"": ""155 cm"", ""max_load/shelf"": ""5 kg""}",downloaded-files/fi-display-cabinets/05 - RUDSTA Glass-door cabinet - anthracite 42x37x155 cm.glb,https://www.ikea.com/fi/en/p/rudsta-glass-door-cabinet-anthracite-60434825/,https://web-api.ikea.com/dimma/assets/1.2/60434825/PS01_S01_NV01/iqp1/glb/60434825_PS01_S01_NV01_IQP1_2.0_3328c68878834ec99859906a6d187991.glb?cn=pip,fi-display-cabinets
6,RUDSTA Glass-door cabinet - blue 42x37x155 cm,blue,"{""width"": ""42 cm"", ""depth"": ""37 cm"", ""height"": ""155 cm"", ""max_load/shelf"": ""5 kg""}",downloaded-files/fi-display-cabinets/06 - RUDSTA Glass-door cabinet - blue 42x37x155 cm.glb,https://www.ikea.com/fi/en/p/rudsta-glass-door-cabinet-blue-90601417/,https://web-api.ikea.com/dimma/assets/1.2/90601417/LPT_S01_NV01/rqp1/glb/164b918cfffbe7da8bb601151e89b294-90601417_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-display-cabinets
7,BLÅLIDEN Glass-door cabinet - black 35x32x151 cm,black,"{""width"": ""35 cm"", ""depth"": ""32 cm"", ""height"": ""151 cm"", ""max_load/shelf"": ""3 kg""}",downloaded-files/fi-display-cabinets/07 - BLÅLIDEN Glass-door cabinet - black 35x32x151 cm.glb,https://www.ikea.com/fi/en/p/blaliden-glass-door-cabinet-black-00520519/,https://web-api.ikea.com/dimma/assets/1.2/00520519/PS01_S01_NV01/rqp1/glb/ba083229e3e24fb1a81c92d2fc58c331-00520519_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-display-cabinets
8,BLÅLIDEN Glass-door cabinet - white 35x32x151 cm,white,"{""width"": ""35 cm"", ""depth"": ""32 cm"", ""height"": ""151 cm"", ""max_load/shelf"": ""3 kg""}",downloaded-files/fi-display-cabinets/08 - BLÅLIDEN Glass-door cabinet - white 35x32x151 cm.glb,https://www.ikea.com/fi/en/p/blaliden-glass-door-cabinet-white-00501243/,https://web-api.ikea.com/dimma/assets/1.2/00501243/PS01_S01_NV01/rqp1/glb/f57b9a3397274974b33a2844eb15c6cc-00501243_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-display-cabinets
9,LOMMARP Cabinet with glass doors - dark blue-green 86x199 cm,blue,"{""width"": ""86 cm"", ""depth"": ""49 cm"", ""height"": ""199 cm"", ""max_load/shelf"": ""28 kg""}",downloaded-files/fi-display-cabinets/09 - LOMMARP Cabinet with glass doors - dark blue-green 86x199 cm.glb,https://www.ikea.com/fi/en/p/lommarp-cabinet-with-glass-doors-dark-blue-green-40383737/,https://web-api.ikea.com/dimma/assets/1.2/40383737/PS01_S01_NV01/rqp1/glb/40383737_PS01_S01_NV01_RQP1_3.0_541937d9f298482d98b10f4076954c95.glb?cn=pip,fi-display-cabinets
10,BILLY / OXBERG Bookcase with glass door - brown walnut effect/clear glass 40x30x202 cm,"brown, white","{""width"": ""40 cm"", ""depth"": ""30 cm"", ""height"": ""202 cm"", ""max_load/shelf"": ""14 kg""}",downloaded-files/fi-display-cabinets/10 - BILLY OXBERG Bookcase with glass door - brown walnut effectclear glass 40x30x202 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-glass-door-brown-walnut-effect-clear-glass-s09581829/,https://web-api.ikea.com/dimma/assets/geomagical/09581829/PS01_S01_NV_01/simple/glb_draco/3941b62071f5ede6866c48cdf069cf16-G-09581829-831dfe2f55735f116ef96711195f92fccfe14b3c-simple+draco.glb?cn=pip,fi-display-cabinets
11,BILLY / OXBERG Bookcase with glass door - oak effect/clear glass 40x30x202 cm,"beige, brown, white","{""width"": ""40 cm"", ""depth"": ""30 cm"", ""height"": ""202 cm"", ""max_load/shelf"": ""14 kg""}",downloaded-files/fi-display-cabinets/11 - BILLY OXBERG Bookcase with glass door - oak effectclear glass 40x30x202 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-glass-door-oak-effect-clear-glass-s69581831/,https://web-api.ikea.com/dimma/assets/geomagical/69581831/PS01_S01_NV_01/simple/glb/ec4b6d386aa750bdd82bcc6036c85074-G-69581831-469f51368af747ce3d7eb8c56a2fece62cf16b32-simple.glb?cn=pip,fi-display-cabinets
