index,name,color,dimensions,filename,product_url,glb_url,category
1,RISÖR Room divider - white/black 216x185 cm,"black, white","{""width"": ""216 cm"", ""height"": ""185 cm""}",downloaded-files/fi-room-dividers/01 - RISÖR Room divider - whiteblack 216x185 cm.glb,https://www.ikea.com/fi/en/p/risoer-room-divider-white-black-70182191/,https://web-api.ikea.com/dimma/assets/1.2/70182191/PS01_S01_NV01/iqp1/glb/da5896361ea94a3e8edf13cd733b4d92-70182191_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-room-dividers
2,TOLKNING Room divider - handmade rattan 150x170 cm,beige,"{""width"": ""150 cm"", ""height"": ""170 cm""}",downloaded-files/fi-room-dividers/02 - TOLKNING Room divider - handmade rattan 150x170 cm.glb,https://www.ikea.com/fi/en/p/tolkning-room-divider-handmade-rattan-60512663/,https://web-api.ikea.com/dimma/assets/geomagical/60512663/PS01_S01_NV_01/simple/glb/58671008d07e4a0d94abfdbd70055c56-G-60512663-d21e5f437d0570bd3fa74d1bfc8b4a1f21fd5781-simple.glb?cn=pip,fi-room-dividers
3,KALLAX Shelving unit - white 147x147 cm,white,"{""width"": ""147 cm"", ""depth"": ""39 cm"", ""height"": ""146.5 cm"", ""max_load/shelf"": ""13 kg""}",downloaded-files/fi-room-dividers/03 - KALLAX Shelving unit - white 147x147 cm.glb,https://www.ikea.com/fi/en/p/kallax-shelving-unit-white-30275861/,https://web-api.ikea.com/dimma/assets/1.2/30275861/PS01_S01_NV01/iqp1/glb/9e62c581dad6433cbf621b46de24b5bc-30275861_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-room-dividers
4,KALLAX Shelving unit - black-brown 147x147 cm,"brown, black","{""width"": ""147 cm"", ""depth"": ""39 cm"", ""height"": ""146.5 cm"", ""max_load/shelf"": ""13 kg""}",downloaded-files/fi-room-dividers/04 - KALLAX Shelving unit - black-brown 147x147 cm.glb,https://www.ikea.com/fi/en/p/kallax-shelving-unit-black-brown-10275862/,https://web-api.ikea.com/dimma/assets/1.2/10275862/PS01_S01_NV01/iqp1/glb/d63d285ecb0a4cef9e152127a4fa9dd4-10275862_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-room-dividers
5,GLAMBERGET Room divider - pine/Katorp beige 150x150 cm,beige,"{""width"": ""150 cm"", ""height"": ""150 cm""}",downloaded-files/fi-room-dividers/05 - GLAMBERGET Room divider - pineKatorp beige 150x150 cm.glb,https://www.ikea.com/fi/en/p/glamberget-room-divider-pine-katorp-beige-90564735/,https://web-api.ikea.com/dimma/assets/1.2/90564735/PS01_S01_NV01/rqp1/glb/098760d2256c2f3b178211fc1a6f9853-90564735_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-room-dividers
6,NÄMMARÖ Privacy screen - light brown stained indoor/outdoor 140x80x50 cm,brown,"{""width"": ""80 cm"", ""depth"": ""50 cm"", ""height"": ""140 cm""}",downloaded-files/fi-room-dividers/06 - NÄMMARÖ Privacy screen - light brown stained indooroutdoor 140x80x50 cm.glb,https://www.ikea.com/fi/en/p/naemmaroe-privacy-screen-light-brown-stained-indoor-outdoor-20532743/,https://web-api.ikea.com/dimma/assets/1.2/20532743/PS01_S01_NV01/rqp1/glb/56a4044aaee04a8ab06c5776b07202df-20532743_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-room-dividers
7,GRÅFJÄLLET Room divider - anthracite 150x175 cm,grey,"{""width"": ""150 cm"", ""height"": ""175 cm""}",downloaded-files/fi-room-dividers/07 - GRÅFJÄLLET Room divider - anthracite 150x175 cm.glb,https://www.ikea.com/fi/en/p/grafjaellet-room-divider-anthracite-10570226/,https://web-api.ikea.com/dimma/assets/1.2/10570226/LPT_S01_NV01/rqp1/glb/ce698e48ce5c032d83b61c28080d78bd-10570226_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-room-dividers
8,"EILIF Screen, freestanding - grey/white 80x150 cm","grey, white","{""width"": ""80 cm"", ""height"": ""150 cm""}","downloaded-files/fi-room-dividers/08 - EILIF Screen, freestanding - greywhite 80x150 cm.glb",https://www.ikea.com/fi/en/p/eilif-screen-freestanding-grey-white-s69387462/,https://web-api.ikea.com/dimma/assets/1.2/69387462/PS01_S01_NV01/isp1/glb/69387462_PS01_S01_NV01_ISP1_2.0_64f124a76e374b8ab1b89e772f296f21.glb?cn=pip,fi-room-dividers
9,KALLAX Shelving unit - white 182x182 cm,white,"{""width"": ""182 cm"", ""depth"": ""39 cm"", ""height"": ""182 cm"", ""max_load/shelf"": ""13 kg""}",downloaded-files/fi-room-dividers/09 - KALLAX Shelving unit - white 182x182 cm.glb,https://www.ikea.com/fi/en/p/kallax-shelving-unit-white-70301537/,https://web-api.ikea.com/dimma/assets/1.2/70301537/PS01_S01_NV01/iqp1/glb/30f4a94c16044d0d93e06b0551c444db-70301537_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-room-dividers
10,KALLAX Shelving unit with 10 inserts - white 182x182 cm,white,"{""width"": ""182 cm"", ""depth"": ""39 cm"", ""height"": ""182 cm"", ""max_load/shelf"": ""13 kg""}",downloaded-files/fi-room-dividers/10 - KALLAX Shelving unit with 10 inserts - white 182x182 cm.glb,https://www.ikea.com/fi/en/p/kallax-shelving-unit-with-10-inserts-white-s09278338/,https://web-api.ikea.com/dimma/assets/1.2/09278338/PS01_S01_NV01/isp1/glb/09278338_PS01_S01_NV01_ISP1_2.0_adb534de7220401c842ca90201d73776.glb?cn=pip,fi-room-dividers
