index,name,color,dimensions,filename,product_url,glb_url,category
1,HOLMERUD Side table - oak effect 80x31 cm,"beige, brown","{""width"": ""31 cm"", ""height"": ""52 cm"", ""max_load/shelf"": ""5 kg""}",downloaded-files/fi-sideboards/01 - HOLMERUD Side table - oak effect 80x31 cm.glb,https://www.ikea.com/fi/en/p/holmerud-side-table-oak-effect-40541421/,https://web-api.ikea.com/dimma/assets/1.2/40541421/PS01_S01_NV01/rqp1/glb/49d0844f83c54363b1af088244e0365b-40541421_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-sideboards
2,HOLMERUD Side table - dark brown 80x31 cm,brown,"{""width"": ""31 cm"", ""height"": ""52 cm"", ""max_load/shelf"": ""5 kg""}",downloaded-files/fi-sideboards/02 - HOLMERUD Side table - dark brown 80x31 cm.glb,https://www.ikea.com/fi/en/p/holmerud-side-table-dark-brown-20538721/,https://web-api.ikea.com/dimma/assets/1.2/20538721/PS01_S01_NV01/rqp1/glb/c6f9ab923e0d4f5682391126e2c35c13-20538721_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-sideboards
3,HAUGA Sideboard - white 140x84 cm,white,"{""width"": ""140 cm"", ""depth"": ""46 cm"", ""height"": ""84 cm""}",downloaded-files/fi-sideboards/03 - HAUGA Sideboard - white 140x84 cm.glb,https://www.ikea.com/fi/en/p/hauga-sideboard-white-60407266/,https://web-api.ikea.com/dimma/assets/1.2/60407266/PS01_S01_NV01/rqp1/glb/06c200da6a594aee8f2d50a4f56c1154-60407266_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sideboards
4,HAUGA Sideboard - grey 140x84 cm,grey,"{""width"": ""140 cm"", ""depth"": ""46 cm"", ""height"": ""84 cm""}",downloaded-files/fi-sideboards/04 - HAUGA Sideboard - grey 140x84 cm.glb,https://www.ikea.com/fi/en/p/hauga-sideboard-grey-30456908/,https://web-api.ikea.com/dimma/assets/1.2/30456908/PS01_S01_NV01/rqp1/glb/30456908_PS01_S01_NV01_RQP1_4.0_4378ed49363846bea6180eed91723ac3.glb?cn=pip,fi-sideboards
5,BAGGEBO Sideboard - white 78x92 cm,white,"{""width"": ""78 cm"", ""depth"": ""30 cm"", ""height"": ""92 cm"", ""max_load/shelf"": ""6 kg""}",downloaded-files/fi-sideboards/05 - BAGGEBO Sideboard - white 78x92 cm.glb,https://www.ikea.com/fi/en/p/baggebo-sideboard-white-40553616/,https://web-api.ikea.com/dimma/assets/1.2/40553616/LPT_S01_NV01/rqp1/glb/0c56a7c5229b76faf5fb2d6bc04fb08b-40553616_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sideboards
6,KALLAX Shelving unit - white 77x147 cm,white,"{""width"": ""76.5 cm"", ""depth"": ""39 cm"", ""height"": ""146.5 cm"", ""max_load/shelf"": ""13 kg""}",downloaded-files/fi-sideboards/06 - KALLAX Shelving unit - white 77x147 cm.glb,https://www.ikea.com/fi/en/p/kallax-shelving-unit-white-80275887/,https://web-api.ikea.com/dimma/assets/1.2/80275887/PS01_S01_NV01/iqp1/glb/5b36fa4c47914b55b9b0d6ca7a16cc39-80275887_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-sideboards
7,KALLAX Shelving unit - black-brown 77x147 cm,"brown, black","{""width"": ""76.5 cm"", ""depth"": ""39 cm"", ""height"": ""146.5 cm"", ""max_load/shelf"": ""13 kg""}",downloaded-files/fi-sideboards/07 - KALLAX Shelving unit - black-brown 77x147 cm.glb,https://www.ikea.com/fi/en/p/kallax-shelving-unit-black-brown-20275885/,https://web-api.ikea.com/dimma/assets/1.2/20275885/PS01_S01_NV01/iqp1/glb/a1a32820d8c44a27b7ae3db7e94d5d9d-20275885_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-sideboards
8,KALLAX Shelving unit - high-gloss white 77x147 cm,white,"{""width"": ""76.5 cm"", ""depth"": ""39 cm"", ""height"": ""146.5 cm"", ""max_load/shelf"": ""13 kg""}",downloaded-files/fi-sideboards/08 - KALLAX Shelving unit - high-gloss white 77x147 cm.glb,https://www.ikea.com/fi/en/p/kallax-shelving-unit-high-gloss-white-10305741/,https://web-api.ikea.com/dimma/assets/1.2/10305741/PS01_S01_NV01/iqp1/glb/a624226f93f64f1e9547cc387c6770e3-10305741_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-sideboards
9,VIHALS Sideboard - white 140x37x75 cm,white,"{""width"": ""140 cm"", ""depth"": ""37 cm"", ""height"": ""75 cm"", ""max_load/shelf"": ""18 kg""}",downloaded-files/fi-sideboards/09 - VIHALS Sideboard - white 140x37x75 cm.glb,https://www.ikea.com/fi/en/p/vihals-sideboard-white-30491718/,https://web-api.ikea.com/dimma/assets/1.2/30491718/PS01_S01_NV01/iqp1/glb/70afeb89739442248b8c23106affb93b-30491718_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-sideboards
10,VIHALS Sideboard - dark grey 140x37x75 cm,grey,"{""width"": ""140 cm"", ""depth"": ""37 cm"", ""height"": ""75 cm"", ""max_load/shelf"": ""18 kg""}",downloaded-files/fi-sideboards/10 - VIHALS Sideboard - dark grey 140x37x75 cm.glb,https://www.ikea.com/fi/en/p/vihals-sideboard-dark-grey-60542924/,https://web-api.ikea.com/dimma/assets/1.2/60542924/PS01_S01_NV01/rqp1/glb/97babb71530bd2b6e7f255274d7e1ec6-60542924_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sideboards
11,LIXHULT Cabinet combination - grey 120x35x57 cm,,"{""width"": ""120 cm"", ""depth"": ""35 cm"", ""height"": ""57 cm""}",downloaded-files/fi-sideboards/11 - LIXHULT Cabinet combination - grey 120x35x57 cm.glb,https://www.ikea.com/fi/en/p/lixhult-cabinet-combination-grey-s19279177/,https://web-api.ikea.com/dimma/assets/1.2/19279177/PS01_S01_NV01/isp1/glb_draco/19279177_PS01_S01_NV01_ISP1_2.0_7ed86af5e61742399ee306465ee16a04.glb?cn=pip,fi-sideboards
