index,name,color,dimensions,filename,product_url,glb_url,category
1,TONSTAD Door - oak/veneer glass 50x229 cm,"beige, brown","{""width"": ""50.0 cm"", ""height"": ""229.0 cm""}",downloaded-files/fi-storage-furniture/01 - TONSTAD Door - oakveneer glass 50x229 cm.glb,https://www.ikea.com/fi/en/p/tonstad-door-oak-veneer-glass-50552503/,https://web-api.ikea.com/dimma/assets/1.2/50552503/PS01_S01_NV01/rqp1/glb/cb5d6bca8c6047c0b8f58438f669c79c-50552503_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-storage-furniture
2,STORKLINTA Door - oak effect 50x195 cm,"beige, brown","{""width"": ""49.5 cm"", ""height"": ""194.6 cm""}",downloaded-files/fi-storage-furniture/02 - STORKLINTA Door - oak effect 50x195 cm.glb,https://www.ikea.com/fi/en/p/storklinta-door-oak-effect-10584365/,https://web-api.ikea.com/dimma/assets/1.2/10584365/PS01_S01_NV01/rqp1/glb/c500ca63c53ddbda6b4a512d46090ab6-10584365_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-storage-furniture
3,KOMPLEMENT Pull-out trouser hanger - white 100x58 cm,white,"{""width"": ""100 cm"", ""depth"": ""58 cm"", ""height"": ""3.5 cm""}",downloaded-files/fi-storage-furniture/03 - KOMPLEMENT Pull-out trouser hanger - white 100x58 cm.glb,https://www.ikea.com/fi/en/p/komplement-pull-out-trouser-hanger-white-00446534/,https://web-api.ikea.com/dimma/assets/1.2/00446534/PS01_S01_NV01/iqp1/glb/c8bcfb2d229845a5b16fe9d420fbc618-00446534_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-storage-furniture
4,KOMPLEMENT Box - light grey 15x27x12 cm,grey,"{""width"": ""15 cm"", ""depth"": ""27 cm"", ""height"": ""12 cm""}",downloaded-files/fi-storage-furniture/04 - KOMPLEMENT Box - light grey 15x27x12 cm.glb,https://www.ikea.com/fi/en/p/komplement-box-light-grey-10404053/,https://web-api.ikea.com/dimma/assets/1.2/10404053/PS01_S01_NV01/iqp1/glb/59f5a0192f9142009244debf6be47189-10404053_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-storage-furniture
5,FYRUDDEN Door - blue 50x195 cm,blue,"{""width"": ""50.0 cm"", ""height"": ""195.0 cm""}",downloaded-files/fi-storage-furniture/05 - FYRUDDEN Door - blue 50x195 cm.glb,https://www.ikea.com/fi/en/p/fyrudden-door-blue-80594356/,https://web-api.ikea.com/dimma/assets/1.2/80594356/PS01_S01_NV01/rqp1/glb/aed916cb635f3ea372278d0f393497df-80594356_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-storage-furniture
6,BEGÅVNING Glass dome with base 19 cm,"yellow, white","{""height"": ""19 cm""}",downloaded-files/fi-storage-furniture/06 - BEGÅVNING Glass dome with base 19 cm.glb,https://www.ikea.com/fi/en/p/begavning-glass-dome-with-base-70343938/,https://web-api.ikea.com/dimma/assets/1.2/70343938/PS01_S01_NV01/iqp1/glb/a6abb537204749169d0ebfac7bd1b83b-70343938_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-storage-furniture
7,KONSTFULL Vase - green-brown 16 cm,brown,"{""height"": ""16 cm""}",downloaded-files/fi-storage-furniture/07 - KONSTFULL Vase - green-brown 16 cm.glb,https://www.ikea.com/fi/en/p/konstfull-vase-green-brown-10511963/,https://web-api.ikea.com/dimma/assets/1.2/10511963/PS01_S01_NV01/iqp1/glb/27d7236675074902b886970f82a1352e-10511963_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-storage-furniture
8,PÅSKÖTRÄD Vase - glass/light brown 13.5 cm,brown,"{""height"": ""13.5 cm""}",downloaded-files/fi-storage-furniture/08 - PÅSKÖTRÄD Vase - glasslight brown 13.5 cm.glb,https://www.ikea.com/fi/en/p/paskoetraed-vase-glass-light-brown-70610540/,https://web-api.ikea.com/dimma/assets/1.2/70610540/PS01_S01_NV01/rqp1/glb/0f339135de1356a0849b0a23eb728450-70610540_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-storage-furniture
9,PÅSKÖTRÄD Vase - glass/light brown 20 cm,brown,"{""height"": ""20 cm""}",downloaded-files/fi-storage-furniture/09 - PÅSKÖTRÄD Vase - glasslight brown 20 cm.glb,https://www.ikea.com/fi/en/p/paskoetraed-vase-glass-light-brown-10610538/,https://web-api.ikea.com/dimma/assets/1.2/10610538/PS01_S01_NV01/rqp1/glb/93d6b972016c7652315798a15c2a110d-10610538_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-storage-furniture
10,KOMPLEMENT Insert with compartments - light grey 40x53x5 cm,grey,"{""width"": ""40 cm"", ""depth"": ""53 cm"", ""height"": ""5 cm""}",downloaded-files/fi-storage-furniture/10 - KOMPLEMENT Insert with compartments - light grey 40x53x5 cm.glb,https://www.ikea.com/fi/en/p/komplement-insert-with-compartments-light-grey-50404027/,https://web-api.ikea.com/dimma/assets/1.2/50404027/PS01_S01_NV01/iqp1/glb/50404027_PS01_S01_NV01_IQP1_2.0_e4f83197531947f7a380667ef489f244.glb?cn=pip,fi-storage-furniture
11,TONSTAD Door - off-white 50x229 cm,white,"{""width"": ""49.5 cm"", ""height"": ""229.4 cm""}",downloaded-files/fi-storage-furniture/11 - TONSTAD Door - off-white 50x229 cm.glb,https://www.ikea.com/fi/en/p/tonstad-door-off-white-90510243/,https://web-api.ikea.com/dimma/assets/1.2/90510243/PS01_S01_NV01/rqp1/glb/90510243_PS01_S01_NV01_RQP1_4.0_051c5ad0423a4f469304d6dbabbce838.glb?cn=pip,fi-storage-furniture
