index,name,color,dimensions,filename,product_url,glb_url,category
1,NISSAFORS Trolley - black 50.5x19x67 cm,black,"{""width"": ""19 cm"", ""height"": ""67 cm"", ""max_load/shelf"": ""4 kg""}",downloaded-files/fi-trolleys/01 - NISSAFORS Trolley - black 50.5x19x67 cm.glb,https://www.ikea.com/fi/en/p/nissafors-trolley-black-10602982/,https://web-api.ikea.com/dimma/assets/1.2/10602982/PS01_S01_NV01/rqp1/glb/dd6409c5d0895621e27150287ed36e3e-10602982_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
2,NISSAFORS Trolley - white 50.5x19x67 cm,white,"{""width"": ""19 cm"", ""height"": ""67 cm"", ""max_load/shelf"": ""4 kg""}",downloaded-files/fi-trolleys/02 - NISSAFORS Trolley - white 50.5x19x67 cm.glb,https://www.ikea.com/fi/en/p/nissafors-trolley-white-40602985/,https://web-api.ikea.com/dimma/assets/1.2/40602985/PS01_S01_NV01/rqp1/glb/4f9fc7a118d37421c7d98284f8abcc46-40602985_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
3,VESKEN Trolley - white 54x18x71 cm,white,"{""width"": ""54 cm"", ""depth"": ""18 cm"", ""height"": ""71 cm""}",downloaded-files/fi-trolleys/03 - VESKEN Trolley - white 54x18x71 cm.glb,https://www.ikea.com/fi/en/p/vesken-trolley-white-00471222/,https://web-api.ikea.com/dimma/assets/1.2/00471222/PS01_S01_NV01/rqp1/glb/22493326c8094eccbd95fa1e8a0c0935-00471222_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-trolleys
4,VESKEN Trolley - black 54x18x71 cm,black,"{""width"": ""54 cm"", ""depth"": ""18 cm"", ""height"": ""71 cm""}",downloaded-files/fi-trolleys/04 - VESKEN Trolley - black 54x18x71 cm.glb,https://www.ikea.com/fi/en/p/vesken-trolley-black-60471224/,https://web-api.ikea.com/dimma/assets/1.2/60471224/PS01_S01_NV01/rqp1/glb/ca3ad01b089d460f99097b219596ec50-60471224_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-trolleys
5,RÅSKOG Trolley - black 28x38x61 cm,black,"{""width"": ""38 cm"", ""height"": ""61 cm"", ""max_load/shelf"": ""4 kg""}",downloaded-files/fi-trolleys/05 - RÅSKOG Trolley - black 28x38x61 cm.glb,https://www.ikea.com/fi/en/p/raskog-trolley-black-80586790/,https://web-api.ikea.com/dimma/assets/1.2/80586790/LPT_S01_NV01/rqp1/glb/838305d01c1bf27a804753c2a3b63135-80586790_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
6,RÅSKOG Trolley - white 28x38x61 cm,white,"{""width"": ""38 cm"", ""height"": ""61 cm"", ""max_load/shelf"": ""4 kg""}",downloaded-files/fi-trolleys/06 - RÅSKOG Trolley - white 28x38x61 cm.glb,https://www.ikea.com/fi/en/p/raskog-trolley-white-00586789/,https://web-api.ikea.com/dimma/assets/1.2/00586789/LPT_S01_NV01/rqp1/glb/66705878b7b36ee514dbada4307118f2-00586789_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
7,RÅSKOG Trolley - white 35x45x77 cm,white,"{""width"": ""45 cm"", ""height"": ""77 cm"", ""max_load/shelf"": ""6 kg""}",downloaded-files/fi-trolleys/07 - RÅSKOG Trolley - white 35x45x77 cm.glb,https://www.ikea.com/fi/en/p/raskog-trolley-white-30586783/,https://web-api.ikea.com/dimma/assets/1.2/30586783/LPT_S01_NV01/rqp1/glb/3d4958a574d2b558810bcbfd70d83f20-30586783_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
8,RÅSKOG Trolley - grey-blue 35x45x77 cm,blue,"{""width"": ""45 cm"", ""height"": ""77 cm"", ""max_load/shelf"": ""6 kg""}",downloaded-files/fi-trolleys/08 - RÅSKOG Trolley - grey-blue 35x45x77 cm.glb,https://www.ikea.com/fi/en/p/raskog-trolley-grey-blue-10586784/,https://web-api.ikea.com/dimma/assets/1.2/10586784/LPT_S01_NV01/rqp1/glb/4c306718ba759b00f77a02591c6544e8-10586784_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
9,RÅSKOG Trolley - black 35x45x77 cm,black,"{""width"": ""45 cm"", ""height"": ""77 cm"", ""max_load/shelf"": ""6 kg""}",downloaded-files/fi-trolleys/09 - RÅSKOG Trolley - black 35x45x77 cm.glb,https://www.ikea.com/fi/en/p/raskog-trolley-black-40582181/,https://web-api.ikea.com/dimma/assets/1.2/40582181/LPT_S01_NV01/rqp1/glb/58bb1180956b5fae1291211de21e0495-40582181_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
10,NISSAFORS Trolley - black 50.5x30x83 cm,black,"{""width"": ""30 cm"", ""height"": ""83 cm"", ""max_load/shelf"": ""7 kg""}",downloaded-files/fi-trolleys/10 - NISSAFORS Trolley - black 50.5x30x83 cm.glb,https://www.ikea.com/fi/en/p/nissafors-trolley-black-20399777/,https://web-api.ikea.com/dimma/assets/1.2/20399777/PS01_S01_NV01/isp1/glb/20399777_PS01_S01_NV01_ISP1_2.0_1e15523110d94ead95ad06e442f53a77.glb?cn=pip,fi-trolleys
11,NISSAFORS Trolley - white 50.5x30x83 cm,white,"{""width"": ""30 cm"", ""height"": ""83 cm"", ""max_load/shelf"": ""7 kg""}",downloaded-files/fi-trolleys/11 - NISSAFORS Trolley - white 50.5x30x83 cm.glb,https://www.ikea.com/fi/en/p/nissafors-trolley-white-40465733/,https://web-api.ikea.com/dimma/assets/1.2/40465733/PS01_S01_NV01/isp1/glb_draco/40465733_PS01_S01_NV01_ISP1_2.0_b13c6b4927c44e07b8e2ccf288fed8ec.glb?cn=pip,fi-trolleys
12,NISSAFORS Trolley - light green 50.5x30x83 cm,green,"{""width"": ""30 cm"", ""height"": ""83 cm"", ""max_load/shelf"": ""7 kg""}",downloaded-files/fi-trolleys/12 - NISSAFORS Trolley - light green 50.5x30x83 cm.glb,https://www.ikea.com/fi/en/p/nissafors-trolley-light-green-10606782/,https://web-api.ikea.com/dimma/assets/1.2/10606782/PS01_S01_NV01/rqp1/glb/7ec2549a90946bf28b1df8afe1eb8e83-10606782_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
13,NISSAFORS Trolley - beige 50.5x30x83 cm,beige,"{""width"": ""30 cm"", ""height"": ""83 cm"", ""max_load/shelf"": ""7 kg""}",downloaded-files/fi-trolleys/13 - NISSAFORS Trolley - beige 50.5x30x83 cm.glb,https://www.ikea.com/fi/en/p/nissafors-trolley-beige-40585801/,https://web-api.ikea.com/dimma/assets/1.2/40585801/PS01_S01_NV01/rqp1/glb/e7c2fe4d109d4725bb25b2707d66952c-40585801_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-trolleys
