index,name,color,dimensions,filename,product_url,glb_url,category
1,BILLY Bookcase - brown walnut effect 40x28x202 cm,brown,"{""width"": ""40 cm"", ""depth"": ""28 cm"", ""height"": ""202 cm"", ""max_load/shelf"": ""14 kg""}",downloaded-files/fi-bookcases/01 - BILLY Bookcase - brown walnut effect 40x28x202 cm.glb,https://www.ikea.com/fi/en/p/billy-bookcase-brown-walnut-effect-80508641/,https://web-api.ikea.com/dimma/assets/1.2/80508641/PS01_S01_NV01/rqp1/glb/5507b23185f2694cb4ce5621ff0fa8f8-80508641_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-bookcases
2,BILLY Bookcase - brown walnut effect 80x28x202 cm,brown,"{""width"": ""80 cm"", ""depth"": ""28 cm"", ""height"": ""202 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-bookcases/02 - BILLY Bookcase - brown walnut effect 80x28x202 cm.glb,https://www.ikea.com/fi/en/p/billy-bookcase-brown-walnut-effect-50508652/,https://web-api.ikea.com/dimma/assets/1.2/50508652/PS01_S01_NV01/rqp1/glb/60d00e58dd88bae4a72432b8a3dea5c2-50508652_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-bookcases
3,BILLY Bookcase - white 80x28x202 cm,white,"{""width"": ""80 cm"", ""depth"": ""28 cm"", ""height"": ""202 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-bookcases/03 - BILLY Bookcase - white 80x28x202 cm.glb,https://www.ikea.com/fi/en/p/billy-bookcase-white-00263850/,https://web-api.ikea.com/dimma/assets/1.2/00263850/PS01_S01_NV01/iqp1/glb/00263850_PS01_S01_NV01_iqp1_v1.4.11_100b1b0defc8b2e74b37a21fcf6886d0.glb?cn=pip,fi-bookcases
4,BILLY Bookcase - brown walnut effect 40x28x106 cm,brown,"{""width"": ""40 cm"", ""depth"": ""28 cm"", ""height"": ""106 cm"", ""max_load/shelf"": ""14 kg""}",downloaded-files/fi-bookcases/04 - BILLY Bookcase - brown walnut effect 40x28x106 cm.glb,https://www.ikea.com/fi/en/p/billy-bookcase-brown-walnut-effect-10508625/,https://web-api.ikea.com/dimma/assets/1.2/10508625/PS01_S01_NV01/rqp1/glb/97e60c5b8fd36ab911c1971fdf4a5226-10508625_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-bookcases
5,BILLY Bookcase - white 40x28x106 cm,white,"{""width"": ""40 cm"", ""depth"": ""28 cm"", ""height"": ""106 cm"", ""max_load/shelf"": ""14 kg""}",downloaded-files/fi-bookcases/05 - BILLY Bookcase - white 40x28x106 cm.glb,https://www.ikea.com/fi/en/p/billy-bookcase-white-80263832/,https://web-api.ikea.com/dimma/assets/1.2/80263832/PS01_S01_NV01/iqp1/glb/3b60a8bf8a3144c2b86ab12f3c687d65-80263832_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-bookcases
6,BILLY Bookcase - oak effect 40x28x106 cm,"beige, brown","{""width"": ""40 cm"", ""depth"": ""28 cm"", ""height"": ""106 cm"", ""max_load/shelf"": ""14 kg""}",downloaded-files/fi-bookcases/06 - BILLY Bookcase - oak effect 40x28x106 cm.glb,https://www.ikea.com/fi/en/p/billy-bookcase-oak-effect-20477379/,https://web-api.ikea.com/dimma/assets/1.2/20477379/PS01_S01_NV01/rqp1/glb/5ac4f6c082b44112410d48c5f32c8b1e-20477379_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-bookcases
7,BILLY Bookcase - black oak effect 40x28x106 cm,black,"{""width"": ""40 cm"", ""depth"": ""28 cm"", ""height"": ""106 cm"", ""max_load/shelf"": ""14 kg""}",downloaded-files/fi-bookcases/07 - BILLY Bookcase - black oak effect 40x28x106 cm.glb,https://www.ikea.com/fi/en/p/billy-bookcase-black-oak-effect-30477331/,https://web-api.ikea.com/dimma/assets/1.2/30477331/PS01_S01_NV01/rqp1/glb/a3d3bfd1cef530011ef14c40906919b6-30477331_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-bookcases
8,BILLY / OXBERG Bookcase with doors - brown walnut effect 80x30x106 cm,brown,"{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""106 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-bookcases/08 - BILLY OXBERG Bookcase with doors - brown walnut effect 80x30x106 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-doors-brown-walnut-effect-s39483276/,https://web-api.ikea.com/dimma/assets/geomagical/39483276/PS01_S01_NV_01/simple/glb_draco/b9a4627adc1feaa9e2df046a32896b1d-G-39483276-1e5d6af8f7a8e719fb411cbfc0088fa34af46f5a-simple+draco.glb?cn=pip,fi-bookcases
9,BILLY / OXBERG Bookcase with doors - white 80x30x106 cm,white,"{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""106 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-bookcases/09 - BILLY OXBERG Bookcase with doors - white 80x30x106 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-doors-white-s49280042/,https://web-api.ikea.com/dimma/assets/1.2/49280042/PS01_S01_NV01/isp1/glb/49280042_PS01_S01_NV01_ISP1_2.0_4bd3717b09cc44d181d13aac7b0f0552.glb?cn=pip,fi-bookcases
10,BILLY / OXBERG Bookcase with doors - black oak effect 80x30x106 cm,black,"{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""106 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-bookcases/10 - BILLY OXBERG Bookcase with doors - black oak effect 80x30x106 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-doors-black-oak-effect-s19483277/,https://web-api.ikea.com/dimma/assets/geomagical/19483277/PS01_S01_NV_01/simple/glb_draco/b118fda47087219cd76d03e971e10cf7-G-19483277-d2aaba5f63580ba9eab8bdc412a1959706c09e88-simple+draco.glb?cn=pip,fi-bookcases
