index,name,color,dimensions,filename,product_url,glb_url,category
1,HEJNE 4 sections/shelves - softwood 307x50x171 cm,beige,"{""width"": ""307 cm"", ""depth"": ""50 cm"", ""height"": ""171 cm"", ""max_load/shelf"": ""50 kg""}",downloaded-files/fi-shelving-units/01 - HEJNE 4 sectionsshelves - softwood 307x50x171 cm.glb,https://www.ikea.com/fi/en/p/hejne-4-sections-shelves-softwood-s49046978/,https://web-api.ikea.com/dimma/assets/1.2/49046978/PS01_S01_NV01/isp1/glb/49046978_PS01_S01_NV01_ISP1_2.0_b17f379efe814d1d9526f0a59d06f3da.glb?cn=pip,fi-shelving-units
2,HYLLIS Shelving unit - in/outdoor 60x27x74 cm,grey,"{""width"": ""60 cm"", ""depth"": ""27 cm"", ""height"": ""74 cm"", ""max_load/shelf"": ""25 kg""}",downloaded-files/fi-shelving-units/02 - HYLLIS Shelving unit - inoutdoor 60x27x74 cm.glb,https://www.ikea.com/fi/en/p/hyllis-shelving-unit-in-outdoor-30428326/,https://web-api.ikea.com/dimma/assets/1.2/30428326/PS01_S01_NV01/iqp1/glb/f6379fed4ede4c86a244f391803e9d96-30428326_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-shelving-units
3,HYLLIS Shelving unit - in/outdoor 60x27x140 cm,grey,"{""width"": ""60 cm"", ""depth"": ""27 cm"", ""height"": ""140 cm"", ""max_load/shelf"": ""25 kg""}",downloaded-files/fi-shelving-units/03 - HYLLIS Shelving unit - inoutdoor 60x27x140 cm.glb,https://www.ikea.com/fi/en/p/hyllis-shelving-unit-in-outdoor-00278578/,https://web-api.ikea.com/dimma/assets/1.2/00278578/PS01_S01_NV01/iqp1/glb/0df6dd24a09d4a6ea433cb443f1bc372-00278578_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-shelving-units
4,HEJNE 1 section - softwood 78x50x171 cm,beige,"{""width"": ""78 cm"", ""depth"": ""50 cm"", ""height"": ""171 cm"", ""max_load/shelf"": ""50 kg""}",downloaded-files/fi-shelving-units/04 - HEJNE 1 section - softwood 78x50x171 cm.glb,https://www.ikea.com/fi/en/p/hejne-1-section-softwood-s79031414/,https://web-api.ikea.com/dimma/assets/1.2/79031414/PS01_S01_NV01/isp1/glb/79031414_PS01_S01_NV01_ISP1_2.0_e1a37b85f70a4384bd19b0eceb08399b.glb?cn=pip,fi-shelving-units
5,KOLBJÖRN Cabinet in/outdoor - beige 80x81 cm,beige,"{""width"": ""80 cm"", ""depth"": ""35 cm"", ""height"": ""81 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-shelving-units/05 - KOLBJÖRN Cabinet inoutdoor - beige 80x81 cm.glb,https://www.ikea.com/fi/en/p/kolbjoern-cabinet-in-outdoor-beige-30409295/,https://web-api.ikea.com/dimma/assets/1.2/30409295/PS01_S01_NV01/iqp1/glb/33968be995c141beadd86cb1c768cd0b-30409295_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-shelving-units
6,KOLBJÖRN Shelving unit in/outdoor - beige 80x81 cm,beige,"{""width"": ""80 cm"", ""depth"": ""35 cm"", ""height"": ""81 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files/fi-shelving-units/06 - KOLBJÖRN Shelving unit inoutdoor - beige 80x81 cm.glb,https://www.ikea.com/fi/en/p/kolbjoern-shelving-unit-in-outdoor-beige-60409294/,https://web-api.ikea.com/dimma/assets/1.2/60409294/PS01_S01_NV01/rqp1/glb/3e03b7e4b1114dfcbba9335d0aa28c53-60409294_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-shelving-units
7,BROR Work bench - black/pine plywood 110x55 cm,"beige, black","{""width"": ""55 cm"", ""height"": ""88 cm""}",downloaded-files/fi-shelving-units/07 - BROR Work bench - blackpine plywood 110x55 cm.glb,https://www.ikea.com/fi/en/p/bror-work-bench-black-pine-plywood-30333286/,https://web-api.ikea.com/dimma/assets/1.2/30333286/PS01_S01_NV01/iqp1/glb/30333286_PS01_S01_NV01_IQP1_2.0_d850d95260473c5f319c567d3377ac62.glb?cn=pip,fi-shelving-units
8,HEJNE Post - softwood 171 cm,beige,"{""width"": ""7 cm"", ""height"": ""171 cm""}",downloaded-files/fi-shelving-units/08 - HEJNE Post - softwood 171 cm.glb,https://www.ikea.com/fi/en/p/hejne-post-softwood-00286677/,https://web-api.ikea.com/dimma/assets/1.2/00286677/PS01_S01_NV01/iqp1/glb/00286677_PS01_S01_NV01_IQP1_2.0_d4aa6a2a21353dd1a50d8d6860ab4495.glb?cn=pip,fi-shelving-units
9,BROR Trolley - black/pine plywood 85x55 cm,"beige, black","{""width"": ""55 cm"", ""height"": ""88 cm""}",downloaded-files/fi-shelving-units/09 - BROR Trolley - blackpine plywood 85x55 cm.glb,https://www.ikea.com/fi/en/p/bror-trolley-black-pine-plywood-60333850/,https://web-api.ikea.com/dimma/assets/1.2/00452619/PS01_S01_NV01/iqp1/glb/00452619_PS01_S01_NV01_IQP1_2.0_c4a1f4f60d09e46f9f9223f5ca6da8b9.glb?cn=pip,fi-shelving-units
10,BROR Trolley - grey-green/pine plywood 85x55 cm,green,"{""width"": ""55 cm"", ""height"": ""88 cm""}",downloaded-files/fi-shelving-units/10 - BROR Trolley - grey-greenpine plywood 85x55 cm.glb,https://www.ikea.com/fi/en/p/bror-trolley-grey-green-pine-plywood-80547384/,https://web-api.ikea.com/dimma/assets/1.2/80547384/PS01_S01_NV01/rqp1/glb/dd29498a275e1177e276969e1972d829-80547384_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-shelving-units
11,BROR Shelving unit - black 65x40x110 cm,black,"{""width"": ""65 cm"", ""depth"": ""40 cm"", ""height"": ""110 cm""}",downloaded-files/fi-shelving-units/11 - BROR Shelving unit - black 65x40x110 cm.glb,https://www.ikea.com/fi/en/p/bror-shelving-unit-black-s39272641/,https://web-api.ikea.com/dimma/assets/1.2/39272641/PS01_S01_NV01/isp1/glb/39272641_PS01_S01_NV01_ISP1_2.0_43498fba1efa4d66819e6b5c27fb9d69.glb?cn=pip,fi-shelving-units
12,BROR Shelving unit - black 65x55x110 cm,black,"{""width"": ""65 cm"", ""depth"": ""55 cm"", ""height"": ""110 cm""}",downloaded-files/fi-shelving-units/12 - BROR Shelving unit - black 65x55x110 cm.glb,https://www.ikea.com/fi/en/p/bror-shelving-unit-black-s69272649/,https://web-api.ikea.com/dimma/assets/1.2/69272649/PS01_S01_NV01/isp1/glb/69272649_PS01_S01_NV01_ISP1_2.0_113f53896171444ab956e45c5257a6fd.glb?cn=pip,fi-shelving-units
13,BROR Shelving unit - black 85x55x110 cm,black,"{""width"": ""85 cm"", ""depth"": ""55 cm"", ""height"": ""110 cm""}",downloaded-files/fi-shelving-units/13 - BROR Shelving unit - black 85x55x110 cm.glb,https://www.ikea.com/fi/en/p/bror-shelving-unit-black-s39272655/,https://web-api.ikea.com/dimma/assets/1.2/39272655/PS01_S01_NV01/isp1/glb/39272655_PS01_S01_NV01_ISP1_2.0_4eea1a60f6c94273ad5742fd2970e8e6.glb?cn=pip,fi-shelving-units
14,HEJNE 3 sections/shelves - softwood 230x50x171 cm,beige,"{""width"": ""230 cm"", ""depth"": ""50 cm"", ""height"": ""171 cm"", ""max_load/shelf"": ""50 kg""}",downloaded-files/fi-shelving-units/14 - HEJNE 3 sectionsshelves - softwood 230x50x171 cm.glb,https://www.ikea.com/fi/en/p/hejne-3-sections-shelves-softwood-s99031408/,https://web-api.ikea.com/dimma/assets/1.2/99031408/PS01_S01_NV01/isp1/glb/99031408_PS01_S01_NV01_ISP1_2.0_cb8b2db62d0a4b8db85082a3f095e85d.glb?cn=pip,fi-shelving-units
