index,name,color,dimensions,filename,product_url,glb_url,category
1,LACK Wall shelf - white 110x26 cm,white,"{""width"": ""26 cm"", ""depth"": ""26 cm"", ""height"": ""5 cm""}",downloaded-files/fi-wall-shelves/01 - LACK Wall shelf - white 110x26 cm.glb,https://www.ikea.com/fi/en/p/lack-wall-shelf-white-90282180/,https://web-api.ikea.com/dimma/assets/1.2/90282180/PS01_S01_NV01/iqp1/glb/90282180_PS01_S01_NV01_IQP1_2.0_eb966803711946e1abfd7d905749812f.glb?cn=pip,fi-wall-shelves
2,LACK Wall shelf - black-brown 110x26 cm,"brown, black","{""width"": ""26 cm"", ""depth"": ""26 cm"", ""height"": ""5 cm""}",downloaded-files/fi-wall-shelves/02 - LACK Wall shelf - black-brown 110x26 cm.glb,https://www.ikea.com/fi/en/p/lack-wall-shelf-black-brown-40103633/,https://web-api.ikea.com/dimma/assets/1.2/40103633/PS01_S01_NV01/iqp1/glb/6f5d5f2b41c049059d0de2ac84dcbb09-40103633_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-wall-shelves
3,LACK Wall shelf - black-blue 110x26 cm,blue,"{""width"": ""26 cm"", ""depth"": ""26 cm"", ""height"": ""5 cm""}",downloaded-files/fi-wall-shelves/03 - LACK Wall shelf - black-blue 110x26 cm.glb,https://www.ikea.com/fi/en/p/lack-wall-shelf-black-blue-10595420/,https://web-api.ikea.com/dimma/assets/1.2/10595420/PS01_S01_NV01/rqp1/glb/e7ab468243dbd6e23057b7fb1c1d8d55-10595420_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-shelves
4,MOSSLANDA Picture ledge - walnut effect 55 cm,brown,"{""width"": ""12 cm"", ""depth"": ""12 cm"", ""height"": ""8 cm""}",downloaded-files/fi-wall-shelves/04 - MOSSLANDA Picture ledge - walnut effect 55 cm.glb,https://www.ikea.com/fi/en/p/mosslanda-picture-ledge-walnut-effect-70586936/,https://web-api.ikea.com/dimma/assets/1.2/70586936/PS01_S01_NV01/rqp1/glb/847b43105389182ff9b4cc35f8daa606-70586936_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-shelves
5,MOSSLANDA Picture ledge - walnut effect 115 cm,brown,"{""width"": ""12 cm"", ""depth"": ""12 cm"", ""height"": ""8 cm""}",downloaded-files/fi-wall-shelves/05 - MOSSLANDA Picture ledge - walnut effect 115 cm.glb,https://www.ikea.com/fi/en/p/mosslanda-picture-ledge-walnut-effect-60636649/,https://web-api.ikea.com/dimma/assets/1.2/60636649/PS01_S01_NV01/rqp1/glb/a1cedf35f4d94091288d18b76edc1b6f-60636649_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-shelves
6,APOTEKARE Wall shelf - black 50x52 cm,black,"{""width"": ""50 cm"", ""depth"": ""18 cm"", ""height"": ""52 cm""}",downloaded-files/fi-wall-shelves/06 - APOTEKARE Wall shelf - black 50x52 cm.glb,https://www.ikea.com/fi/en/p/apotekare-wall-shelf-black-00550196/,https://web-api.ikea.com/dimma/assets/1.2/00550196/PS01_S01_NV01/rqp1/glb/e8edf08a146949dc8213dc395a680008-00550196_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-shelves
7,LACK Wall shelf - white 30x26 cm,white,"{""width"": ""26 cm"", ""depth"": ""26 cm"", ""height"": ""5 cm""}",downloaded-files/fi-wall-shelves/07 - LACK Wall shelf - white 30x26 cm.glb,https://www.ikea.com/fi/en/p/lack-wall-shelf-white-50282177/,https://web-api.ikea.com/dimma/assets/1.2/50282177/PS01_S01_NV01/iqp1/glb/50282177_PS01_S01_NV01_IQP1_2.0_31b95a69fd6e4cbf9ea3fdd84a08fca4.glb?cn=pip,fi-wall-shelves
8,LACK Wall shelf - black-brown 30x26 cm,"brown, black","{""width"": ""26 cm"", ""depth"": ""26 cm"", ""height"": ""5 cm""}",downloaded-files/fi-wall-shelves/08 - LACK Wall shelf - black-brown 30x26 cm.glb,https://www.ikea.com/fi/en/p/lack-wall-shelf-black-brown-40430588/,https://web-api.ikea.com/dimma/assets/1.2/40430588/PS01_S01_NV01/iqp1/glb/ce78277de68e42bdb130216b2c350f94-40430588_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-wall-shelves
9,BURHULT / SIBBHULT Wall shelf - white/white 59x20 cm,white,"{""width"": ""59 cm"", ""depth"": ""20 cm"", ""height"": ""2 cm""}",downloaded-files/fi-wall-shelves/09 - BURHULT SIBBHULT Wall shelf - whitewhite 59x20 cm.glb,https://www.ikea.com/fi/en/p/burhult-sibbhult-wall-shelf-white-white-s89325963/,https://web-api.ikea.com/dimma/assets/1.2/89325963/PS01_S01_NV01/isp1/glb/89325963_PS01_S01_NV01_ISP1_2.0_e0fc7171cddd45ad81fade385d64ada8.glb?cn=pip,fi-wall-shelves
10,BURHULT Shelf - white 59x20 cm,white,"{""width"": ""59 cm"", ""depth"": ""20 cm"", ""height"": ""2 cm""}",downloaded-files/fi-wall-shelves/10 - BURHULT Shelf - white 59x20 cm.glb,https://www.ikea.com/fi/en/p/burhult-shelf-white-80400042/,https://web-api.ikea.com/dimma/assets/1.2/80400042/PS01_S01_NV01/iqp1/glb/5066f162624e408fadfcf7882663d23d-80400042_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-wall-shelves
11,DAGGKAPRIFOL Picture ledge - light pink 49 cm,pink,"{""width"": ""10 cm"", ""depth"": ""10 cm"", ""height"": ""4 cm""}",downloaded-files/fi-wall-shelves/11 - DAGGKAPRIFOL Picture ledge - light pink 49 cm.glb,https://www.ikea.com/fi/en/p/daggkaprifol-picture-ledge-light-pink-00617936/,https://web-api.ikea.com/dimma/assets/1.2/00617936/PS01_S01_NV01/rqp1/glb/86ee57ed1b81b59b15acca1e1564b150-00617936_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-shelves
12,MOSSLANDA Picture ledge - grey-beige 55 cm,grey,"{""width"": ""12 cm"", ""depth"": ""12 cm"", ""height"": ""8 cm""}",downloaded-files/fi-wall-shelves/12 - MOSSLANDA Picture ledge - grey-beige 55 cm.glb,https://www.ikea.com/fi/en/p/mosslanda-picture-ledge-grey-beige-80620483/,https://web-api.ikea.com/dimma/assets/1.2/80620483/PS01_S01_NV01/rqp1/glb/a67788886eb3690f99f1bad2f95b8cb9-80620483_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-shelves
13,MOSSLANDA Picture ledge - white 55 cm,white,"{""width"": ""12 cm"", ""depth"": ""12 cm"", ""height"": ""8 cm""}",downloaded-files/fi-wall-shelves/13 - MOSSLANDA Picture ledge - white 55 cm.glb,https://www.ikea.com/fi/en/p/mosslanda-picture-ledge-white-40291766/,https://web-api.ikea.com/dimma/assets/1.2/40291766/PS01_S01_NV01/iqp1/glb/2aee707ebdb942c3a472dad385361312-40291766_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-wall-shelves
14,MOSSLANDA Picture ledge - white 115 cm,white,"{""width"": ""12 cm"", ""depth"": ""12 cm"", ""height"": ""8 cm""}",downloaded-files/fi-wall-shelves/14 - MOSSLANDA Picture ledge - white 115 cm.glb,https://www.ikea.com/fi/en/p/mosslanda-picture-ledge-white-90292103/,https://web-api.ikea.com/dimma/assets/1.2/90292103/PS01_S01_NV01/iqp1/glb/67f5a3f089064c6ea9694a69be2fc66b-90292103_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-wall-shelves
15,BERGSHULT Shelf - white 120x30 cm,white,"{""width"": ""120 cm"", ""depth"": ""30 cm"", ""height"": ""3 cm""}",downloaded-files/fi-wall-shelves/15 - BERGSHULT Shelf - white 120x30 cm.glb,https://www.ikea.com/fi/en/p/bergshult-shelf-white-30421235/,https://web-api.ikea.com/dimma/assets/1.2/30421235/PS01_S01_NV01/iqp1/glb/19469cfafcab40ef9cf29a19051bb2fe-30421235_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-wall-shelves
16,BERGSHULT Shelf - brown-black 120x30 cm,"brown, black","{""width"": ""120 cm"", ""depth"": ""30 cm"", ""height"": ""3 cm""}",downloaded-files/fi-wall-shelves/16 - BERGSHULT Shelf - brown-black 120x30 cm.glb,https://www.ikea.com/fi/en/p/bergshult-shelf-brown-black-80426283/,https://web-api.ikea.com/dimma/assets/1.2/80426283/PS01_S01_NV01/iqp1/glb/0e99244e402d4e0dbba6a92bd0af0f47-80426283_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-wall-shelves
17,BERGSHULT Shelf - white 80x30 cm,white,"{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""3 cm""}",downloaded-files/fi-wall-shelves/17 - BERGSHULT Shelf - white 80x30 cm.glb,https://www.ikea.com/fi/en/p/bergshult-shelf-white-40400044/,https://web-api.ikea.com/dimma/assets/1.2/40400044/PS01_S01_NV01/iqp1/glb/c672bfd47fa64c618b36d1270d8c058e-40400044_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-wall-shelves
18,BOAXEL Shelf - oak effect 60x40 cm,"beige, brown","{""width"": ""60 cm"", ""depth"": ""40 cm"", ""height"": ""2 cm""}",downloaded-files/fi-wall-shelves/18 - BOAXEL Shelf - oak effect 60x40 cm.glb,https://www.ikea.com/fi/en/p/boaxel-shelf-oak-effect-80576079/,https://web-api.ikea.com/dimma/assets/1.2/80576079/PS01_S01_NV01/rqp1/glb/69ea0e51828866135e1b6ff32f244d23-80576079_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-shelves
19,BOAXEL Shelf - oak effect 80x40 cm,"beige, brown","{""width"": ""80 cm"", ""depth"": ""40 cm"", ""height"": ""2 cm""}",downloaded-files/fi-wall-shelves/19 - BOAXEL Shelf - oak effect 80x40 cm.glb,https://www.ikea.com/fi/en/p/boaxel-shelf-oak-effect-60576080/,https://web-api.ikea.com/dimma/assets/1.2/60576080/PS01_S01_NV01/rqp1/glb/60576080_PS01_S01_NV01_RQP1_4.0_4e75c04732df47b3a911a50afe6e1269.glb?cn=pip,fi-wall-shelves
20,FJÄLLBO Wall shelf - black 101x20 cm,"beige, black","{""width"": ""101 cm"", ""depth"": ""20 cm"", ""height"": ""21 cm""}",downloaded-files/fi-wall-shelves/20 - FJÄLLBO Wall shelf - black 101x20 cm.glb,https://www.ikea.com/fi/en/p/fjaellbo-wall-shelf-black-80421247/,https://web-api.ikea.com/dimma/assets/1.2/80421247/PS01_S01_NV01/iqp1/glb/b3ce8fa7e1f746719228c3a234e58d21-80421247_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip,fi-wall-shelves
