index,name,color,dimensions,filename,product_url,glb_url,category
1,VIHALS Chair - white/Tibbleby beige-grey,"grey, white","{""width"": ""45 cm"", ""depth"": ""55 cm"", ""height"": ""81 cm"", ""seat_width"": ""45 cm"", ""seat_depth"": ""40 cm"", ""seat_height"": ""45 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/01 - VIHALS Chair - whiteTibbleby beige-grey.glb,https://www.ikea.com/fi/en/p/vihals-chair-white-tibbleby-beige-grey-30592760/,https://web-api.ikea.com/dimma/assets/1.2/30592760/PS01_S01_NV01/rqp1/glb/7f71034f3be9fb20380c517ebf43a52e-30592760_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-dining-chairs
2,VIHALS Chair - green/Tibbleby grey-green,green,"{""width"": ""45 cm"", ""depth"": ""55 cm"", ""height"": ""81 cm"", ""seat_width"": ""45 cm"", ""seat_depth"": ""40 cm"", ""seat_height"": ""45 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/02 - VIHALS Chair - greenTibbleby grey-green.glb,https://www.ikea.com/fi/en/p/vihals-chair-green-tibbleby-grey-green-80592767/,https://web-api.ikea.com/dimma/assets/1.2/80592767/PS01_S01_NV01/rqp1/glb/e0a46502b4ad4c8959d5d89264e4a190-80592767_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-dining-chairs
3,LISABO Chair - ash/Tallmyra white/black,"black, white","{""width"": ""46 cm"", ""depth"": ""51 cm"", ""height"": ""80 cm"", ""seat_width"": ""45 cm"", ""seat_depth"": ""39 cm"", ""seat_height"": ""48 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/03 - LISABO Chair - ashTallmyra whiteblack.glb,https://www.ikea.com/fi/en/p/lisabo-chair-ash-tallmyra-white-black-30553706/,https://web-api.ikea.com/dimma/assets/1.2/30553706/PS01_S01_NV01/rqp1/glb/30553706_PS01_S01_NV01_RQP1_4.0_b5caab0611cf401884c346a69159b14a.glb?cn=pip,fi-dining-chairs
4,LISABO Chair - black/Tallmyra black/grey,black,"{""width"": ""46 cm"", ""depth"": ""51 cm"", ""height"": ""80 cm"", ""seat_width"": ""45 cm"", ""seat_depth"": ""39 cm"", ""seat_height"": ""48 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/04 - LISABO Chair - blackTallmyra blackgrey.glb,https://www.ikea.com/fi/en/p/lisabo-chair-black-tallmyra-black-grey-60554083/,https://web-api.ikea.com/dimma/assets/1.2/60554083/PS01_S01_NV01/rqp1/glb/60554083_PS01_S01_NV01_RQP1_4.0_785da2b14a3b432884a77f02c9190c86.glb?cn=pip,fi-dining-chairs
5,PINNTORP Chair - blue stained/pine,blue,"{""width"": ""42 cm"", ""depth"": ""49 cm"", ""height"": ""90 cm"", ""seat_width"": ""42 cm"", ""seat_depth"": ""37 cm"", ""seat_height"": ""45 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/05 - PINNTORP Chair - blue stainedpine.glb,https://www.ikea.com/fi/en/p/pinntorp-chair-blue-stained-pine-30635175/,https://web-api.ikea.com/dimma/assets/1.2/30635175/PS01_S01_NV01/rqp1/glb/47f14963e9ff580c966a73e772fc7c23-30635175_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-dining-chairs
6,PINNTORP Chair - black stained/pine,black,"{""width"": ""42 cm"", ""depth"": ""49 cm"", ""height"": ""90 cm"", ""seat_width"": ""42 cm"", ""seat_depth"": ""37 cm"", ""seat_height"": ""45 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/06 - PINNTORP Chair - black stainedpine.glb,https://www.ikea.com/fi/en/p/pinntorp-chair-black-stained-pine-00635167/,https://web-api.ikea.com/dimma/assets/1.2/00635167/PS01_S01_NV01/rqp1/glb/e5b2bea12594ccdc72865a0e594e5063-00635167_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-dining-chairs
7,PINNTORP Chair - white stained/pine,white,"{""width"": ""42 cm"", ""depth"": ""49 cm"", ""height"": ""90 cm"", ""seat_width"": ""42 cm"", ""seat_depth"": ""37 cm"", ""seat_height"": ""45 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/07 - PINNTORP Chair - white stainedpine.glb,https://www.ikea.com/fi/en/p/pinntorp-chair-white-stained-pine-90635177/,https://web-api.ikea.com/dimma/assets/1.2/90635177/PS01_S01_NV01/rqp1/glb/0b8d9eda8d15eb4df05f3dbdc2d8b4ae-90635177_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-dining-chairs
8,PINNTORP Chair - light brown stained/pine,brown,"{""width"": ""42 cm"", ""depth"": ""49 cm"", ""height"": ""90 cm"", ""seat_width"": ""42 cm"", ""seat_depth"": ""37 cm"", ""seat_height"": ""45 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/08 - PINNTORP Chair - light brown stainedpine.glb,https://www.ikea.com/fi/en/p/pinntorp-chair-light-brown-stained-pine-00590480/,https://web-api.ikea.com/dimma/assets/1.2/00590480/PS01_S01_NV01/rqp1/glb/387a207b5b0b4c7c84245e5a29f55656-00590480_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-dining-chairs
9,SKÅLSTA Chair - Knäbäck beige/tubular metal/light grey-beige,beige,"{""width"": ""52 cm"", ""depth"": ""50 cm"", ""height"": ""80 cm"", ""seat_width"": ""46 cm"", ""seat_depth"": ""40 cm"", ""seat_height"": ""49 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/09 - SKÅLSTA Chair - Knäbäck beigetubular metallight grey-beige.glb,https://www.ikea.com/fi/en/p/skalsta-chair-knaebaeck-beige-tubular-metal-light-grey-beige-s89608740/,https://web-api.ikea.com/dimma/assets/geomagical/89608740/PS01_S01_NV_01/simple/glb/8d46ff750c87d617dc248be573be7e1d-G-89608740-671d9bb066fde2098cd9fcf118efe4c4203c4106-simple.glb?cn=pip,fi-dining-chairs
10,SANDSBERG Chair - anthracite/Remmarn anthracite,grey,"{""width"": ""45 cm"", ""depth"": ""45 cm"", ""height"": ""76 cm"", ""seat_width"": ""39 cm"", ""seat_height"": ""46 cm""}",downloaded-files/椅子凳子長凳/fi-dining-chairs/10 - SANDSBERG Chair - anthraciteRemmarn anthracite.glb,https://www.ikea.com/fi/en/p/sandsberg-chair-anthracite-remmarn-anthracite-40605253/,https://web-api.ikea.com/dimma/assets/1.2/40605253/PS01_S01_NV01/rqp1/glb/905abdd4cb06ad193ffc8264a4154c95-40605253_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-dining-chairs
