index,name,color,dimensions,filename,product_url,glb_url,category
1,HUVUDSPELARE Gaming chair - black,black,"{""width"": ""60 cm"", ""depth"": ""54 cm"", ""height"": ""123 cm"", ""seat_width"": ""46 cm"", ""seat_depth"": ""42 cm"", ""seat_height"": ""53 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/01 - HUVUDSPELARE Gaming chair - black.glb,https://www.ikea.com/fi/en/p/huvudspelare-gaming-chair-black-90507603/,https://web-api.ikea.com/dimma/assets/1.2/90507603/PS01_S01_NV01/rqp1/glb/7d7e5fc3d3a9924148adacbef2d63271-90507603_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-office-chairs
2,MILLBERGET Swivel chair - Murum black,black,"{""width"": ""70 cm"", ""depth"": ""70 cm"", ""height"": ""123 cm"", ""seat_width"": ""50 cm"", ""seat_depth"": ""46 cm"", ""seat_height"": ""58 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/02 - MILLBERGET Swivel chair - Murum black.glb,https://www.ikea.com/fi/en/p/millberget-swivel-chair-murum-black-70489394/,https://web-api.ikea.com/dimma/assets/geomagical/70489394/PS01_S01_NV_01/simple/glb_draco/79a5ffbb9e1a40288f4a4848ad52715a-G-70489394-6d345d58a31e8b832d79751a3c8c494ff7c61a14-simple+draco.glb?cn=pip,fi-office-chairs
3,MILLBERGET Swivel chair - Murum beige,beige,"{""width"": ""70 cm"", ""depth"": ""70 cm"", ""height"": ""123 cm"", ""seat_width"": ""50 cm"", ""seat_depth"": ""46 cm"", ""seat_height"": ""58 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/03 - MILLBERGET Swivel chair - Murum beige.glb,https://www.ikea.com/fi/en/p/millberget-swivel-chair-murum-beige-70489389/,https://web-api.ikea.com/dimma/assets/1.2/70489389/PS01_S01_NV01/rqp1/glb/3d53a2de211fdeb6728efd05d2f05dd1-70489389_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-office-chairs
4,LOBERGET / MALSKÄR Swivel chair - white,white,"{""width"": ""67 cm"", ""depth"": ""67 cm"", ""height"": ""90 cm"", ""seat_width"": ""40 cm"", ""seat_depth"": ""43 cm"", ""seat_height"": ""45 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/04 - LOBERGET MALSKÄR Swivel chair - white.glb,https://www.ikea.com/fi/en/p/loberget-malskaer-swivel-chair-white-s19445469/,https://web-api.ikea.com/dimma/assets/dimma/19445469/PS01_S01_NV01/rqp3/glb/19445469_e5bb8f05468947f6a5b154006318ca69.glb?cn=pip,fi-office-chairs
5,LOBERGET / MALSKÄR Swivel chair - white/black,"black, white","{""width"": ""67 cm"", ""depth"": ""67 cm"", ""height"": ""90 cm"", ""seat_width"": ""40 cm"", ""seat_depth"": ""43 cm"", ""seat_height"": ""45 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/05 - LOBERGET MALSKÄR Swivel chair - whiteblack.glb,https://www.ikea.com/fi/en/p/loberget-malskaer-swivel-chair-white-black-s29488571/,https://web-api.ikea.com/dimma/assets/geomagical/29488571/PS01_S01_NV01/simple/glb_draco/G-29488571-0e58aa1f92d19ce17f4f9531342c6abab73f4d28_3f44215345084819a3376b6136a1bfbc.glb?cn=pip,fi-office-chairs
6,MARKUS Office chair - Vissle dark grey Medium,grey,"{""width"": ""62 cm"", ""depth"": ""60 cm"", ""height"": ""129 cm"", ""seat_width"": ""53 cm"", ""seat_depth"": ""47 cm"", ""seat_height"": ""46 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/06 - MARKUS Office chair - Vissle dark grey Medium.glb,https://www.ikea.com/fi/en/p/markus-office-chair-vissle-dark-grey-70261150/,https://web-api.ikea.com/dimma/assets/1.2/70261150/PS01_S01_NV01/iqp1/glb/593f3a2315a843648237611c78fe0c14-70261150_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-office-chairs
7,MARKUS Office chair - Vissle light grey Medium,grey,"{""width"": ""62 cm"", ""depth"": ""60 cm"", ""height"": ""129 cm"", ""seat_width"": ""53 cm"", ""seat_depth"": ""47 cm"", ""seat_height"": ""46 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/07 - MARKUS Office chair - Vissle light grey Medium.glb,https://www.ikea.com/fi/en/p/markus-office-chair-vissle-light-grey-10521858/,https://web-api.ikea.com/dimma/assets/1.2/10521858/PS01_S01_NV01/rqp1/glb/ade095e8147a109c49bf0239830bc8a1-10521858_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-office-chairs
8,RENBERGET Swivel chair - Bomstad black,black,"{""width"": ""67 cm"", ""depth"": ""67 cm"", ""height"": ""111 cm"", ""seat_width"": ""48 cm"", ""seat_depth"": ""43 cm"", ""seat_height"": ""55 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/08 - RENBERGET Swivel chair - Bomstad black.glb,https://www.ikea.com/fi/en/p/renberget-swivel-chair-bomstad-black-60493546/,https://web-api.ikea.com/dimma/assets/1.2/60493546/PS01_S01_NV01/rqp1/glb/23900d523b064f058a9599c2de842c73-60493546_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-office-chairs
9,FLINTAN Office chair with armrests - black,black,"{""width"": ""71 cm"", ""depth"": ""71 cm"", ""height"": ""114 cm"", ""seat_width"": ""46 cm"", ""seat_depth"": ""49 cm"", ""seat_height"": ""58 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/09 - FLINTAN Office chair with armrests - black.glb,https://www.ikea.com/fi/en/p/flintan-office-chair-with-armrests-black-s89424468/,https://web-api.ikea.com/dimma/assets/1.2/89424468/PS01_S01_NV01/isp1/glb_draco/89424468_PS01_S01_NV01_ISP1_2.0_27f9827c007947ba91f9f1547ec3b500.glb?cn=pip,fi-office-chairs
10,FLINTAN Office chair - beige,beige,"{""width"": ""46 cm"", ""depth"": ""71 cm"", ""height"": ""114 cm"", ""seat_width"": ""46 cm"", ""seat_depth"": ""49 cm"", ""seat_height"": ""58 cm""}",downloaded-files/椅子凳子長凳/fi-office-chairs/10 - FLINTAN Office chair - beige.glb,https://www.ikea.com/fi/en/p/flintan-office-chair-beige-70492202/,https://web-api.ikea.com/dimma/assets/geomagical/70492202/PS01_S01_NV_01/simple/glb/3b3383cd6a87dea54ded5b2bfd1293c7-G-70492202-f82b0db17d427a1cc1ac3915e8d0139ac5ad2982-simple.glb?cn=pip,fi-office-chairs
