index,name,color,dimensions,filename,product_url,glb_url,category
1,STOCKHOLM Three-seat sofa - Seglora natural,"beige, brown","{""width"": ""211 cm"", ""depth"": ""88 cm"", ""height"": ""80 cm"", ""seat_width"": ""158 cm"", ""seat_depth"": ""59 cm"", ""seat_height"": ""43 cm""}",downloaded-files/fi-leather-sofas/01 - STOCKHOLM Three-seat sofa - Seglora natural.glb,https://www.ikea.com/fi/en/p/stockholm-three-seat-sofa-seglora-natural-80245051/,https://web-api.ikea.com/dimma/assets/1.2/80245051/PS01_S01_NV01/rqp1/glb/af777a57e4684530b80eab16cfd586dd-80245051_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-leather-sofas
2,LANDSKRONA 3-seat sofa - Grann/Bomstad golden-brown/wood,brown,"{""width"": ""204 cm"", ""depth"": ""89 cm"", ""height"": ""78 cm"", ""seat_width"": ""180 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-leather-sofas/02 - LANDSKRONA 3-seat sofa - GrannBomstad golden-brownwood.glb,https://www.ikea.com/fi/en/p/landskrona-3-seat-sofa-grann-bomstad-golden-brown-wood-s49270302/,https://web-api.ikea.com/dimma/assets/1.2/49270302/PS01_S01_NV01/isp1/glb_draco/49270302_PS01_S01_NV01_ISP1_2.0_a3b0462948e34248a985cc9807733988.glb?cn=pip,fi-leather-sofas
3,LANDSKRONA Three-seat sofa - Grann/Bomstad black/wood,black,"{""width"": ""204 cm"", ""depth"": ""89 cm"", ""height"": ""78 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-leather-sofas/03 - LANDSKRONA Three-seat sofa - GrannBomstad blackwood.glb,https://www.ikea.com/fi/en/p/landskrona-three-seat-sofa-grann-bomstad-black-wood-s59031702/,https://web-api.ikea.com/dimma/assets/1.2/59031702/PS01_S01_NV01/isp1/glb/59031702_PS01_S01_NV01_ISP1_2.0_641d85363fd245a9bb9dd0d3a87ed101.glb?cn=pip,fi-leather-sofas
4,LANDSKRONA 3-seat sofa - Grann/Bomstad golden-brown/metal,brown,"{""width"": ""204 cm"", ""depth"": ""89 cm"", ""height"": ""78 cm"", ""seat_width"": ""180 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-leather-sofas/04 - LANDSKRONA 3-seat sofa - GrannBomstad golden-brownmetal.glb,https://www.ikea.com/fi/en/p/landskrona-3-seat-sofa-grann-bomstad-golden-brown-metal-s09270295/,https://web-api.ikea.com/dimma/assets/1.2/09270295/PS01_S01_NV01/isp1/glb/09270295_PS01_S01_NV01_ISP1_2.0_6db379e537b648ec9f8d5bd332c9842e.glb?cn=pip,fi-leather-sofas
5,LANDSKRONA Three-seat sofa - Grann/Bomstad black/metal,black,"{""width"": ""204 cm"", ""depth"": ""89 cm"", ""height"": ""78 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-leather-sofas/05 - LANDSKRONA Three-seat sofa - GrannBomstad blackmetal.glb,https://www.ikea.com/fi/en/p/landskrona-three-seat-sofa-grann-bomstad-black-metal-s59031698/,https://web-api.ikea.com/dimma/assets/1.2/59031698/PS01_S01_NV01/isp1/glb/59031698_PS01_S01_NV01_ISP1_2.0_3aeffe36f8e8494aba37a095598c62d1.glb?cn=pip,fi-leather-sofas
6,LANDSKRONA 2-seat sofa - Grann/Bomstad golden-brown/wood,brown,"{""width"": ""164 cm"", ""depth"": ""89 cm"", ""height"": ""78 cm"", ""seat_width"": ""140 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-leather-sofas/06 - LANDSKRONA 2-seat sofa - GrannBomstad golden-brownwood.glb,https://www.ikea.com/fi/en/p/landskrona-2-seat-sofa-grann-bomstad-golden-brown-wood-s69270264/,https://web-api.ikea.com/dimma/assets/1.2/69270264/PS01_S01_NV01/isp1/glb_draco/69270264_PS01_S01_NV01_ISP1_2.0_afc8d3b3306b4a96841c18c09c213ebb.glb?cn=pip,fi-leather-sofas
7,LANDSKRONA Two-seat sofa - Grann/Bomstad black/wood,black,"{""width"": ""164 cm"", ""depth"": ""89 cm"", ""height"": ""78 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-leather-sofas/07 - LANDSKRONA Two-seat sofa - GrannBomstad blackwood.glb,https://www.ikea.com/fi/en/p/landskrona-two-seat-sofa-grann-bomstad-black-wood-s29031746/,https://web-api.ikea.com/dimma/assets/1.2/29031746/PS01_S01_NV01/isp1/glb/29031746_PS01_S01_NV01_ISP1_2.0_90b8cf12020f4b15884d6102d7405a1a.glb?cn=pip,fi-leather-sofas
8,LANDSKRONA Two-seat sofa - Grann/Bomstad black/metal,black,"{""width"": ""164 cm"", ""depth"": ""89 cm"", ""height"": ""78 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-leather-sofas/08 - LANDSKRONA Two-seat sofa - GrannBomstad blackmetal.glb,https://www.ikea.com/fi/en/p/landskrona-two-seat-sofa-grann-bomstad-black-metal-s19031742/,https://web-api.ikea.com/dimma/assets/1.2/19031742/PS01_S01_NV01/isp1/glb/19031742_PS01_S01_NV01_ISP1_2.0_54b7d4a8c68a4ff38a0bfe32d05bb783.glb?cn=pip,fi-leather-sofas
9,LANDSKRONA 2-seat sofa - Grann/Bomstad golden-brown/metal,brown,"{""width"": ""164 cm"", ""depth"": ""89 cm"", ""height"": ""78 cm"", ""seat_width"": ""140 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-leather-sofas/09 - LANDSKRONA 2-seat sofa - GrannBomstad golden-brownmetal.glb,https://www.ikea.com/fi/en/p/landskrona-2-seat-sofa-grann-bomstad-golden-brown-metal-s19270266/,https://web-api.ikea.com/dimma/assets/1.2/19270266/PS01_S01_NV01/isp1/glb/19270266_PS01_S01_NV01_ISP1_2.0_3b04a29001164c91a89704f81fd1ab0e.glb?cn=pip,fi-leather-sofas
10,VISKAFORS 3-seat sofa - Högalid brown/birch,brown,"{""width"": ""22 cm"", ""depth"": ""90 cm"", ""height"": ""74 cm"", ""seat_width"": ""178 cm"", ""seat_depth"": ""60 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-leather-sofas/10 - VISKAFORS 3-seat sofa - Högalid brownbirch.glb,https://www.ikea.com/fi/en/p/viskafors-3-seat-sofa-hoegalid-brown-birch-s19443352/,https://web-api.ikea.com/dimma/assets/geomagical/19443352/PS01_S01_NV_01/simple/glb_draco/cf1cc88ebcd234e78945c3d1a81641ff-G-19443352-5f12d62cbf2a25aa34f60611a8cce7ed7e8f9d03-simple+draco.glb?cn=pip,fi-leather-sofas
