index,name,color,dimensions,filename,product_url,glb_url,category
1,SKÖNABÄCK 2-seat sofa-bed - Knisa dark grey,grey,"{""width"": ""15 cm"", ""depth"": ""75 cm"", ""height"": ""66 cm"", ""seat_width"": ""128 cm"", ""seat_depth"": ""51 cm"", ""seat_height"": ""39 cm""}",downloaded-files/fi-sofa-beds/01 - SKÖNABÄCK 2-seat sofa-bed - Knisa dark grey.glb,https://www.ikea.com/fi/en/p/skoenabaeck-2-seat-sofa-bed-knisa-dark-grey-70582542/,https://web-api.ikea.com/dimma/assets/1.2/70582542/PS01_S01_NV01/rqp1/glb/1e2a9cd79d47e88a6900456de2099b7d-70582542_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
2,SKÖNABÄCK 2-seat sofa-bed - Vissle yellow-green,green,"{""width"": ""15 cm"", ""depth"": ""75 cm"", ""height"": ""66 cm"", ""seat_width"": ""128 cm"", ""seat_depth"": ""51 cm"", ""seat_height"": ""39 cm""}",downloaded-files/fi-sofa-beds/02 - SKÖNABÄCK 2-seat sofa-bed - Vissle yellow-green.glb,https://www.ikea.com/fi/en/p/skoenabaeck-2-seat-sofa-bed-vissle-yellow-green-60582547/,https://web-api.ikea.com/dimma/assets/1.2/60582547/PS01_S01_NV01/rqp1/glb/3adb2c2283d9039963075f7aa1b94e8f-60582547_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
3,GRUNNARP 3-seat sofa-bed - Gunnared beige,,"{""width"": ""232 cm"", ""depth"": ""89 cm"", ""height"": ""46 cm"", ""seat_width"": ""200 cm"", ""seat_depth"": ""76 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/03 - GRUNNARP 3-seat sofa-bed - Gunnared beige.glb,https://www.ikea.com/fi/en/p/grunnarp-3-seat-sofa-bed-gunnared-beige-30583384/,https://web-api.ikea.com/dimma/assets/1.2/30583384/PS01_S01_NV01/rqp1/glb/1c59fb4643d0dd236319893267342652-30583384_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
4,GRUNNARP 3-seat sofa-bed - Gunnared light brown-pink,,"{""width"": ""232 cm"", ""depth"": ""89 cm"", ""height"": ""46 cm"", ""seat_width"": ""200 cm"", ""seat_depth"": ""76 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/04 - GRUNNARP 3-seat sofa-bed - Gunnared light brown-pink.glb,https://www.ikea.com/fi/en/p/grunnarp-3-seat-sofa-bed-gunnared-light-brown-pink-50583397/,https://web-api.ikea.com/dimma/assets/1.2/50583397/PS01_S01_NV01/rqp1/glb/5bceba64342020fa8ca3b2de34eda5a5-50583397_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
5,TORNSBORG 2-seat sofa-bed - Naggen beige/pine,beige,"{""width"": ""7 cm"", ""depth"": ""95 cm"", ""height"": ""53 cm"", ""seat_width"": ""140 cm"", ""seat_depth"": ""66 cm"", ""seat_height"": ""38 cm""}",downloaded-files/fi-sofa-beds/05 - TORNSBORG 2-seat sofa-bed - Naggen beigepine.glb,https://www.ikea.com/fi/en/p/tornsborg-2-seat-sofa-bed-naggen-beige-pine-90584658/,https://web-api.ikea.com/dimma/assets/1.2/90584658/PS01_S01_NV01/rqp1/glb/da034e1a112a3ff925fa99bcd23bf00d-90584658_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
6,BÅRSLÖV 3-seat sofa-bed with chaise longue - Tibbleby beige/grey,"beige, grey","{""width"": ""236 cm"", ""depth"": ""153 cm"", ""height"": ""90 cm"", ""seat_depth"": ""52 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/06 - BÅRSLÖV 3-seat sofa-bed with chaise longue - Tibbleby beigegrey.glb,https://www.ikea.com/fi/en/p/barsloev-3-seat-sofa-bed-with-chaise-longue-tibbleby-beige-grey-80541594/,https://web-api.ikea.com/dimma/assets/1.2/80541594/PS01_S01_NV01/rqp1/glb/5afc1a17da26f10c3b31888c35b9420a-80541594_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
7,BÅRSLÖV 3-seat sofa-bed with chaise longue - Tibbleby light grey-turquoise,turquoise,"{""width"": ""236 cm"", ""depth"": ""153 cm"", ""height"": ""90 cm"", ""seat_depth"": ""52 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/07 - BÅRSLÖV 3-seat sofa-bed with chaise longue - Tibbleby light grey-turquoise.glb,https://www.ikea.com/fi/en/p/barsloev-3-seat-sofa-bed-with-chaise-longue-tibbleby-light-grey-turquoise-80530816/,https://web-api.ikea.com/dimma/assets/geomagical/80530816/PS01_S01_NV_01/simple/glb/f5f02de787e7d823f0e8009ecd95ac4f-G-80530816-776a616654244175c1442b4e8ced586baef2f591-simple.glb?cn=pip,fi-sofa-beds
8,FRIHETEN Three-seat sofa-bed - Skiftebo dark grey,grey,"{""width"": ""225 cm"", ""depth"": ""105 cm"", ""height"": ""83 cm"", ""seat_depth"": ""61 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/08 - FRIHETEN Three-seat sofa-bed - Skiftebo dark grey.glb,https://www.ikea.com/fi/en/p/friheten-three-seat-sofa-bed-skiftebo-dark-grey-50341148/,https://web-api.ikea.com/dimma/assets/1.2/50341148/PS01_S01_NV01/isp1/glb_draco/50341148_PS01_S01_NV01_ISP1_2.0_3507afe24d6f4b2d8222a7afdd53be9e.glb?cn=pip,fi-sofa-beds
9,ÄLVDALEN 3-seat sofa-bed - Knisa grey-beige,grey,"{""width"": ""135 cm"", ""depth"": ""82 cm"", ""height"": ""42 cm"", ""seat_width"": ""194 cm"", ""seat_depth"": ""49 cm"", ""seat_height"": ""42 cm""}",downloaded-files/fi-sofa-beds/09 - ÄLVDALEN 3-seat sofa-bed - Knisa grey-beige.glb,https://www.ikea.com/fi/en/p/aelvdalen-3-seat-sofa-bed-knisa-grey-beige-50530648/,https://web-api.ikea.com/dimma/assets/1.2/50530648/PS01_S01_NV01/rqp1/glb/a4d866cef53f699f3c68bda00790f0b7-50530648_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
10,ÄLVDALEN 3-seat sofa-bed - Knisa dark grey,grey,"{""width"": ""135 cm"", ""depth"": ""82 cm"", ""height"": ""42 cm"", ""seat_width"": ""194 cm"", ""seat_depth"": ""49 cm"", ""seat_height"": ""42 cm""}",downloaded-files/fi-sofa-beds/10 - ÄLVDALEN 3-seat sofa-bed - Knisa dark grey.glb,https://www.ikea.com/fi/en/p/aelvdalen-3-seat-sofa-bed-knisa-dark-grey-80462596/,https://web-api.ikea.com/dimma/assets/1.2/80462596/PS01_S01_NV01/rqp1/glb/f857811b09c967a809675106963e2244-80462596_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
11,FRIHETEN Corner sofa-bed with storage - Skiftebo dark grey,grey,"{""width"": ""140 cm"", ""depth"": ""151 cm"", ""height"": ""28 cm""}",downloaded-files/fi-sofa-beds/11 - FRIHETEN Corner sofa-bed with storage - Skiftebo dark grey.glb,https://www.ikea.com/fi/en/p/friheten-corner-sofa-bed-with-storage-skiftebo-dark-grey-s39216754/,https://web-api.ikea.com/dimma/assets/1.2/39216754/PS01_S01_NV01/isp1/glb_draco/39216754_PS01_S01_NV01_ISP1_2.0_d9abc08bf56c40c3b3123ca41c4955a3.glb?cn=pip,fi-sofa-beds
12,FRIHETEN Corner sofa-bed with storage - Faringe brown-orange,orange,"{""width"": ""140 cm"", ""depth"": ""151 cm"", ""height"": ""27 cm""}",downloaded-files/fi-sofa-beds/12 - FRIHETEN Corner sofa-bed with storage - Faringe brown-orange.glb,https://www.ikea.com/fi/en/p/friheten-corner-sofa-bed-with-storage-faringe-brown-orange-s19517041/,https://web-api.ikea.com/dimma/assets/geomagical/19517041/PS01_S01_NV_01/simple/glb_draco/6c76baa575e6a6588c3d1fba1cb5b250-G-19517041-f8b0556a5c33465c3f0d5e9ad66b1602c9645445-simple+draco.glb?cn=pip,fi-sofa-beds
13,FRIHETEN Corner sofa-bed with storage - Bomstad black,black,"{""width"": ""140 cm"", ""depth"": ""151 cm"", ""height"": ""44 cm"", ""seat_depth"": ""78 cm"", ""seat_height"": ""44 cm""}",downloaded-files/fi-sofa-beds/13 - FRIHETEN Corner sofa-bed with storage - Bomstad black.glb,https://www.ikea.com/fi/en/p/friheten-corner-sofa-bed-with-storage-bomstad-black-s69216818/,https://web-api.ikea.com/dimma/assets/1.2/69216818/PS01_S01_NV01/isp1/glb_draco/69216818_PS01_S01_NV01_ISP1_2.0_954eb48026f04178a98cb3057707af18.glb?cn=pip,fi-sofa-beds
14,FRIDHULT Sofa-bed - Skiftebo yellow,yellow,"{""width"": ""119 cm"", ""depth"": ""76 cm"", ""height"": ""61 cm"", ""seat_depth"": ""52 cm"", ""seat_height"": ""37 cm""}",downloaded-files/fi-sofa-beds/14 - FRIDHULT Sofa-bed - Skiftebo yellow.glb,https://www.ikea.com/fi/en/p/fridhult-sofa-bed-skiftebo-yellow-00575446/,https://web-api.ikea.com/dimma/assets/1.2/00575446/PS01_S01_NV01/rqp1/glb/7b60106e7d728632c0e67bfc3b42a040-00575446_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
15,FRIDHULT Sofa-bed - Knisa light grey,grey,"{""width"": ""119 cm"", ""depth"": ""76 cm"", ""height"": ""61 cm"", ""seat_depth"": ""52 cm"", ""seat_height"": ""37 cm""}",downloaded-files/fi-sofa-beds/15 - FRIDHULT Sofa-bed - Knisa light grey.glb,https://www.ikea.com/fi/en/p/fridhult-sofa-bed-knisa-light-grey-70351725/,https://web-api.ikea.com/dimma/assets/1.2/70351725/PS01_S01_NV01/rqp1/glb/95dd7e2f5268abf7630f0bf5502f5b9c-70351725_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-sofa-beds
16,FYRESDAL Day-bed frame - black 80x200 cm,black,"{""width"": ""88 cm"", ""height"": ""94 cm""}",downloaded-files/fi-sofa-beds/16 - FYRESDAL Day-bed frame - black 80x200 cm.glb,https://www.ikea.com/fi/en/p/fyresdal-day-bed-frame-black-20424362/,https://web-api.ikea.com/dimma/assets/1.2/20424362/PS01_S01_NV01/isp1/glb_draco/20424362_PS01_S01_NV01_ISP1_2.0_c6e3cf59d4b2467f952d10eb6f166459.glb?cn=pip,fi-sofa-beds
17,VRETSTORP 3-seat sofa-bed - Kilanda light beige,beige,"{""width"": ""244 cm"", ""depth"": ""96 cm"", ""height"": ""91 cm"", ""seat_depth"": ""52 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/17 - VRETSTORP 3-seat sofa-bed - Kilanda light beige.glb,https://www.ikea.com/fi/en/p/vretstorp-3-seat-sofa-bed-kilanda-light-beige-s79491236/,https://web-api.ikea.com/dimma/assets/geomagical/79491236/PS01_S01_NV_01/simple/glb_draco/f5d9f7a5fd14d9cfd731a44c4fb4c78b-G-79491236-bf7436c1d92dc470f5ba7312bea118b9f9e8c76c-simple+draco.glb?cn=pip,fi-sofa-beds
18,VRETSTORP 3-seat sofa-bed - Kilanda dark blue,blue,"{""width"": ""244 cm"", ""depth"": ""96 cm"", ""height"": ""91 cm"", ""seat_depth"": ""52 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/18 - VRETSTORP 3-seat sofa-bed - Kilanda dark blue.glb,https://www.ikea.com/fi/en/p/vretstorp-3-seat-sofa-bed-kilanda-dark-blue-s59491242/,https://web-api.ikea.com/dimma/assets/geomagical/59491242/PS01_S01_NV_01/simple/glb_draco/9ca36580a1752df6c752a9072d1db535-G-59491242-cdc011222b69496c167822a9492799039b8b0001-simple+draco.glb?cn=pip,fi-sofa-beds
19,VRETSTORP 3-seat sofa-bed - Hakebo grey-green,green,"{""width"": ""244 cm"", ""depth"": ""96 cm"", ""height"": ""91 cm"", ""seat_depth"": ""52 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/19 - VRETSTORP 3-seat sofa-bed - Hakebo grey-green.glb,https://www.ikea.com/fi/en/p/vretstorp-3-seat-sofa-bed-hakebo-grey-green-s09491254/,https://web-api.ikea.com/dimma/assets/geomagical/09491254/PS01_S01_NV_01/simple/glb_draco/3f6fddbada01f4b8221d10a665594996-G-09491254-5f81977ece12026ae29a3c1752d2d16d737082ed-simple+draco.glb?cn=pip,fi-sofa-beds
20,SALTSJÖBADEN 2-seat sofa-bed - Vittangi light beige/white,,"{""width"": ""13 cm"", ""depth"": ""105 cm"", ""height"": ""64 cm"", ""seat_width"": ""161 cm"", ""seat_height"": ""46 cm""}",downloaded-files/fi-sofa-beds/20 - SALTSJÖBADEN 2-seat sofa-bed - Vittangi light beigewhite.glb,https://www.ikea.com/fi/en/p/saltsjoebaden-2-seat-sofa-bed-vittangi-light-beige-white-s59621432/,https://web-api.ikea.com/dimma/assets/geomagical/59621432/PS01_S01_NV_01/simple/glb_draco/888dad48e80944febc13cf3ee1039793-G-59621432-d77c1b9a99b8b35ebd13368d0fc200e05b66b5a2-simple+draco.glb?cn=pip,fi-sofa-beds
