index,name,color,dimensions,filename,product_url,glb_url,category
1,ÅRSTID Table lamp - nickel-plated/white,"grey, white","{""width"": ""24 cm"", ""height"": ""55 cm""}",downloaded-files/燈具/fi-table-lamps/01 - ÅRSTID Table lamp - nickel-platedwhite.glb,https://www.ikea.com/fi/en/p/arstid-table-lamp-nickel-plated-white-70280634/,https://web-api.ikea.com/dimma/assets/1.2/70280634/PS01_S01_NV01/isp1/glb_draco/70280634_PS01_S01_NV01_ISP1_2.0_f564c26580224deaad9ede77a373e8e1.glb?cn=pip,fi-table-lamps
2,SVALLET Work lamp - dark grey/white,"grey, white","{""width"": ""16 cm"", ""height"": ""35 cm""}",downloaded-files/燈具/fi-table-lamps/02 - SVALLET Work lamp - dark greywhite.glb,https://www.ikea.com/fi/en/p/svallet-work-lamp-dark-grey-white-70358487/,https://web-api.ikea.com/dimma/assets/1.2/70358487/PS01_S01_NV01/iqp1/glb/a301920e1aa741c7a2d25d7b38843589-70358487_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-table-lamps
3,FADO Table lamp - white 25 cm,white,"{""width"": ""28 cm"", ""height"": ""24 cm""}",downloaded-files/燈具/fi-table-lamps/03 - FADO Table lamp - white 25 cm.glb,https://www.ikea.com/fi/en/p/fado-table-lamp-white-80096372/,https://web-api.ikea.com/dimma/assets/1.2/80096372/PS01_S01_NV01/iqp1/glb/e9451338b4a9456dadd0fc074e02e7f8-80096372_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-table-lamps
4,SPETSBOJ Table lamp - dimmable/green 22 cm,green,"{""width"": ""13 cm"", ""height"": ""22 cm""}",downloaded-files/燈具/fi-table-lamps/04 - SPETSBOJ Table lamp - dimmablegreen 22 cm.glb,https://www.ikea.com/fi/en/p/spetsboj-table-lamp-dimmable-green-70591612/,https://web-api.ikea.com/dimma/assets/1.2/70591612/LPT_S01_NV01/rqp1/glb/d34b9f82843f61ff90180cce0c62cb3a-70591612_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-table-lamps
5,SPETSBOJ Table lamp - dimmable/yellow 22 cm,yellow,"{""width"": ""13 cm"", ""height"": ""22 cm""}",downloaded-files/燈具/fi-table-lamps/05 - SPETSBOJ Table lamp - dimmableyellow 22 cm.glb,https://www.ikea.com/fi/en/p/spetsboj-table-lamp-dimmable-yellow-40549403/,https://web-api.ikea.com/dimma/assets/1.2/40549403/LPT_S01_NV01/rqp1/glb/3ba71b481eb787d0f117d662d1801925-40549403_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-table-lamps
6,SPETSBOJ Table lamp - dimmable/white 22 cm,white,"{""width"": ""13 cm"", ""height"": ""22 cm""}",downloaded-files/燈具/fi-table-lamps/06 - SPETSBOJ Table lamp - dimmablewhite 22 cm.glb,https://www.ikea.com/fi/en/p/spetsboj-table-lamp-dimmable-white-50586292/,https://web-api.ikea.com/dimma/assets/1.2/50586292/LPT_S01_NV01/rqp1/glb/26cb8571b672fbb5c4acb8d9a1d8dd35-50586292_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-table-lamps
7,NÄVLINGE LED work lamp - white,white,"{""width"": ""13 cm"", ""height"": ""52 cm""}",downloaded-files/燈具/fi-table-lamps/07 - NÄVLINGE LED work lamp - white.glb,https://www.ikea.com/fi/en/p/naevlinge-led-work-lamp-white-50404918/,https://web-api.ikea.com/dimma/assets/1.2/50404918/PS01_S01_NV01/iqp1/glb/92bba8ade53a4152b926eaa09affd3e0-50404918_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-table-lamps
8,NÄVLINGE LED desk lamp - yellow/white,"yellow, white","{""width"": ""13 cm"", ""height"": ""52 cm""}",downloaded-files/燈具/fi-table-lamps/08 - NÄVLINGE LED desk lamp - yellowwhite.glb,https://www.ikea.com/fi/en/p/naevlinge-led-desk-lamp-yellow-white-80574711/,https://web-api.ikea.com/dimma/assets/1.2/80574711/LPT_S01_NV01/rqp1/glb/7728672ad72de9f9198bbfacc0849312-80574711_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-table-lamps
9,NÄVLINGE LED work lamp - black,black,"{""width"": ""13 cm"", ""height"": ""52 cm""}",downloaded-files/燈具/fi-table-lamps/09 - NÄVLINGE LED work lamp - black.glb,https://www.ikea.com/fi/en/p/naevlinge-led-work-lamp-black-80404422/,https://web-api.ikea.com/dimma/assets/1.2/80404422/PS01_S01_NV01/rqp1/glb/4a815372c41b4b9da53a314f27cd28cd-80404422_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-table-lamps
10,RÖDFLIK Desk lamp - grey-green,"grey, green","{""width"": ""18 cm"", ""height"": ""43 cm""}",downloaded-files/燈具/fi-table-lamps/10 - RÖDFLIK Desk lamp - grey-green.glb,https://www.ikea.com/fi/en/p/roedflik-desk-lamp-grey-green-80582706/,https://web-api.ikea.com/dimma/assets/1.2/80582706/PS01_S01_NV01/rqp1/glb/70acd0a931cc6964a7fddafe7a85bd47-80582706_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-table-lamps
