index,name,color,dimensions,filename,product_url,glb_url,category
1,NÄVLINGE LED clamp spotlight - white,,"{""width"": ""14 cm"", ""height"": ""6 cm""}",downloaded-files/燈具/fi-work-lamps/01 - NÄVLINGE LED clamp spotlight - white.glb,https://www.ikea.com/fi/en/p/naevlinge-led-clamp-spotlight-white-70449888/,https://web-api.ikea.com/dimma/assets/1.2/70449888/PS01_S01_NV01/iqp1/glb/70449888_PS01_S01_NV01_IQP1_2.0_d1311b0e76fcc05c2434b2291a7df54d.glb?cn=pip,fi-work-lamps
2,NÄVLINGE LED clamp spotlight - black,,"{""width"": ""14 cm"", ""height"": ""6 cm""}",downloaded-files/燈具/fi-work-lamps/02 - NÄVLINGE LED clamp spotlight - black.glb,https://www.ikea.com/fi/en/p/naevlinge-led-clamp-spotlight-black-00449877/,https://web-api.ikea.com/dimma/assets/1.2/00449877/PS01_S01_NV01/iqp1/glb/00449877_PS01_S01_NV01_IQP1_2.0_8eef804045743c4a415b34fa9fb79b9f.glb?cn=pip,fi-work-lamps
3,NÄVLINGE LED clamp spotlight - lilac/dark green,,"{""width"": ""14 cm"", ""height"": ""6 cm""}",downloaded-files/燈具/fi-work-lamps/03 - NÄVLINGE LED clamp spotlight - lilacdark green.glb,https://www.ikea.com/fi/en/p/naevlinge-led-clamp-spotlight-lilac-dark-green-90574777/,https://web-api.ikea.com/dimma/assets/1.2/90574777/LPT_S01_NV01/rqp1/glb/453bc6624077b8d9237ce3268d82a9bc-90574777_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-work-lamps
4,NÄVLINGE LED wall/clamp spotlight - white,white,"{""width"": ""13 cm"", ""height"": ""6 cm""}",downloaded-files/燈具/fi-work-lamps/04 - NÄVLINGE LED wallclamp spotlight - white.glb,https://www.ikea.com/fi/en/p/naevlinge-led-wall-clamp-spotlight-white-40404891/,https://web-api.ikea.com/dimma/assets/1.2/40404891/PS01_S01_NV01/iqp1/glb/2afefaa271984f96a6b83eca025f1caa-40404891_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-work-lamps
5,NÄVLINGE LED wall/clamp spotlight - black,black,"{""width"": ""13 cm"", ""height"": ""6 cm""}",downloaded-files/燈具/fi-work-lamps/05 - NÄVLINGE LED wallclamp spotlight - black.glb,https://www.ikea.com/fi/en/p/naevlinge-led-wall-clamp-spotlight-black-10408273/,https://web-api.ikea.com/dimma/assets/1.2/10408273/PS01_S01_NV01/rqp1/glb/2451dcc77ffba6b6ebbd4d96c011c19d-10408273_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-work-lamps
6,BRUNBÅGE LED work lamp - with storage dimmable/turquoise,turquoise,"{""width"": ""10 cm"", ""height"": ""30 cm""}",downloaded-files/燈具/fi-work-lamps/06 - BRUNBÅGE LED work lamp - with storage dimmableturquoise.glb,https://www.ikea.com/fi/en/p/brunbage-led-work-lamp-with-storage-dimmable-turquoise-60542170/,https://web-api.ikea.com/dimma/assets/geomagical/60542170/PS01_S01_NV_01/simple/glb/0e91a5e052bbf28f018ad7fc3574a8fb-G-60542170-8696d977a05e9337055e296e541383c1ed01ec09-simple.glb?cn=pip,fi-work-lamps
7,SAMBORD Desk lamp - black/white,"black, white","{""width"": ""15 cm"", ""height"": ""46 cm""}",downloaded-files/燈具/fi-work-lamps/07 - SAMBORD Desk lamp - blackwhite.glb,https://www.ikea.com/fi/en/p/sambord-desk-lamp-black-white-00586949/,https://web-api.ikea.com/dimma/assets/1.2/00586949/LPT_S01_NV01/rqp1/glb/0ab20af4ab2f4f840c51e0262c37c8c0-00586949_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-work-lamps
8,LÅNESPELARE Ring light with phone holder,black,"{""width"": ""21 cm"", ""height"": ""60 cm""}",downloaded-files/燈具/fi-work-lamps/08 - LÅNESPELARE Ring light with phone holder.glb,https://www.ikea.com/fi/en/p/lanespelare-ring-light-with-phone-holder-10514358/,https://web-api.ikea.com/dimma/assets/geomagical/10514358/PS01_S01_NV_01/simple/glb_draco/67eb13a6da5c1f5469ac13687d23ec88-G-10514358-89f6432d1f94d4c622e4c12a6050a6174e772422-simple+draco.glb?cn=pip,fi-work-lamps
9,JANSJÖ LED USB lamp - black 38 cm,black,"{""width"": ""7 cm"", ""height"": ""2 cm""}",downloaded-files/燈具/fi-work-lamps/09 - JANSJÖ LED USB lamp - black 38 cm.glb,https://www.ikea.com/fi/en/p/jansjoe-led-usb-lamp-black-70291232/,https://web-api.ikea.com/dimma/assets/1.2/70291232/PS01_S01_NV01/iqp1/glb/3e1940143ca341e3a9200dfa2f4dd914-70291232_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-work-lamps
10,ISNÅLEN LED work lamp - red/brass-colour,"yellow, red","{""width"": ""16 cm"", ""height"": ""37 cm""}",downloaded-files/燈具/fi-work-lamps/10 - ISNÅLEN LED work lamp - redbrass-colour.glb,https://www.ikea.com/fi/en/p/isnalen-led-work-lamp-red-brass-colour-80520011/,https://web-api.ikea.com/dimma/assets/1.2/80520011/PS01_S01_NV01/rqp1/glb/c686603d7b5a40dca00de33ab37a4eb1-80520011_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-work-lamps
