index,name,color,dimensions,filename,product_url,glb_url,category
1,PAX Wardrobe frame - white 100x58x236 cm,white,"{""width"": ""99.8 cm"", ""depth"": ""58.0 cm"", ""height"": ""236.4 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/01 - PAX Wardrobe frame - white 100x58x236 cm.glb,https://www.ikea.com/fi/en/p/pax-wardrobe-frame-white-50214560/,https://web-api.ikea.com/dimma/assets/1.2/50214560/PS01_S01_NV01/iqp1/glb/6a9c028e9fb347e7a1096c82c1501348-50214560_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-pax-wardrobes
2,PAX Wardrobe frame - white 100x35x236 cm,white,"{""width"": ""99.8 cm"", ""depth"": ""35.5 cm"", ""height"": ""236.4 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/02 - PAX Wardrobe frame - white 100x35x236 cm.glb,https://www.ikea.com/fi/en/p/pax-wardrobe-frame-white-00214572/,https://web-api.ikea.com/dimma/assets/1.2/00214572/PS01_S01_NV01/iqp1/glb/1ac06254a2ba48aeb31b72e749f1fa57-00214572_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-pax-wardrobes
3,PAX Wardrobe frame - white 100x35x201 cm,white,"{""width"": ""99.8 cm"", ""depth"": ""35.5 cm"", ""height"": ""201.2 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/03 - PAX Wardrobe frame - white 100x35x201 cm.glb,https://www.ikea.com/fi/en/p/pax-wardrobe-frame-white-90214563/,https://web-api.ikea.com/dimma/assets/1.2/90214563/PS01_S01_NV01/iqp1/glb/8da39bb5416c44b99f03a8d1cac1f50b-90214563_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-pax-wardrobes
4,PAX Wardrobe frame - white 50x58x201 cm,white,"{""width"": ""49.8 cm"", ""depth"": ""58.0 cm"", ""height"": ""201.2 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/04 - PAX Wardrobe frame - white 50x58x201 cm.glb,https://www.ikea.com/fi/en/p/pax-wardrobe-frame-white-70214559/,https://web-api.ikea.com/dimma/assets/1.2/70214559/PS01_S01_NV01/iqp1/glb/52ac6c22aa92440d8fa6f5461e549b9a-70214559_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-pax-wardrobes
5,PAX Wardrobe frame - white stained oak effect 50x35x236 cm,beige,"{""width"": ""49.8 cm"", ""depth"": ""35.5 cm"", ""height"": ""236.4 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/05 - PAX Wardrobe frame - white stained oak effect 50x35x236 cm.glb,https://www.ikea.com/fi/en/p/pax-wardrobe-frame-white-stained-oak-effect-00273415/,https://web-api.ikea.com/dimma/assets/1.2/00273415/PS01_S01_NV01/iqp1/glb/2cb87403e5724ee0a4977c622176ce32-00273415_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-pax-wardrobes
6,PAX Wardrobe frame - white 75x58x236 cm,white,"{""width"": ""74.8 cm"", ""depth"": ""58.0 cm"", ""height"": ""236.4 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/06 - PAX Wardrobe frame - white 75x58x236 cm.glb,https://www.ikea.com/fi/en/p/pax-wardrobe-frame-white-20214571/,https://web-api.ikea.com/dimma/assets/1.2/20214571/PS01_S01_NV01/iqp1/glb/6396e03cda96495dbdca7b11eaf20bd5-20214571_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-pax-wardrobes
7,PAX Wardrobe frame - white stained oak effect 75x58x236 cm,beige,"{""width"": ""74.8 cm"", ""depth"": ""58.0 cm"", ""height"": ""236.4 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/07 - PAX Wardrobe frame - white stained oak effect 75x58x236 cm.glb,https://www.ikea.com/fi/en/p/pax-wardrobe-frame-white-stained-oak-effect-50183993/,https://web-api.ikea.com/dimma/assets/1.2/50183993/PS01_S01_NV01/iqp1/glb/54b16a95e45a43ad8466c0145b1b9ef7-50183993_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-pax-wardrobes
8,KOMPLEMENT Drawer - white stained oak effect 100x58 cm,beige,"{""width"": ""100 cm"", ""depth"": ""58 cm"", ""height"": ""16.0 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/08 - KOMPLEMENT Drawer - white stained oak effect 100x58 cm.glb,https://www.ikea.com/fi/en/p/komplement-drawer-white-stained-oak-effect-70246348/,https://web-api.ikea.com/dimma/assets/1.2/70246348/PS01_S01_NV01/rqp1/glb/9d4e8aaa08bd4a1593fddfe5c93339dc-70246348_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-pax-wardrobes
9,KOMPLEMENT Drawer - white 100x58 cm,white,"{""width"": ""100 cm"", ""depth"": ""58 cm"", ""height"": ""16.0 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/09 - KOMPLEMENT Drawer - white 100x58 cm.glb,https://www.ikea.com/fi/en/p/komplement-drawer-white-90246352/,https://web-api.ikea.com/dimma/assets/1.2/90246352/PS01_S01_NV01/iqp1/glb/c294c3ddea0b4a53addfd4964502ae57-90246352_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-pax-wardrobes
10,PAX Wardrobe combination - white 200x58x201 cm,white,"{""width"": ""200.0 cm"", ""depth"": ""58.0 cm"", ""height"": ""201.2 cm""}",downloaded-files/衣櫃衣物收納/fi-pax-wardrobes/10 - PAX Wardrobe combination - white 200x58x201 cm.glb,https://www.ikea.com/fi/en/p/pax-wardrobe-combination-white-s69331427/,https://web-api.ikea.com/dimma/assets/geomagical/69331427/PS01_S01_NV_01/simple/glb/7521b748dd0e1811ab1bff7eef068935-G-69331427-db7b6e636088900bd22899f8e149c58d1d674f17-simple.glb?cn=pip,fi-pax-wardrobes
