index,name,color,dimensions,filename,product_url,glb_url,category
1,FRIDFULL Plant pot - water hyacinth 19 cm,brown,"{""height"": ""21 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/01 - FRIDFULL Plant pot - water hyacinth 19 cm.glb,https://www.ikea.com/fi/en/p/fridfull-plant-pot-water-hyacinth-90628285/,https://web-api.ikea.com/dimma/assets/1.2/90628285/PS01_S01_NV01/rqp1/glb/acd9110854978e997517ec7b314144f5-90628285_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-flower-pots-planters
2,FRIDFULL Plant pot - water hyacinth 12 cm,beige,"{""height"": ""13 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/02 - FRIDFULL Plant pot - water hyacinth 12 cm.glb,https://www.ikea.com/fi/en/p/fridfull-plant-pot-water-hyacinth-90155870/,https://web-api.ikea.com/dimma/assets/1.2/90155870/PS01_S01_NV01/isp1/glb/90155870_PS01_S01_NV01_ISP1_2.0_fdb535bdcb554209966a035e8ca8bac5.glb?cn=pip,fi-flower-pots-planters
3,FRIDFULL Plant pot - water hyacinth 24 cm,beige,"{""height"": ""25 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/03 - FRIDFULL Plant pot - water hyacinth 24 cm.glb,https://www.ikea.com/fi/en/p/fridfull-plant-pot-water-hyacinth-70513412/,https://web-api.ikea.com/dimma/assets/geomagical/70513412/PS01_S01_NV_01/simple/glb_draco/cc1dc36714a743ada6215084a65de059-G-70513412-b5b20e50b805e797987aa9f204cf83523606b86a-simple+draco.glb?cn=pip,fi-flower-pots-planters
4,LÅNGNÄBB Plant stand - in/outdoor/white 26 cm,white,"{""height"": ""26 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/04 - LÅNGNÄBB Plant stand - inoutdoorwhite 26 cm.glb,https://www.ikea.com/fi/en/p/langnaebb-plant-stand-in-outdoor-white-10621725/,https://web-api.ikea.com/dimma/assets/1.2/10621725/PS01_S01_NV01/rqp1/glb/6028474b587e6ee10650f434c215eb07-10621725_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-flower-pots-planters
5,HASSELBUKETT Plant pot - in/outdoor/green/brown 15 cm,"brown, green","{""height"": ""18 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/05 - HASSELBUKETT Plant pot - inoutdoorgreenbrown 15 cm.glb,https://www.ikea.com/fi/en/p/hasselbukett-plant-pot-in-outdoor-green-brown-80595916/,https://web-api.ikea.com/dimma/assets/1.2/80595916/PS01_S01_NV01/rqp1/glb/3e79e83038c380afbae888f4084bdf74-80595916_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-flower-pots-planters
6,KLOTLÖNN Plant pot with saucer - in/outdoor/black-blue 19 cm,blue,"{""height"": ""22 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/06 - KLOTLÖNN Plant pot with saucer - inoutdoorblack-blue 19 cm.glb,https://www.ikea.com/fi/en/p/klotloenn-plant-pot-with-saucer-in-outdoor-black-blue-10584068/,https://web-api.ikea.com/dimma/assets/1.2/10584068/PS01_S01_NV01/rqp1/glb/10584068_PS01_S01_NV01_RQP1_4.0_fd77f83a823b4355ac4b5065c7745fa4.glb?cn=pip,fi-flower-pots-planters
7,KLOTLÖNN Plant pot with saucer - in/outdoor/black-blue 15 cm,blue,"{""height"": ""16 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/07 - KLOTLÖNN Plant pot with saucer - inoutdoorblack-blue 15 cm.glb,https://www.ikea.com/fi/en/p/klotloenn-plant-pot-with-saucer-in-outdoor-black-blue-50584066/,https://web-api.ikea.com/dimma/assets/1.2/50584066/PS01_S01_NV01/rqp1/glb/50584066_PS01_S01_NV01_RQP1_4.0_8e1fb19488514739bde6a820c03d8185.glb?cn=pip,fi-flower-pots-planters
8,KLOTLÖNN Plant pot with saucer - in/outdoor/black-blue 12 cm,blue,"{""height"": ""13 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/08 - KLOTLÖNN Plant pot with saucer - inoutdoorblack-blue 12 cm.glb,https://www.ikea.com/fi/en/p/klotloenn-plant-pot-with-saucer-in-outdoor-black-blue-00584064/,https://web-api.ikea.com/dimma/assets/1.2/00584064/PS01_S01_NV01/rqp1/glb/00584064_PS01_S01_NV01_RQP1_4.0_c383d27efb374373b8a9e424a0cdcf04.glb?cn=pip,fi-flower-pots-planters
9,CHIAFRÖN Plant pot - white 9 cm,white,"{""height"": ""10 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/09 - CHIAFRÖN Plant pot - white 9 cm.glb,https://www.ikea.com/fi/en/p/chiafroen-plant-pot-white-00441904/,https://web-api.ikea.com/dimma/assets/1.2/00441904/PS01_S01_NV01/isp1/glb_draco/00441904_PS01_S01_NV01_ISP1_2.0_ed02421d893945709a5e4b8daf6a2f15.glb?cn=pip,fi-flower-pots-planters
10,GRADVIS Plant pot - pink 12 cm,pink,"{""height"": ""12 cm""}",downloaded-files/裝飾與小型收納/fi-flower-pots-planters/10 - GRADVIS Plant pot - pink 12 cm.glb,https://www.ikea.com/fi/en/p/gradvis-plant-pot-pink-60414078/,https://web-api.ikea.com/dimma/assets/1.2/60414078/PS01_S01_NV01/isp1/glb_draco/60414078_PS01_S01_NV01_ISP1_2.0_3e9ecc6da42240aa9efd1fa8949d2194.glb?cn=pip,fi-flower-pots-planters
