index,name,color,dimensions,filename,product_url,glb_url,category
1,BLODLÖNN Mirror 30x30 cm,white,"{""width"": ""30 cm"", ""height"": ""1 cm""}",downloaded-files/鏡子/fi-large-mirrors/01 - BLODLÖNN Mirror 30x30 cm.glb,https://www.ikea.com/fi/en/p/blodloenn-mirror-30542379/,https://web-api.ikea.com/dimma/assets/1.2/30542379/PS01_S01_NV01/rqp1/glb/dc29ec357c5f4d9a8c5951c881cb99cd-30542379_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-large-mirrors
2,HOVET Mirror - oak effect/brown 78x196 cm,brown,"{""width"": ""78 cm"", ""height"": ""196 cm""}",downloaded-files/鏡子/fi-large-mirrors/02 - HOVET Mirror - oak effectbrown 78x196 cm.glb,https://www.ikea.com/fi/en/p/hovet-mirror-oak-effect-brown-60625599/,https://web-api.ikea.com/dimma/assets/1.2/60625599/PS01_S01_NV01/rqp1/glb/ebf6acd01ff043828cca74ca1fe5c40e-60625599_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-large-mirrors
3,HOVET Mirror - black 78x196 cm,black,"{""width"": ""78 cm"", ""height"": ""196 cm""}",downloaded-files/鏡子/fi-large-mirrors/03 - HOVET Mirror - black 78x196 cm.glb,https://www.ikea.com/fi/en/p/hovet-mirror-black-70515915/,https://web-api.ikea.com/dimma/assets/geomagical/70515915/PS01_S01_NV01/simple/glb_draco/G-70515915-e02d23ec1c748e99bd97a38c2f0c38f22b233960_cb565bf2a05f4185ba23451aca96a690.glb?cn=pip,fi-large-mirrors
4,HOVET Mirror - aluminium 78x196 cm,grey,"{""width"": ""78 cm"", ""height"": ""196 cm""}",downloaded-files/鏡子/fi-large-mirrors/04 - HOVET Mirror - aluminium 78x196 cm.glb,https://www.ikea.com/fi/en/p/hovet-mirror-aluminium-50038213/,https://web-api.ikea.com/dimma/assets/1.2/50038213/PS01_S01_NV01/iqp1/glb/f325c369c9e54b57857d74e70efa4ac9-50038213_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-large-mirrors
5,LÄRBRO Mirror 48x120 cm,,"{""width"": ""48 cm"", ""height"": ""120 cm""}",downloaded-files/鏡子/fi-large-mirrors/05 - LÄRBRO Mirror 48x120 cm.glb,https://www.ikea.com/fi/en/p/laerbro-mirror-00601775/,https://web-api.ikea.com/dimma/assets/1.2/00601775/PS01_S01_NV01/rqp1/glb/2500c929e720095537a6f1c4df796fb8-00601775_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-large-mirrors
6,LINDBYN Mirror - gold-colour 60x170 cm,yellow,"{""width"": ""60 cm"", ""height"": ""170 cm""}",downloaded-files/鏡子/fi-large-mirrors/06 - LINDBYN Mirror - gold-colour 60x170 cm.glb,https://www.ikea.com/fi/en/p/lindbyn-mirror-gold-colour-60597959/,https://web-api.ikea.com/dimma/assets/1.2/60597959/PS01_S01_NV01/rqp1/glb/c470d13c402fe3b3251990ef06b6f651-60597959_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-large-mirrors
7,NISSEDAL Mirror - black 65x150 cm,black,"{""width"": ""65 cm"", ""height"": ""150 cm""}",downloaded-files/鏡子/fi-large-mirrors/07 - NISSEDAL Mirror - black 65x150 cm.glb,https://www.ikea.com/fi/en/p/nissedal-mirror-black-70320319/,https://web-api.ikea.com/dimma/assets/1.2/70320319/PS01_S01_NV01/iqp1/glb/d54089bea1184c46a4abd159a18b2c25-70320319_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-large-mirrors
8,DVÄRGSYREN Mirror - oak veneer 40x50 cm,"beige, brown","{""width"": ""40 cm"", ""depth"": ""8 cm"", ""height"": ""50 cm""}",downloaded-files/鏡子/fi-large-mirrors/08 - DVÄRGSYREN Mirror - oak veneer 40x50 cm.glb,https://www.ikea.com/fi/en/p/dvaergsyren-mirror-oak-veneer-30591591/,https://web-api.ikea.com/dimma/assets/1.2/30591591/PS01_S01_NV01/rqp1/glb/47882d1828810da0c035de8132e78570-30591591_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-large-mirrors
9,DVÄRGSYREN Mirror - walnut veneer 40x50 cm,brown,"{""width"": ""40 cm"", ""depth"": ""8 cm"", ""height"": ""50 cm""}",downloaded-files/鏡子/fi-large-mirrors/09 - DVÄRGSYREN Mirror - walnut veneer 40x50 cm.glb,https://www.ikea.com/fi/en/p/dvaergsyren-mirror-walnut-veneer-20591600/,https://web-api.ikea.com/dimma/assets/1.2/20591600/PS01_S01_NV01/rqp1/glb/50574c072ec57d1c2bdf5327f8fae143-20591600_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-large-mirrors
10,LÖNSÅS Mirror 21x30 cm,white,"{""width"": ""21 cm"", ""height"": ""30 cm""}",downloaded-files/鏡子/fi-large-mirrors/10 - LÖNSÅS Mirror 21x30 cm.glb,https://www.ikea.com/fi/en/p/loensas-mirror-50471026/,https://web-api.ikea.com/dimma/assets/1.2/50471026/PS01_S01_NV01/iqp1/glb/8771fde641ac4f819b9683809cfef5ea-50471026_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-large-mirrors
