index,name,color,dimensions,filename,product_url,glb_url,category
1,NYSJÖN Mirror cabinet - white 50x60 cm,white,"{""width"": ""50 cm"", ""depth"": ""13 cm"", ""height"": ""60 cm""}",downloaded-files/鏡子/fi-wall-mirrors/01 - NYSJÖN Mirror cabinet - white 50x60 cm.glb,https://www.ikea.com/fi/en/p/nysjoen-mirror-cabinet-white-10470830/,https://web-api.ikea.com/dimma/assets/1.2/10470830/PS01_S01_NV01/rqp1/glb/c622cbc38c954f3cb48e948553561899-10470830_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-wall-mirrors
2,LETTAN Mirror cabinet with doors - mirror effect/mirror glass 60x15x95 cm,grey,"{""width"": ""60.0 cm"", ""depth"": ""15.0 cm"", ""height"": ""95.0 cm""}",downloaded-files/鏡子/fi-wall-mirrors/02 - LETTAN Mirror cabinet with doors - mirror effectmirror glass 60x15x95 cm.glb,https://www.ikea.com/fi/en/p/lettan-mirror-cabinet-with-doors-mirror-effect-mirror-glass-00534922/,https://web-api.ikea.com/dimma/assets/1.2/00534922/PS01_S01_NV01/rqp1/glb/4422127a36d5ade94dd7949cc4b6bfeb-00534922_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-mirrors
3,LETTAN Mirror cabinet with doors - mirror effect/mirror glass 100x15x95 cm,grey,"{""width"": ""100.0 cm"", ""depth"": ""15.0 cm"", ""height"": ""95.0 cm""}",downloaded-files/鏡子/fi-wall-mirrors/03 - LETTAN Mirror cabinet with doors - mirror effectmirror glass 100x15x95 cm.glb,https://www.ikea.com/fi/en/p/lettan-mirror-cabinet-with-doors-mirror-effect-mirror-glass-60534924/,https://web-api.ikea.com/dimma/assets/1.2/60534924/LPT_S01_NV01/rqp1/glb/29187ce05d7d6db441760baee88154f9-60534924_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-mirrors
4,LETTAN Mirror cabinet with doors - mirror effect/mirror glass 80x15x95 cm,grey,"{""width"": ""80.0 cm"", ""depth"": ""15.0 cm"", ""height"": ""95.0 cm""}",downloaded-files/鏡子/fi-wall-mirrors/04 - LETTAN Mirror cabinet with doors - mirror effectmirror glass 80x15x95 cm.glb,https://www.ikea.com/fi/en/p/lettan-mirror-cabinet-with-doors-mirror-effect-mirror-glass-80534923/,https://web-api.ikea.com/dimma/assets/1.2/80534923/PS01_S01_NV01/rqp1/glb/5ff2f138d82ba97b733482ed3c5f20d2-80534923_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-mirrors
5,TREASJÖN Mirror cab 2 door/built-in lighting 80x17x75 cm,,"{""width"": ""80 cm"", ""depth"": ""17 cm"", ""height"": ""75 cm""}",downloaded-files/鏡子/fi-wall-mirrors/05 - TREASJÖN Mirror cab 2 doorbuilt-in lighting 80x17x75 cm.glb,https://www.ikea.com/fi/en/p/treasjoen-mirror-cab-2-door-built-in-lighting-50573906/,https://web-api.ikea.com/dimma/assets/geomagical/50573906/PS01_S01_NV_01/simple/glb/5cd300e48369459559654cbd18d5ec6a-G-50573906-f4171dd881bcf9b0baa840cc8c74f0283fcf3b18-simple.glb?cn=pip,fi-wall-mirrors
6,FRÄCK Mirror - stainless steel,grey,"{""width"": ""19 cm"", ""height"": ""4 cm""}",downloaded-files/鏡子/fi-wall-mirrors/06 - FRÄCK Mirror - stainless steel.glb,https://www.ikea.com/fi/en/p/fraeck-mirror-stainless-steel-38006200/,https://web-api.ikea.com/dimma/assets/1.2/38006200/PS01_S01_NV01/rqp1/glb/1b75b398c48348ee9cc7a48125705748-38006200_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-wall-mirrors
7,EKFÄNN Table mirror w integrated lighting - dimmable/black,black,"{""width"": ""21 cm"", ""height"": ""3 cm""}",downloaded-files/鏡子/fi-wall-mirrors/07 - EKFÄNN Table mirror w integrated lighting - dimmableblack.glb,https://www.ikea.com/fi/en/p/ekfaenn-table-mirror-w-integrated-lighting-dimmable-black-90591852/,https://web-api.ikea.com/dimma/assets/1.2/90591852/LPT_S01_NV01/rqp1/glb/04f94eaed7de0f0d318058c4102ef93f-90591852_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-mirrors
8,FAXÄLVEN Mirror cabinet w built-in lighting - oak effect 60x15x95 cm,beige,"{""width"": ""60 cm"", ""depth"": ""15 cm"", ""height"": ""95 cm""}",downloaded-files/鏡子/fi-wall-mirrors/08 - FAXÄLVEN Mirror cabinet w built-in lighting - oak effect 60x15x95 cm.glb,https://www.ikea.com/fi/en/p/faxaelven-mirror-cabinet-w-built-in-lighting-oak-effect-s09516711/,https://web-api.ikea.com/dimma/assets/geomagical/09516711/PS01_S01_NV_01/simple/glb_draco/b2ce7f1c341e7adea757f768b95b05e8-G-09516711-995cf831265d4161fd03704667924117f2bd0434-simple+draco.glb?cn=pip,fi-wall-mirrors
9,TRENSUM Mirror - stainless steel,grey,"{""width"": ""19 cm"", ""height"": ""33 cm""}",downloaded-files/鏡子/fi-wall-mirrors/09 - TRENSUM Mirror - stainless steel.glb,https://www.ikea.com/fi/en/p/trensum-mirror-stainless-steel-24524485/,https://web-api.ikea.com/dimma/assets/1.2/24524485/PS01_S01_NV01/rqp1/glb/69cc23bbe4814ca1b2d7375b6be7c1ba-24524485_PS01_S01_NV01_RQP1_3.0.glb?cn=pip,fi-wall-mirrors
10,NYSJÖN Mirror with shelf - white 50x60 cm,white,"{""width"": ""50 cm"", ""depth"": ""14 cm"", ""height"": ""60 cm""}",downloaded-files/鏡子/fi-wall-mirrors/10 - NYSJÖN Mirror with shelf - white 50x60 cm.glb,https://www.ikea.com/fi/en/p/nysjoen-mirror-with-shelf-white-60470837/,https://web-api.ikea.com/dimma/assets/1.2/60470837/PS01_S01_NV01/iqp1/glb/5883d92d11a24ee3b73c382544d8abc2-60470837_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-wall-mirrors
11,LINDBYN Mirror - black 80 cm,black,"{""width"": ""89 cm"", ""height"": ""3 cm""}",downloaded-files/鏡子/fi-wall-mirrors/11 - LINDBYN Mirror - black 80 cm.glb,https://www.ikea.com/fi/en/p/lindbyn-mirror-black-50458614/,https://web-api.ikea.com/dimma/assets/1.2/50458614/PS01_S01_NV01/iqp1/glb_draco/e2a5d9bac25047b19f118052cfe42ee4-50458614_PS01_S01_NV01_IQP1_2.0.glb?cn=pip,fi-wall-mirrors
12,IVÖSJÖN Mirror cabinet with 1 door - blue 44x15x59 cm,green,"{""width"": ""44 cm"", ""depth"": ""15 cm"", ""height"": ""59 cm""}",downloaded-files/鏡子/fi-wall-mirrors/12 - IVÖSJÖN Mirror cabinet with 1 door - blue 44x15x59 cm.glb,https://www.ikea.com/fi/en/p/ivoesjoen-mirror-cabinet-with-1-door-blue-50609873/,https://web-api.ikea.com/dimma/assets/1.2/50609873/LPT_S01_NV01/rqp1/glb/507d1fdeb49d26a5bfb4db428adfd947-50609873_LPT_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-mirrors
13,KÄRRSJÖN Mirror with integrated lighting - anti-fog 60x80 cm,,"{""width"": ""60 cm"", ""height"": ""80 cm""}",downloaded-files/鏡子/fi-wall-mirrors/13 - KÄRRSJÖN Mirror with integrated lighting - anti-fog 60x80 cm.glb,https://www.ikea.com/fi/en/p/kaerrsjoen-mirror-with-integrated-lighting-anti-fog-60613394/,https://web-api.ikea.com/dimma/assets/1.2/60613394/PS01_S01_NV01/rqp1/glb/b8c187a6a785f2d5e9b9f12732866587-60613394_PS01_S01_NV01_RQP1_4.0.glb?cn=pip,fi-wall-mirrors
