index,name,color,dimensions,filename,product_url,glb_url
1,LÄTT Children's table with 2 chairs - white/pine,"beige, white","{""width"": ""48 cm"", ""depth"": ""28 cm"", ""height"": ""45 cm"", ""seat_width"": ""28 cm"", ""seat_depth"": ""28 cm"", ""seat_height"": ""28 cm""}",downloaded-files\兒童家具\fi-childrens-tables\01 - LÄTT Children's table with 2 chairs - whitepine.glb,https://www.ikea.com/fi/en/p/laett-childrens-table-with-2-chairs-white-pine-50178411/,https://web-api.ikea.com/dimma/assets/1.2/50178411/PS01_S01_NV01/iqp1/glb/3f4330455c2f4a3eb75fa9173183a5b3-50178411_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
2,FLISAT Children's table 83x58 cm,"beige, white","{""width"": ""58 cm"", ""height"": ""48 cm""}",downloaded-files\兒童家具\fi-childrens-tables\02 - FLISAT Children's table 83x58 cm.glb,https://www.ikea.com/fi/en/p/flisat-childrens-table-50298418/,https://web-api.ikea.com/dimma/assets/1.2/50298418/PS01_S01_NV01/iqp1/glb/3ff8855a18504b718e02c9961cf49e4e-50298418_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
3,GREJSIMOJS Children's table - wood/orange 84x42 cm,,"{""width"": ""42 cm"", ""height"": ""45 cm""}",downloaded-files\兒童家具\fi-childrens-tables\03 - GREJSIMOJS Children's table - woodorange 84x42 cm.glb,https://www.ikea.com/fi/en/p/grejsimojs-childrens-table-wood-orange-70598963/,https://web-api.ikea.com/dimma/assets/1.2/70598963/PS01_S01_NV01/rqp1/glb/4185769c5805bb7797f4025846b1806b-70598963_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
4,UTTER Children's table - in/outdoor/white,white,"{""width"": ""42 cm"", ""height"": ""43 cm""}",downloaded-files\兒童家具\fi-childrens-tables\04 - UTTER Children's table - inoutdoorwhite.glb,https://www.ikea.com/fi/en/p/utter-childrens-table-in-outdoor-white-60357737/,https://web-api.ikea.com/dimma/assets/1.2/60357737/PS01_S01_NV01/iqp1/glb/c48390bedbd84f1684d6423b02d53888-60357737_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
5,MAMMUT Children's table - in/outdoor/light blue 85 cm,blue,"{""width"": ""10 cm"", ""height"": ""48 cm""}",downloaded-files\兒童家具\fi-childrens-tables\05 - MAMMUT Children's table - inoutdoorlight blue 85 cm.glb,https://www.ikea.com/fi/en/p/mammut-childrens-table-in-outdoor-light-blue-10581994/,https://web-api.ikea.com/dimma/assets/1.2/10581994/PS01_S01_NV01/rqp1/glb/10581994_PS01_S01_NV01_RQP1_4.0_2f4f4b6836d14089affeb04be1d145fb.glb?cn=pip
6,MAMMUT Children's table - in/outdoor white 77x55 cm,white,"{""width"": ""55 cm"", ""height"": ""48 cm""}",downloaded-files\兒童家具\fi-childrens-tables\06 - MAMMUT Children's table - inoutdoor white 77x55 cm.glb,https://www.ikea.com/fi/en/p/mammut-childrens-table-in-outdoor-white-50365177/,https://web-api.ikea.com/dimma/assets/1.2/50365177/PS01_S01_NV01/iqp1/glb/4e7fa9b95866449181af9ba1e7a77182-50365177_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
7,KRITTER Children's table - white 59x50 cm,white,"{""width"": ""50 cm"", ""height"": ""50 cm""}",downloaded-files\兒童家具\fi-childrens-tables\07 - KRITTER Children's table - white 59x50 cm.glb,https://www.ikea.com/fi/en/p/kritter-childrens-table-white-40153859/,https://web-api.ikea.com/dimma/assets/1.2/40153859/PS01_S01_NV01/iqp1/glb/b3ef83b9c9024380a72227941dec7fb6-40153859_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
8,SUNDVIK Children's table - white 76x50 cm,white,"{""width"": ""50 cm"", ""height"": ""50 cm""}",downloaded-files\兒童家具\fi-childrens-tables\08 - SUNDVIK Children's table - white 76x50 cm.glb,https://www.ikea.com/fi/en/p/sundvik-childrens-table-white-10201673/,https://web-api.ikea.com/dimma/assets/1.2/10201673/PS01_S01_NV01/iqp1/glb/c5dac407a7764bbfbfde0b7c80b638f1-10201673_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
9,DUNDRA Activity table with storage - white/grey,"grey, white","{""width"": ""119 cm"", ""depth"": ""57 cm"", ""height"": ""52 cm""}",downloaded-files\兒童家具\fi-childrens-tables\09 - DUNDRA Activity table with storage - whitegrey.glb,https://www.ikea.com/fi/en/p/dundra-activity-table-with-storage-white-grey-30472499/,https://web-api.ikea.com/dimma/assets/1.2/30472499/PS01_S01_NV01/rqp1/glb/30472499_PS01_S01_NV01_RQP1_4.0_1439471044b049f2bea4a14c1b2367ca.glb?cn=pip
10,RESÖ Children's picnic table - light brown stained,brown,"{""width"": ""89 cm"", ""height"": ""49 cm""}",downloaded-files\兒童家具\fi-childrens-tables\10 - RESÖ Children's picnic table - light brown stained.glb,https://www.ikea.com/fi/en/p/resoe-childrens-picnic-table-light-brown-stained-70228325/,https://web-api.ikea.com/dimma/assets/1.2/70228325/PS01_S01_NV01/rqp1/glb/2106ca65389345228ecdada9d005ba82-70228325_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
