index,name,color,dimensions,filename,product_url,glb_url
1,VALLABY Rug - green 100x133 cm,green,"{""width"": ""100 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\01 - VALLABY Rug - green 100x133 cm.glb,https://www.ikea.com/fi/en/p/vallaby-rug-green-10548216/,https://web-api.ikea.com/dimma/assets/1.2/10548216/PS01_S01_NV01/rqp1/glb/f15023d109a22afadb861682de73c254-10548216_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
2,STÄPPSPARV Rug - beige 100x160 cm,"beige, multicolour","{""width"": ""100 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\02 - STÄPPSPARV Rug - beige 100x160 cm.glb,https://www.ikea.com/fi/en/p/staeppsparv-rug-beige-60603026/,https://web-api.ikea.com/dimma/assets/1.2/60603026/PS01_S01_NV01/rqp1/glb/230d50662f84b9ee7718e4bffd034e49-60603026_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
3,"SKOGSDUVA Rug, high pile - green 133x160 cm",green,"{""width"": ""133 cm""}","downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\03 - SKOGSDUVA Rug, high pile - green 133x160 cm.glb",https://www.ikea.com/fi/en/p/skogsduva-rug-high-pile-green-40578278/,https://web-api.ikea.com/dimma/assets/geomagical/40578278/PS01_S01_NV_01/simple/glb_draco/af8071ccffb5f67874f7bfc02d84bdd1-G-40578278-0d716183f5a6652d1e434067ad746a0b0d7b2660-simple+draco.glb?cn=pip
4,"NATTHÄGER Rug, low pile - blue orange/toucan 83x125 cm","blue, orange","{""width"": ""83 cm""}","downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\04 - NATTHÄGER Rug, low pile - blue orangetoucan 83x125 cm.glb",https://www.ikea.com/fi/en/p/natthaeger-rug-low-pile-blue-orange-toucan-50595324/,https://web-api.ikea.com/dimma/assets/1.2/50595324/PS01_S01_NV01/rqp1/glb/56bb8d66d4aacb740bc3274d82540120-50595324_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
5,"LEN Rug, low pile - beige/dot pattern 133x160 cm",beige,"{""width"": ""133 cm""}","downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\05 - LEN Rug, low pile - beigedot pattern 133x160 cm.glb",https://www.ikea.com/fi/en/p/len-rug-low-pile-beige-dot-pattern-40625109/,https://web-api.ikea.com/dimma/assets/1.2/40625109/PS01_S01_NV01/rqp1/glb/7d88268e91c8305af0b4b13b6eef1705-40625109_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,BUSENKEL Rug - harlequin pattern/multicolour 130x160 cm,multicolour,"{""width"": ""130 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\06 - BUSENKEL Rug - harlequin patternmulticolour 130x160 cm.glb,https://www.ikea.com/fi/en/p/busenkel-rug-harlequin-pattern-multicolour-60520427/,https://web-api.ikea.com/dimma/assets/1.2/60520427/PS01_S01_NV01/rqp1/glb/70e76f17c3d54efeab280bce7fa70d50-60520427_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
7,LILLABO Rug - green 75x133 cm,green,"{""width"": ""75 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\07 - LILLABO Rug - green 75x133 cm.glb,https://www.ikea.com/fi/en/p/lillabo-rug-green-70609990/,https://web-api.ikea.com/dimma/assets/1.2/70609990/PS01_S01_NV01/rqp1/glb/be48b6b4d4909b9d32e8240b5c0e479e-70609990_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
8,"GREJSIMOJS Rug, high pile - green 153x215 cm",green,"{""width"": ""153 cm""}","downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\08 - GREJSIMOJS Rug, high pile - green 153x215 cm.glb",https://www.ikea.com/fi/en/p/grejsimojs-rug-high-pile-green-00602001/,https://web-api.ikea.com/dimma/assets/1.2/00602001/PS01_S01_NV01/rqp1/glb/170d959cced179635aba54b520608ed4-00602001_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
9,BRUMMIG Rug - hedgehog shaped/brown 94x150 cm,brown,"{""width"": ""94 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\09 - BRUMMIG Rug - hedgehog shapedbrown 94x150 cm.glb,https://www.ikea.com/fi/en/p/brummig-rug-hedgehog-shaped-brown-50521187/,https://web-api.ikea.com/dimma/assets/1.2/50521187/PS01_S01_NV01/rqp1/glb/75d535d1b4af4e7a82b9a5fcd67cc4fe-50521187_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
10,LEN Rug - dotted/grey 133x160 cm,grey,"{""width"": ""133 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\10 - LEN Rug - dottedgrey 133x160 cm.glb,https://www.ikea.com/fi/en/p/len-rug-dotted-grey-90589043/,https://web-api.ikea.com/dimma/assets/geomagical/90589043/PS01_S01_NV_01/simple/glb_draco/d3e800184dcc64199a0f6ef59704c648-G-90589043-ae2e0dbc1c58a77fbc6a51c4afd11c38ffeaa6c7-simple+draco.glb?cn=pip
11,HUSSPARV Rug - green 100x133 cm,green,"{""width"": ""100 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\11 - HUSSPARV Rug - green 100x133 cm.glb,https://www.ikea.com/fi/en/p/hussparv-rug-green-30612174/,https://web-api.ikea.com/dimma/assets/1.2/30612174/PS01_S01_NV01/rqp1/glb/1cea8d48ad93aefc8b80cab17f126f50-30612174_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
12,BLÅSKATA Rug - black/grey 105x160 cm,"grey, black","{""width"": ""105 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\12 - BLÅSKATA Rug - blackgrey 105x160 cm.glb,https://www.ikea.com/fi/en/p/blaskata-rug-black-grey-00569520/,https://web-api.ikea.com/dimma/assets/1.2/00569520/PS01_S01_NV01/rqp1/glb/5377ce67fd5013fc1b5430e0dc4a55d2-00569520_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
13,MARKKRYPARE Rug - dark grey 74x100 cm,"grey, black","{""width"": ""74 cm"", ""height"": ""0 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\13 - MARKKRYPARE Rug - dark grey 74x100 cm.glb,https://www.ikea.com/fi/en/p/markkrypare-rug-dark-grey-20558573/,https://web-api.ikea.com/dimma/assets/1.2/20558573/PS01_S01_NV01/rqp1/glb/988cfc875d36a8329b3c848473f2f203-20558573_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
14,DRÖMSLOTT Rug - dog-shaped off-white/grey 66x110 cm,beige,"{""width"": ""66 cm""}",downloaded-files\地毯與踏墊\fi-childrens-rugs-curtains\14 - DRÖMSLOTT Rug - dog-shaped off-whitegrey 66x110 cm.glb,https://www.ikea.com/fi/en/p/droemslott-rug-dog-shaped-off-white-grey-30526379/,https://web-api.ikea.com/dimma/assets/1.2/30526379/PS01_S01_NV01/rqp1/glb/9b75a21d8c2d310d68396346cc33a422-30526379_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
