index,name,color,dimensions,filename,product_url,glb_url
1,"STOCKHOLM 2025 Rug, flatwoven - green/white/black handwoven 240x300 cm","green, black, white","{""width"": ""240 cm"", ""height"": ""18 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\01 - STOCKHOLM 2025 Rug, flatwoven - greenwhiteblack handwoven 240x300 cm.glb",https://www.ikea.com/fi/en/p/stockholm-2025-rug-flatwoven-green-white-black-handwoven-80593762/,https://web-api.ikea.com/dimma/assets/1.2/80593762/PS01_S01_NV01/rqp1/glb/af1ac25ece0aa53986c2e1b670bfd6d9-80593762_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
2,"STOCKHOLM 2025 Rug, flatwoven - grey/white/black handwoven 170x240 cm","grey, black, white","{""width"": ""170 cm"", ""height"": ""12 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\02 - STOCKHOLM 2025 Rug, flatwoven - greywhiteblack handwoven 170x240 cm.glb",https://www.ikea.com/fi/en/p/stockholm-2025-rug-flatwoven-grey-white-black-handwoven-60593763/,https://web-api.ikea.com/dimma/assets/1.2/60593763/PS01_S01_NV01/rqp1/glb/c43d3f68c673fefcea5b2db38cef55e1-60593763_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
3,"STOCKHOLM 2025 Rug, flatwoven - green/white/black handwoven 170x240 cm","green, black, white","{""width"": ""170 cm"", ""height"": ""12 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\03 - STOCKHOLM 2025 Rug, flatwoven - greenwhiteblack handwoven 170x240 cm.glb",https://www.ikea.com/fi/en/p/stockholm-2025-rug-flatwoven-green-white-black-handwoven-30593769/,https://web-api.ikea.com/dimma/assets/1.2/30593769/PS01_S01_NV01/rqp1/glb/bfac7314ee92d90d056e88a1d34d7ecc-30593769_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
4,"STOCKHOLM 2025 Rug, flatwoven - grey/white/black handwoven 240x300 cm","grey, black, white","{""width"": ""240 cm"", ""height"": ""18 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\04 - STOCKHOLM 2025 Rug, flatwoven - greywhiteblack handwoven 240x300 cm.glb",https://www.ikea.com/fi/en/p/stockholm-2025-rug-flatwoven-grey-white-black-handwoven-40590973/,https://web-api.ikea.com/dimma/assets/1.2/40590973/PS01_S01_NV01/rqp1/glb/6dd2f9a2a28e3455f7fc8b9acdea5a38-40590973_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
5,"UNDERVISNING Rug, low pile - off-white black/handmade 170x240 cm","beige, black","{""width"": ""170 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\05 - UNDERVISNING Rug, low pile - off-white blackhandmade 170x240 cm.glb",https://www.ikea.com/fi/en/p/undervisning-rug-low-pile-off-white-black-handmade-50560065/,https://web-api.ikea.com/dimma/assets/1.2/50560065/PS01_S01_NV01/rqp1/glb/50560065_PS01_S01_NV01_RQP1_4.0_07bca74e44674f2fbe4ebff528009688.glb?cn=pip
6,"RAKLEV Rug, flatwoven - handwoven/natural multicolour 170x240 cm","beige, multicolour","{""width"": ""170 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\06 - RAKLEV Rug, flatwoven - handwovennatural multicolour 170x240 cm.glb",https://www.ikea.com/fi/en/p/raklev-rug-flatwoven-handwoven-natural-multicolour-80610889/,https://web-api.ikea.com/dimma/assets/1.2/80610889/PS01_S01_NV01/rqp1/glb/fe54dbd0572f7eee812a46b4ac6be8b9-80610889_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
7,"STOCKHOLM 2025 Rug, flatwoven - white/brown/light blue handwoven 240x350 cm","blue, brown, white","{""width"": ""240 cm"", ""height"": ""18 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\07 - STOCKHOLM 2025 Rug, flatwoven - whitebrownlight blue handwoven 240x350 cm.glb",https://www.ikea.com/fi/en/p/stockholm-2025-rug-flatwoven-white-brown-light-blue-handwoven-70593814/,https://web-api.ikea.com/dimma/assets/1.2/70593814/PS01_S01_NV01/rqp1/glb/c65b2a484f9b7164fb24d0391666dee5-70593814_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
8,"STOCKHOLM 2025 Rug, flatwoven - white/brown/light blue handwoven 170x240 cm","blue, brown, white","{""width"": ""170 cm"", ""height"": ""10 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\08 - STOCKHOLM 2025 Rug, flatwoven - whitebrownlight blue handwoven 170x240 cm.glb",https://www.ikea.com/fi/en/p/stockholm-2025-rug-flatwoven-white-brown-light-blue-handwoven-40593815/,https://web-api.ikea.com/dimma/assets/1.2/40593815/PS01_S01_NV01/rqp1/glb/c0289dc3b72d998962548f00de68b4cc-40593815_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
9,"BLÅLJUS Rug, flatwoven - handwoven natural/grey/brown check 170x240 cm","beige, brown, grey","{""width"": ""170 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\09 - BLÅLJUS Rug, flatwoven - handwoven naturalgreybrown check 170x240 cm.glb",https://www.ikea.com/fi/en/p/blaljus-rug-flatwoven-handwoven-natural-grey-brown-check-30595706/,https://web-api.ikea.com/dimma/assets/1.2/30595706/PS01_S01_NV01/rqp1/glb/cc91c0fd6f38e6809e3f7637f8650861-30595706_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,"RAKLEV Rug, flatwoven - handmade natural/multicolour 70x160 cm","beige, multicolour","{""width"": ""70 cm"", ""height"": ""4 cm""}","downloaded-files\地毯與踏墊\fi-handmade-rugs\10 - RAKLEV Rug, flatwoven - handmade naturalmulticolour 70x160 cm.glb",https://www.ikea.com/fi/en/p/raklev-rug-flatwoven-handmade-natural-multicolour-80408024/,https://web-api.ikea.com/dimma/assets/1.2/80408024/PS01_S01_NV01/rqp1/glb/a6e74d615c2f050a6a2ea78ec3bae008-80408024_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
