index,name,color,dimensions,filename,product_url,glb_url
1,"STOENSE Rug, low pile - pale pink 170x240 cm",pink,"{""width"": ""170 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\01 - STOENSE Rug, low pile - pale pink 170x240 cm.glb",https://www.ikea.com/fi/en/p/stoense-rug-low-pile-pale-pink-40629150/,https://web-api.ikea.com/dimma/assets/1.2/40629150/PS01_S01_NV01/rqp1/glb/e4dd0a4adefbd98dc4240351a7032917-40629150_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
2,"STOENSE Rug, low pile - pale pink 133x195 cm",pink,"{""width"": ""133 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\02 - STOENSE Rug, low pile - pale pink 133x195 cm.glb",https://www.ikea.com/fi/en/p/stoense-rug-low-pile-pale-pink-70629144/,https://web-api.ikea.com/dimma/assets/1.2/70629144/PS01_S01_NV01/rqp1/glb/0369cb717effee3ed8e34c19d7a25b05-70629144_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
3,"ÄRENDE Rug, high pile - off-white 120x180 cm",beige,"{""width"": ""120 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\03 - ÄRENDE Rug, high pile - off-white 120x180 cm.glb",https://www.ikea.com/fi/en/p/aerende-rug-high-pile-off-white-10605075/,https://web-api.ikea.com/dimma/assets/geomagical/10605075/PS01_S01_NV_01/simple/glb_draco/98289a781870a10886dd82d440b62672-G-10605075-3106c42ab71a24aea9b8ab79bbfc94ef03e2e632-simple+draco.glb?cn=pip
4,"ÄRENDE Rug, high pile - yellow 120x180 cm",,"{""width"": ""120 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\04 - ÄRENDE Rug, high pile - yellow 120x180 cm.glb",https://www.ikea.com/fi/en/p/aerende-rug-high-pile-yellow-50628843/,https://web-api.ikea.com/dimma/assets/geomagical/50628843/PS01_S01_NV_01/simple/glb/b0679655a46e7d1d88ce408d85559897-G-50628843-313468acb016d9cae8814c00b03fbba118efcaf7-simple.glb?cn=pip
5,"ÄRENDE Rug, high pile - grey 160x230 cm",grey,"{""width"": ""160 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\05 - ÄRENDE Rug, high pile - grey 160x230 cm.glb",https://www.ikea.com/fi/en/p/aerende-rug-high-pile-grey-00576436/,https://web-api.ikea.com/dimma/assets/geomagical/00576436/PS01_S01_NV_01/simple/glb_draco/b8a6477a690a81581dd1cb916ac9a540-G-00576436-d7d667cb89e1c39abe07bcae6909ae39aaed685e-simple+draco.glb?cn=pip
6,"TIPHEDE Rug, flatwoven - natural/black 120x180 cm","beige, white","{""width"": ""120 cm"", ""height"": ""9 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\06 - TIPHEDE Rug, flatwoven - naturalblack 120x180 cm.glb",https://www.ikea.com/fi/en/p/tiphede-rug-flatwoven-natural-black-40456757/,https://web-api.ikea.com/dimma/assets/1.2/40456757/PS01_S01_NV01/rqp1/glb/bc9726789fdcbeda39ef2312b5ea7869-40456757_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
7,"TIPHEDE Rug, flatwoven - black/natural 155x220 cm","grey, white","{""width"": ""155 cm"", ""height"": ""9 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\07 - TIPHEDE Rug, flatwoven - blacknatural 155x220 cm.glb",https://www.ikea.com/fi/en/p/tiphede-rug-flatwoven-black-natural-20470047/,https://web-api.ikea.com/dimma/assets/1.2/20470047/PS01_S01_NV01/rqp1/glb/7ee7e3a2ccb2ee8ca84a22e9d0759f1b-20470047_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
8,"JÄRNVÄG Rug, low pile - ornament pattern beige/dark beige 200x300 cm",beige,"{""width"": ""200 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\08 - JÄRNVÄG Rug, low pile - ornament pattern beigedark beige 200x300 cm.glb",https://www.ikea.com/fi/en/p/jaernvaeg-rug-low-pile-ornament-pattern-beige-dark-beige-50624246/,https://web-api.ikea.com/dimma/assets/geomagical/50624246/PS01_S01_NV_01/simple/glb_draco/f4a6462e3e8ad141fb7bb50487311c6c-G-50624246-96a2807c14ed8d5693f1728463f0140dec4335f2-simple+draco.glb?cn=pip
9,"JÄRNVÄG Rug, low pile - ornament pattern pink/beige 200x300 cm",,"{""width"": ""200 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\09 - JÄRNVÄG Rug, low pile - ornament pattern pinkbeige 200x300 cm.glb",https://www.ikea.com/fi/en/p/jaernvaeg-rug-low-pile-ornament-pattern-pink-beige-40623068/,https://web-api.ikea.com/dimma/assets/geomagical/40623068/PS01_S01_NV_01/simple/glb_draco/694c5ae402ca8e5e3b9f9e256faa43e8-G-40623068-3971a09afaf153354934c6f6b85918b1dcb9fd40-simple+draco.glb?cn=pip
10,"JÄRNVÄG Rug, low pile - ornament pattern pink/beige 160x230 cm",beige,"{""width"": ""160 cm""}","downloaded-files\地毯與踏墊\fi-large-medium-rugs\10 - JÄRNVÄG Rug, low pile - ornament pattern pinkbeige 160x230 cm.glb",https://www.ikea.com/fi/en/p/jaernvaeg-rug-low-pile-ornament-pattern-pink-beige-20595698/,https://web-api.ikea.com/dimma/assets/1.2/20595698/PS01_S01_NV01/rqp1/glb/27acb8c7b6adb1138be6fa41449e415b-20595698_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
