index,name,color,dimensions,filename,product_url,glb_url
1,"NÄMMARÖ Lounge chair, outdoor - light brown stained/Kuddarna light grey-beige",,"{""width"": ""69 cm"", ""depth"": ""78 cm"", ""height"": ""75 cm"", ""seat_width"": ""62 cm"", ""seat_depth"": ""60 cm"", ""seat_height"": ""38 cm""}","downloaded-files\戶外家具\fi-outdoor-seating\01 - NÄMMARÖ Lounge chair, outdoor - light brown stainedKuddarna light grey-beige.glb",https://www.ikea.com/fi/en/p/naemmaroe-lounge-chair-outdoor-light-brown-stained-kuddarna-light-grey-beige-s69575217/,https://web-api.ikea.com/dimma/assets/geomagical/69575217/PS01_S01_NV_01/simple/glb_draco/a91b78d8d2bd065af20ad9a35ecfea95-G-69575217-6b66727c8a9a595d67da95c58556963a5be6887f-simple+draco.glb?cn=pip
2,"TÄRNÖ Chair, outdoor - foldable black/light brown stained","brown, black","{""width"": ""39 cm"", ""depth"": ""40 cm"", ""height"": ""79 cm"", ""seat_width"": ""39 cm"", ""seat_depth"": ""28 cm"", ""seat_height"": ""45 cm""}","downloaded-files\戶外家具\fi-outdoor-seating\02 - TÄRNÖ Chair, outdoor - foldable blacklight brown stained.glb",https://www.ikea.com/fi/en/p/taernoe-chair-outdoor-foldable-black-light-brown-stained-90095428/,https://web-api.ikea.com/dimma/assets/1.2/90095428/PS01_S01_NV01/iqp1/glb/537d3c7b7e8f4acaa6ec4ca91f78f8b8-90095428_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
3,"JOLPEN 2-seat sofa, outdoor - white/grey 100x59x67 cm","grey, white","{""width"": ""100 cm"", ""depth"": ""59 cm"", ""height"": ""67 cm"", ""seat_width"": ""100 cm"", ""seat_depth"": ""44 cm"", ""seat_height"": ""33 cm""}","downloaded-files\戶外家具\fi-outdoor-seating\03 - JOLPEN 2-seat sofa, outdoor - whitegrey 100x59x67 cm.glb",https://www.ikea.com/fi/en/p/jolpen-2-seat-sofa-outdoor-white-grey-60515483/,https://web-api.ikea.com/dimma/assets/geomagical/60515483/PS01_S01_NV_01/simple/glb_draco/2146697cb516435bbc6bc171527bdca2-G-60515483-11c4aaa543d24bb68d50d2bfa2719462519c424f-simple+draco.glb?cn=pip
4,"NÄMMARÖ Seat sec for modular sofa, outdoor - light brown stained 63x63 cm",brown,"{""width"": ""63 cm"", ""depth"": ""63 cm"", ""height"": ""30 cm"", ""seat_width"": ""63 cm"", ""seat_depth"": ""63 cm"", ""seat_height"": ""30 cm""}","downloaded-files\戶外家具\fi-outdoor-seating\04 - NÄMMARÖ Seat sec for modular sofa, outdoor - light brown stained 63x63 cm.glb",https://www.ikea.com/fi/en/p/naemmaroe-seat-sec-for-modular-sofa-outdoor-light-brown-stained-10510299/,https://web-api.ikea.com/dimma/assets/1.2/10510299/PS01_S01_NV01/rqp1/glb/5d6c1655e50148cab51d6db7babcf5ec-10510299_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
5,NÄMMARÖ 2-seat sofa - light brown stained outdoor/Kuddarna light grey-beige 126 cm,,"{""width"": ""126 cm"", ""depth"": ""74 cm"", ""height"": ""82 cm"", ""seat_depth"": ""57 cm"", ""seat_height"": ""38 cm""}",downloaded-files\戶外家具\fi-outdoor-seating\05 - NÄMMARÖ 2-seat sofa - light brown stained outdoorKuddarna light grey-beige 126 cm.glb,https://www.ikea.com/fi/en/p/naemmaroe-2-seat-sofa-light-brown-stained-outdoor-kuddarna-light-grey-beige-s49575218/,https://web-api.ikea.com/dimma/assets/geomagical/49575218/PS01_S01_NV_01/simple/glb_draco/bd8b0bc25a7586c948793f3dbffa8179-G-49575218-5e9d881f72230c8a6b866660982f9262a018cd1b-simple+draco.glb?cn=pip
6,VITTSKÄR 2-seat modular sofa - outdoor/plastic rattan dark grey,,"{""width"": ""160 cm"", ""depth"": ""89 cm"", ""height"": ""79 cm"", ""seat_width"": ""160 cm"", ""seat_depth"": ""80 cm"", ""seat_height"": ""36 cm""}",downloaded-files\戶外家具\fi-outdoor-seating\06 - VITTSKÄR 2-seat modular sofa - outdoorplastic rattan dark grey.glb,https://www.ikea.com/fi/en/p/vittskaer-2-seat-modular-sofa-outdoor-plastic-rattan-dark-grey-s99591065/,https://web-api.ikea.com/dimma/assets/geomagical/99591065/PS01_S01_NV_01/simple/glb_draco/6b610c698f62d37c10dc5e1aa3a6a329-G-99591065-266635ee5ebf325a694ec43eea6958b4edfad727-simple+draco.glb?cn=pip
7,VITTSKÄR 2-seat sofa - outdoor plastic rattan dark grey/Frösön/Duvholmen beige,,"{""width"": ""160 cm"", ""depth"": ""89 cm"", ""height"": ""88 cm"", ""seat_width"": ""160 cm"", ""seat_depth"": ""64 cm"", ""seat_height"": ""48 cm""}",downloaded-files\戶外家具\fi-outdoor-seating\07 - VITTSKÄR 2-seat sofa - outdoor plastic rattan dark greyFrösönDuvholmen beige.glb,https://www.ikea.com/fi/en/p/vittskaer-2-seat-sofa-outdoor-plastic-rattan-dark-grey-froesoen-duvholmen-beige-s69591076/,https://web-api.ikea.com/dimma/assets/geomagical/69591076/PS01_S01_NV_01/simple/glb/cb86ebc544d3a4e6ed887dd6841c11be-G-69591076-1ab8ecfa48d12bada5feda3caf3e641644a9be5d-simple.glb?cn=pip
8,VITTSKÄR 2-seat sofa - outdoor/plastic rattan dark grey,,"{""width"": ""160 cm"", ""depth"": ""89 cm"", ""height"": ""79 cm"", ""seat_width"": ""160 cm"", ""seat_depth"": ""80 cm"", ""seat_height"": ""36 cm""}",downloaded-files\戶外家具\fi-outdoor-seating\08 - VITTSKÄR 2-seat sofa - outdoorplastic rattan dark grey.glb,https://www.ikea.com/fi/en/p/vittskaer-2-seat-sofa-outdoor-plastic-rattan-dark-grey-s49591077/,https://web-api.ikea.com/dimma/assets/geomagical/49591077/PS01_S01_NV_01/simple/glb_draco/5a8071af6224388f91fcd266e706b781-G-49591077-488960e1f88cfd50e8888dfb47a9594159ab8228-simple+draco.glb?cn=pip
9,TÄRNÖ Stool - black/light brown stained 30x42 cm,,"{""width"": ""30 cm"", ""depth"": ""29 cm"", ""height"": ""42 cm""}",downloaded-files\戶外家具\fi-outdoor-seating\09 - TÄRNÖ Stool - blacklight brown stained 30x42 cm.glb,https://www.ikea.com/fi/en/p/taernoe-stool-black-light-brown-stained-70603281/,https://web-api.ikea.com/dimma/assets/1.2/70603281/PS01_S01_NV01/rqp1/glb/909c856a5169c4733f23bdd070600f50-70603281_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,"KUDDARNA Back cushion, outdoor - light grey-beige 62x44 cm",beige,"{""width"": ""62 cm"", ""height"": ""7 cm""}","downloaded-files\戶外家具\fi-outdoor-seating\10 - KUDDARNA Back cushion, outdoor - light grey-beige 62x44 cm.glb",https://www.ikea.com/fi/en/p/kuddarna-back-cushion-outdoor-light-grey-beige-30547254/,https://web-api.ikea.com/dimma/assets/1.2/30547254/PS01_S01_NV01/rqp1/glb/b7941a2bd5a4fb5066f0fa47b3352c82-30547254_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
