index,name,color,dimensions,filename,product_url,glb_url
1,HEMNES Glass-door cabinet with 3 drawers - grey-green/light brown stained 90x197 cm,,"{""width"": ""90 cm"", ""depth"": ""37 cm"", ""height"": ""197 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files\fi-cabinets-cupboards\01 - HEMNES Glass-door cabinet with 3 drawers - grey-greenlight brown stained 90x197 cm.glb,https://www.ikea.com/fi/en/p/hemnes-glass-door-cabinet-with-3-drawers-grey-green-light-brown-stained-00596161/,https://web-api.ikea.com/dimma/assets/1.2/00596161/PS01_S01_NV01/rqp1/glb/f7f4bcdcd92208084f6e3953b8e9053f-00596161_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
2,HEMNES Glass-door cabinet with 3 drawers - white stain/light brown 90x197 cm,"brown, white","{""width"": ""90 cm"", ""depth"": ""37 cm"", ""height"": ""197 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files\fi-cabinets-cupboards\02 - HEMNES Glass-door cabinet with 3 drawers - white stainlight brown 90x197 cm.glb,https://www.ikea.com/fi/en/p/hemnes-glass-door-cabinet-with-3-drawers-white-stain-light-brown-50413507/,https://web-api.ikea.com/dimma/assets/1.2/50413507/PS01_S01_NV01/rqp1/glb/5c0b43e2aeb24104a9a496e0efe08d11-50413507_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
3,HEMNES Glass-door cabinet with 3 drawers - black-brown/light brown 90x197 cm,"brown, black","{""width"": ""90 cm"", ""depth"": ""37 cm"", ""height"": ""197 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files\fi-cabinets-cupboards\03 - HEMNES Glass-door cabinet with 3 drawers - black-brownlight brown 90x197 cm.glb,https://www.ikea.com/fi/en/p/hemnes-glass-door-cabinet-with-3-drawers-black-brown-light-brown-50452297/,https://web-api.ikea.com/dimma/assets/1.2/50452297/PS01_S01_NV01/isp1/glb_draco/50452297_PS01_S01_NV01_ISP1_2.0_d67191e56fbc4dfb9d0f712b8ea4c3c1.glb?cn=pip
4,BAGGEBO Cabinet with door - white 50x30x80 cm,white,"{""width"": ""50 cm"", ""depth"": ""30 cm"", ""height"": ""80 cm"", ""max_load/shelf"": ""8 kg""}",downloaded-files\fi-cabinets-cupboards\04 - BAGGEBO Cabinet with door - white 50x30x80 cm.glb,https://www.ikea.com/fi/en/p/baggebo-cabinet-with-door-white-60481204/,https://web-api.ikea.com/dimma/assets/1.2/60481204/PS01_S01_NV01/iqp1/glb/cc66a9c70ed1445da924a03313b68cbf-60481204_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
5,BILLY / OXBERG Bookcase with glass doors - brown walnut effect/clear glass 80x30x237 cm,"brown, white","{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""237 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files\fi-cabinets-cupboards\05 - BILLY OXBERG Bookcase with glass doors - brown walnut effectclear glass 80x30x237 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-glass-doors-brown-walnut-effect-clear-glass-s09581909/,https://web-api.ikea.com/dimma/assets/geomagical/09581909/PS01_S01_NV_01/simple/glb/80255fbd1375be10e4f61ea8bdfd7924-G-09581909-5a3b9a48aca8e66bdf1a31bad80c3b231b079aba-simple.glb?cn=pip
6,BILLY / OXBERG Bookcase with glass doors - oak effect/clear glass 80x30x237 cm,"beige, brown, white","{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""237 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files\fi-cabinets-cupboards\06 - BILLY OXBERG Bookcase with glass doors - oak effectclear glass 80x30x237 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-with-glass-doors-oak-effect-clear-glass-s69581911/,https://web-api.ikea.com/dimma/assets/geomagical/69581911/PS01_S01_NV_01/simple/glb/fccffb0925090e79f1822f8440bded5c-G-69581911-fe76925c0c03ac07fae45774440425b85855af9c-simple.glb?cn=pip
7,BILLY / OXBERG Bookcase w glass doors/ext unit - oak effect/clear glass 80x30x237 cm,"beige, brown, white","{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""237 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files\fi-cabinets-cupboards\07 - BILLY OXBERG Bookcase w glass doorsext unit - oak effectclear glass 80x30x237 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-w-glass-doors-ext-unit-oak-effect-clear-glass-s49581912/,https://web-api.ikea.com/dimma/assets/geomagical/49581912/PS01_S01_NV_01/simple/glb_draco/9b9bfe1b60c6212bd122916176965991-G-49581912-c981859549f51504c5cb6df11d5ba9170e5e4725-simple+draco.glb?cn=pip
8,BILLY / OXBERG Bookcase w hght ext ut/pnl/glss drs - white 80x30x237 cm,white,"{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""237 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files\fi-cabinets-cupboards\08 - BILLY OXBERG Bookcase w hght ext utpnlglss drs - white 80x30x237 cm.glb,https://www.ikea.com/fi/en/p/billy-oxberg-bookcase-w-hght-ext-ut-pnl-glss-drs-white-s29287346/,https://web-api.ikea.com/dimma/assets/1.2/29287346/PS01_S01_NV01/isp1/glb/29287346_PS01_S01_NV01_ISP1_2.0_2ee9e4bc57e1488d858cbe4e019a5cee.glb?cn=pip
9,SKRUVBY Cabinet with doors - white 70x90 cm,,"{""width"": ""70 cm"", ""depth"": ""37.5 cm"", ""height"": ""90 cm"", ""max_load/shelf"": ""15 kg""}",downloaded-files\fi-cabinets-cupboards\09 - SKRUVBY Cabinet with doors - white 70x90 cm.glb,https://www.ikea.com/fi/en/p/skruvby-cabinet-with-doors-white-20503547/,https://web-api.ikea.com/dimma/assets/1.2/20503547/PS01_S01_NV01/rqp1/glb/cfb4215a01cf4e9d8a980e2322a6438d-20503547_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
10,SKRUVBY Cabinet with doors - black-blue 70x90 cm,,"{""width"": ""70 cm"", ""depth"": ""38 cm"", ""height"": ""90 cm"", ""max_load/shelf"": ""15 kg""}",downloaded-files\fi-cabinets-cupboards\10 - SKRUVBY Cabinet with doors - black-blue 70x90 cm.glb,https://www.ikea.com/fi/en/p/skruvby-cabinet-with-doors-black-blue-30520358/,https://web-api.ikea.com/dimma/assets/1.2/30520358/PS01_S01_NV01/rqp1/glb/2d9a5fe8ea0447cebd6a244352a70332-30520358_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
