index,name,color,dimensions,filename,product_url,glb_url
1,JONAXEL Storage combination - white 50x51x104 cm,white,"{""width"": ""50 cm"", ""depth"": ""51 cm"", ""height"": ""104 cm""}",downloaded-files\fi-storage-solution-systems\01 - JONAXEL Storage combination - white 50x51x104 cm.glb,https://www.ikea.com/fi/en/p/jonaxel-storage-combination-white-s09297488/,https://web-api.ikea.com/dimma/assets/geomagical/09297488/PS01_S01_NV_01/simple/glb/c5ac82ee2a5342639a7ac36c8d55cb2c-G-09297488-06c93e363032c2d68d9820700d9bb29b6fb26719-simple.glb?cn=pip
2,JONAXEL Storage combination - white 25x51x70 cm,white,"{""width"": ""25 cm"", ""depth"": ""51 cm"", ""height"": ""70 cm""}",downloaded-files\fi-storage-solution-systems\02 - JONAXEL Storage combination - white 25x51x70 cm.glb,https://www.ikea.com/fi/en/p/jonaxel-storage-combination-white-s89297130/,https://web-api.ikea.com/dimma/assets/1.2/89297130/PS01_S01_NV01/isp1/glb_draco/89297130_PS01_S01_NV01_ISP1_2.0_c11aef47dc0945d39941a406fb6663ff.glb?cn=pip
3,BOAXEL Wardrobe combination - white 125x40x201 cm,white,"{""width"": ""124.8 cm"", ""depth"": ""40.0 cm"", ""height"": ""200.6 cm""}",downloaded-files\fi-storage-solution-systems\03 - BOAXEL Wardrobe combination - white 125x40x201 cm.glb,https://www.ikea.com/fi/en/p/boaxel-wardrobe-combination-white-s19332373/,https://web-api.ikea.com/dimma/assets/geomagical/19332373/PS01_S01_NV_01/simple/glb_draco/5b3a89c66e63fc0f8345aee151ffcabe-G-19332373-b25caced96b9afbdf4b51f86fdb6d3559291b25b-simple+draco.glb?cn=pip
4,BESTÅ Frame - white 120x40x64 cm,white,"{""width"": ""120 cm"", ""depth"": ""40 cm"", ""height"": ""64 cm""}",downloaded-files\fi-storage-solution-systems\04 - BESTÅ Frame - white 120x40x64 cm.glb,https://www.ikea.com/fi/en/p/besta-frame-white-10245846/,https://web-api.ikea.com/dimma/assets/1.2/10245846/PS01_S01_NV01/isp1/glb/10245846_PS01_S01_NV01_ISP1_2.0_56ebc656861a4916a32386683cb7d1a2.glb?cn=pip
5,BESTÅ Frame - dark grey 120x40x64 cm,grey,"{""width"": ""120 cm"", ""depth"": ""40 cm"", ""height"": ""64 cm""}",downloaded-files\fi-storage-solution-systems\05 - BESTÅ Frame - dark grey 120x40x64 cm.glb,https://www.ikea.com/fi/en/p/besta-frame-dark-grey-30538589/,https://web-api.ikea.com/dimma/assets/1.2/30538589/PS01_S01_NV01/rqp1/glb/b2f6406d0e9d46f494baba0da162d3f0-30538589_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,BESTÅ Frame - white 120x40x38 cm,white,"{""width"": ""120 cm"", ""depth"": ""40 cm"", ""height"": ""38 cm""}",downloaded-files\fi-storage-solution-systems\06 - BESTÅ Frame - white 120x40x38 cm.glb,https://www.ikea.com/fi/en/p/besta-frame-white-60245844/,https://web-api.ikea.com/dimma/assets/1.2/60245844/PS01_S01_NV01/iqp1/glb/01522f319d464c0fbedaac242d2d88e2-60245844_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
7,SMÅSTAD / PLATSA Chest of 3 drawers - white/white 60x57x63 cm,white,"{""width"": ""60 cm"", ""depth"": ""57 cm"", ""height"": ""63 cm""}",downloaded-files\fi-storage-solution-systems\07 - SMÅSTAD PLATSA Chest of 3 drawers - whitewhite 60x57x63 cm.glb,https://www.ikea.com/fi/en/p/smastad-platsa-chest-of-3-drawers-white-white-s99387521/,https://web-api.ikea.com/dimma/assets/1.2/99387521/PS01_S01_NV01/isp1/glb/99387521_PS01_S01_NV01_ISP1_2.0_cdb42588f8524fb89a5d118e803cb091.glb?cn=pip
8,SMÅSTAD / PLATSA Chest of 3 drawers - white/light green 60x57x63 cm,"green, white","{""width"": ""60 cm"", ""depth"": ""57 cm"", ""height"": ""63 cm""}",downloaded-files\fi-storage-solution-systems\08 - SMÅSTAD PLATSA Chest of 3 drawers - whitelight green 60x57x63 cm.glb,https://www.ikea.com/fi/en/p/smastad-platsa-chest-of-3-drawers-white-light-green-s59542901/,https://web-api.ikea.com/dimma/assets/geomagical/59542901/PS01_S01_NV_01/simple/glb/c8da3258ba74f54752894774816d37ce-G-59542901-f2b6304669c8b821d20c7fd59b3a4ee768946aeb-simple.glb?cn=pip
9,TROFAST Storage combination with boxes - white/grey 46x30x94 cm,"grey, white","{""width"": ""46 cm"", ""depth"": ""30 cm"", ""height"": ""94 cm""}",downloaded-files\fi-storage-solution-systems\09 - TROFAST Storage combination with boxes - whitegrey 46x30x94 cm.glb,https://www.ikea.com/fi/en/p/trofast-storage-combination-with-boxes-white-grey-s49575204/,https://web-api.ikea.com/dimma/assets/geomagical/49575204/PS01_S01_NV_01/simple/glb_draco/76b3c78afc568253150e056b4292cb54-G-49575204-626f30589e80ef25a00e5660680856001cf4be45-simple+draco.glb?cn=pip
10,TROFAST Storage combination with boxes - white/red 46x30x94 cm,"red, white","{""width"": ""46 cm"", ""depth"": ""30 cm"", ""height"": ""94 cm""}",downloaded-files\fi-storage-solution-systems\10 - TROFAST Storage combination with boxes - whitered 46x30x94 cm.glb,https://www.ikea.com/fi/en/p/trofast-storage-combination-with-boxes-white-red-s99575206/,https://web-api.ikea.com/dimma/assets/geomagical/99575206/PS01_S01_NV_01/simple/glb_draco/0b9c598dfa76c3bc3544501df357d73e-G-99575206-69eb583f5cb0587c1ac100743106897d79e5f42b-simple+draco.glb?cn=pip
11,TROFAST Storage combination with boxes - white/bright green 46x30x94 cm,"green, white","{""width"": ""46 cm"", ""depth"": ""30 cm"", ""height"": ""94 cm""}",downloaded-files\fi-storage-solution-systems\11 - TROFAST Storage combination with boxes - whitebright green 46x30x94 cm.glb,https://www.ikea.com/fi/en/p/trofast-storage-combination-with-boxes-white-bright-green-s89575202/,https://web-api.ikea.com/dimma/assets/geomagical/89575202/PS01_S01_NV_01/simple/glb_draco/83f7dfb78a691a5366a4151c5ef8f080-G-89575202-801c62f403e7d870bf2efabd22d4d485bc5e9259-simple+draco.glb?cn=pip
12,SMÅSTAD / PLATSA Wardrobe - white white/with 4 drawers 60x57x181 cm,white,"{""width"": ""60 cm"", ""depth"": ""57 cm"", ""height"": ""181 cm""}",downloaded-files\fi-storage-solution-systems\12 - SMÅSTAD PLATSA Wardrobe - white whitewith 4 drawers 60x57x181 cm.glb,https://www.ikea.com/fi/en/p/smastad-platsa-wardrobe-white-white-with-4-drawers-s69428325/,https://web-api.ikea.com/dimma/assets/geomagical/69428325/PS01_S01_NV_01/simple/glb/51b5d094a3a98061359a92af4d83fe15-G-69428325-7177d621078ef2df6a07740b571acb3b719c36ad-simple.glb?cn=pip
13,SMÅSTAD / PLATSA Wardrobe - white light green/with 4 drawers 60x57x181 cm,"green, white","{""width"": ""60 cm"", ""depth"": ""57 cm"", ""height"": ""181 cm""}",downloaded-files\fi-storage-solution-systems\13 - SMÅSTAD PLATSA Wardrobe - white light greenwith 4 drawers 60x57x181 cm.glb,https://www.ikea.com/fi/en/p/smastad-platsa-wardrobe-white-light-green-with-4-drawers-s79546535/,https://web-api.ikea.com/dimma/assets/geomagical/79546535/PS01_S01_NV_01/simple/glb/d260326c64ab0523207b5b8720f2fbf1-G-79546535-47b08b7d5545b3819d24de64bc88036075ea992d-simple.glb?cn=pip
14,SMÅSTAD / PLATSA Wardrobe - white blue/with 4 drawers 60x57x181 cm,"blue, white","{""width"": ""60 cm"", ""depth"": ""57 cm"", ""height"": ""181 cm""}",downloaded-files\fi-storage-solution-systems\14 - SMÅSTAD PLATSA Wardrobe - white bluewith 4 drawers 60x57x181 cm.glb,https://www.ikea.com/fi/en/p/smastad-platsa-wardrobe-white-blue-with-4-drawers-s19546538/,https://web-api.ikea.com/dimma/assets/geomagical/19546538/PS01_S01_NV_01/simple/glb/343e4488b0f816948607e019c38fac04-G-19546538-28da0bbd102a3cd79dc1d7e17ec4195e1af8739b-simple.glb?cn=pip
15,GÄRDESGÅRD Storage box with lid - natural 25x35x16 cm,brown,"{""width"": ""25 cm"", ""height"": ""16 cm""}",downloaded-files\fi-storage-solution-systems\15 - GÄRDESGÅRD Storage box with lid - natural 25x35x16 cm.glb,https://www.ikea.com/fi/en/p/gaerdesgard-storage-box-with-lid-natural-70596935/,https://web-api.ikea.com/dimma/assets/1.2/70596935/PS01_S01_NV01/rqp1/glb/01e16da04ac8a0e686d05f0d300fb41d-70596935_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
16,IVAR Cabinet - pine 80x50x83 cm,,"{""width"": ""80 cm"", ""depth"": ""50 cm"", ""height"": ""83 cm"", ""max_load/shelf"": ""45 kg""}",downloaded-files\fi-storage-solution-systems\16 - IVAR Cabinet - pine 80x50x83 cm.glb,https://www.ikea.com/fi/en/p/ivar-cabinet-pine-70033766/,https://web-api.ikea.com/dimma/assets/1.2/70033766/PS01_S01_NV01/iqp1/glb/954d8ceffef2413ebb4653d76d242307-70033766_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
17,IVAR Cabinet - pine 80x30x83 cm,,"{""width"": ""80 cm"", ""depth"": ""30 cm"", ""height"": ""83 cm"", ""max_load/shelf"": ""30 kg""}",downloaded-files\fi-storage-solution-systems\17 - IVAR Cabinet - pine 80x30x83 cm.glb,https://www.ikea.com/fi/en/p/ivar-cabinet-pine-40033763/,https://web-api.ikea.com/dimma/assets/1.2/40033763/PS01_S01_NV01/iqp1/glb/e3b934b27674430c815ca1d1b2789ad2-40033763_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
18,BESTÅ Storage combination with doors - black-brown/Hedeviken/Stubbarp oak veneer 120x42x74 cm,"beige, brown, black","{""width"": ""120 cm"", ""depth"": ""42 cm"", ""height"": ""74 cm"", ""max_load/shelf"": ""20 kg""}",downloaded-files\fi-storage-solution-systems\18 - BESTÅ Storage combination with doors - black-brownHedevikenStubbarp oak veneer 120x42x74 cm.glb,https://www.ikea.com/fi/en/p/besta-storage-combination-with-doors-black-brown-hedeviken-stubbarp-oak-veneer-s49421424/,https://web-api.ikea.com/dimma/assets/1.2/49421424/PS01_S01_NV01/isp1/glb_draco/49421424_PS01_S01_NV01_ISP1_2.0_62346a28cd9b4c42a7b75b925b245585.glb?cn=pip
19,BESTÅ Storage combination with doors - white/Lappviken/Stubbarp white 120x42x74 cm,white,"{""width"": ""120 cm"", ""depth"": ""42 cm"", ""height"": ""74 cm"", ""max_load/shelf"": ""20 kg""}",downloaded-files\fi-storage-solution-systems\19 - BESTÅ Storage combination with doors - whiteLappvikenStubbarp white 120x42x74 cm.glb,https://www.ikea.com/fi/en/p/besta-storage-combination-with-doors-white-lappviken-stubbarp-white-s89209826/,https://web-api.ikea.com/dimma/assets/1.2/89209826/PS01_S01_NV01/isp1/glb/89209826_PS01_S01_NV01_ISP1_2.0_27e92d64db364edcbd89169c04fb1580.glb?cn=pip
20,BESTÅ Storage combination with doors - white stained oak effect/Laxviken/Stubbarp white 120x42x74 cm,"beige, white","{""width"": ""120 cm"", ""depth"": ""42 cm"", ""height"": ""74 cm"", ""max_load/shelf"": ""20 kg""}",downloaded-files\fi-storage-solution-systems\20 - BESTÅ Storage combination with doors - white stained oak effectLaxvikenStubbarp white 120x42x74 cm.glb,https://www.ikea.com/fi/en/p/besta-storage-combination-with-doors-white-stained-oak-effect-laxviken-stubbarp-white-s79209997/,https://web-api.ikea.com/dimma/assets/1.2/79209997/PS01_S01_NV01/isp1/glb/79209997_PS01_S01_NV01_ISP1_2.0_8a841a715efa43e9a4870efdcd982409.glb?cn=pip
21,EKET Cabinet with 4 compartments - brown walnut effect 70x35x70 cm,brown,"{""width"": ""70 cm"", ""depth"": ""35 cm"", ""height"": ""70 cm"", ""max_load/shelf"": ""7 kg""}",downloaded-files\fi-storage-solution-systems\21 - EKET Cabinet with 4 compartments - brown walnut effect 70x35x70 cm.glb,https://www.ikea.com/fi/en/p/eket-cabinet-with-4-compartments-brown-walnut-effect-10574583/,https://web-api.ikea.com/dimma/assets/1.2/10574583/PS01_S01_NV01/rqp1/glb/6b791721b164e10d95dc7f04c63d1be9-10574583_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
22,EKET Cabinet with 4 compartments - dark grey 70x35x70 cm,grey,"{""width"": ""70 cm"", ""depth"": ""35 cm"", ""height"": ""70 cm"", ""max_load/shelf"": ""7 kg""}",downloaded-files\fi-storage-solution-systems\22 - EKET Cabinet with 4 compartments - dark grey 70x35x70 cm.glb,https://www.ikea.com/fi/en/p/eket-cabinet-with-4-compartments-dark-grey-00334536/,https://web-api.ikea.com/dimma/assets/1.2/00334536/PS01_S01_NV01/iqp1/glb/00334536_PS01_S01_NV01_IQP1_2.0_a7ba4329f5273eb6f3e9bcea382c84d9.glb?cn=pip
23,TROFAST Storage combination with boxes - room divider/light white stained pine dark grey 93x44x91 cm,,"{""width"": ""93 cm"", ""depth"": ""44 cm"", ""height"": ""91 cm""}",downloaded-files\fi-storage-solution-systems\23 - TROFAST Storage combination with boxes - room dividerlight white stained pine dark grey 93x44x91 cm.glb,https://www.ikea.com/fi/en/p/trofast-storage-combination-with-boxes-room-divider-light-white-stained-pine-dark-grey-s99612572/,https://web-api.ikea.com/dimma/assets/geomagical/99612572/PS01_S01_NV_01/simple/glb_draco/545d2962d417629982e595b13b0c9983-G-99612572-d899c14a1d4ee5611c12f7fe6a6209ac37c4f1b7-simple+draco.glb?cn=pip
24,PLATSA Open clothes hanging unit - white 80x40x180 cm,white,"{""width"": ""80 cm"", ""depth"": ""40 cm"", ""height"": ""180 cm""}",downloaded-files\fi-storage-solution-systems\24 - PLATSA Open clothes hanging unit - white 80x40x180 cm.glb,https://www.ikea.com/fi/en/p/platsa-open-clothes-hanging-unit-white-60452602/,https://web-api.ikea.com/dimma/assets/geomagical/60452602/PS01_S01_NV01/simple/glb_draco/G-60452602-dae9893ccc736c731e1d072c891c6699bd8bbc62_02dd864c76c449fc8c34450fa43faa9e.glb?cn=pip
25,BESTÅ Shelf unit with doors - white/Lappviken white 120x42x64 cm,white,"{""width"": ""120 cm"", ""depth"": ""42 cm"", ""height"": ""64 cm""}",downloaded-files\fi-storage-solution-systems\25 - BESTÅ Shelf unit with doors - whiteLappviken white 120x42x64 cm.glb,https://www.ikea.com/fi/en/p/besta-shelf-unit-with-doors-white-lappviken-white-s59047388/,https://web-api.ikea.com/dimma/assets/1.2/59047388/PS01_S01_NV01/isp1/glb/59047388_PS01_S01_NV01_ISP1_2.0_b1f404150ee24182aec86598f8f80148.glb?cn=pip
26,BESTÅ Shelf unit with doors - Laxviken white 120x42x64 cm,white,"{""width"": ""120 cm"", ""depth"": ""42 cm"", ""height"": ""64 cm""}",downloaded-files\fi-storage-solution-systems\26 - BESTÅ Shelf unit with doors - Laxviken white 120x42x64 cm.glb,https://www.ikea.com/fi/en/p/besta-shelf-unit-with-doors-laxviken-white-s99047391/,https://web-api.ikea.com/dimma/assets/1.2/99047391/PS01_S01_NV01/isp1/glb/99047391_PS01_S01_NV01_ISP1_2.0_90683daedecb420a8bec3880eda316fc.glb?cn=pip
27,BESTÅ Shelf unit with doors - dark grey/Lappviken dark grey 120x42x64 cm,grey,"{""width"": ""120 cm"", ""depth"": ""42 cm"", ""height"": ""64 cm""}",downloaded-files\fi-storage-solution-systems\27 - BESTÅ Shelf unit with doors - dark greyLappviken dark grey 120x42x64 cm.glb,https://www.ikea.com/fi/en/p/besta-shelf-unit-with-doors-dark-grey-lappviken-dark-grey-s89535777/,https://web-api.ikea.com/dimma/assets/geomagical/89535777/PS01_S01_NV_01/simple/glb/7226c3b082ac8ee623c538506250cc15-G-89535777-e2e5d9db65e1d30c6beed5b5843b37aa369be91b-simple.glb?cn=pip
