index,name,color,dimensions,filename,product_url,glb_url
1,SANDSBERG Table - black 110x67 cm,"brown, black","{""width"": ""67 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\01 - SANDSBERG Table - black 110x67 cm.glb,https://www.ikea.com/fi/en/p/sandsberg-table-black-s29420393/,https://web-api.ikea.com/dimma/assets/1.2/29420393/PS01_S01_NV01/isp1/glb/29420393_PS01_S01_NV01_ISP1_2.0_60952a181617f4cc0413d0e8d9b81564.glb?cn=pip
2,LISABO Table - ash veneer 105 cm,beige,"{""width"": ""107 cm"", ""height"": ""74 cm""}",downloaded-files\桌子書桌\fi-dining-tables\02 - LISABO Table - ash veneer 105 cm.glb,https://www.ikea.com/fi/en/p/lisabo-table-ash-veneer-40416498/,https://web-api.ikea.com/dimma/assets/1.2/40416498/PS01_S01_NV01/iqp1/glb/40416498_PS01_S01_NV01_iqp1_v1.4.11_acd74997969b5beaf3d7c41dd0123bf0.glb?cn=pip
3,VIHALS Table - white/white 107 cm,white,"{""width"": ""56 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\03 - VIHALS Table - whitewhite 107 cm.glb,https://www.ikea.com/fi/en/p/vihals-table-white-white-s49589970/,https://web-api.ikea.com/dimma/assets/geomagical/49589970/PS01_S01_NV_01/simple/glb/1b3d5b002b41eb6af179d290c56136d2-G-49589970-4930c699f8704e1b5a144a062e339352e31245f6-simple.glb?cn=pip
4,PINNTORP Table - light brown stained/white stained pine 85 cm,"brown, white","{""width"": ""86 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\04 - PINNTORP Table - light brown stainedwhite stained pine 85 cm.glb,https://www.ikea.com/fi/en/p/pinntorp-table-light-brown-stained-white-stained-pine-30637834/,https://web-api.ikea.com/dimma/assets/1.2/30637834/PS01_S01_NV01/rqp1/glb/c591d889abb3a09ae77d4a750f97554b-30637834_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
5,VIHALS Table - white/white 74x74 cm,white,"{""width"": ""74 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\05 - VIHALS Table - whitewhite 74x74 cm.glb,https://www.ikea.com/fi/en/p/vihals-table-white-white-s59578508/,https://web-api.ikea.com/dimma/assets/geomagical/59578508/PS01_S01_NV_01/simple/glb/2a1e6fb415429b5cd07b745dac47a57d-G-59578508-5701a96fc7c81ea5d5649c683c263d85e4e72c26-simple.glb?cn=pip
6,NÄSINGE Table - white 80x60 cm,white,"{""width"": ""60 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\06 - NÄSINGE Table - white 80x60 cm.glb,https://www.ikea.com/fi/en/p/naesinge-table-white-60587535/,https://web-api.ikea.com/dimma/assets/1.2/60587535/PS01_S01_NV01/rqp1/glb/acaaaf76801a0dff2be6f9fc4f91d648-60587535_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
7,VIHALS Table - white/white 125x74 cm,white,"{""width"": ""74 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\07 - VIHALS Table - whitewhite 125x74 cm.glb,https://www.ikea.com/fi/en/p/vihals-table-white-white-s39578509/,https://web-api.ikea.com/dimma/assets/geomagical/39578509/PS01_S01_NV_01/simple/glb/384e5abf99e14b48a95ac4394fa969d4-G-39578509-f11740a98652057bf4905db8d2375fb912e18795-simple.glb?cn=pip
8,VIHALS Table - green/green 125x74 cm,green,"{""width"": ""74 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\08 - VIHALS Table - greengreen 125x74 cm.glb,https://www.ikea.com/fi/en/p/vihals-table-green-green-s19578510/,https://web-api.ikea.com/dimma/assets/geomagical/19578510/PS01_S01_NV_01/simple/glb/665cf8e8809438f7c2557579b989501d-G-19578510-8e592885c38278c9e80433d1c66c2b2a48b86280-simple.glb?cn=pip
9,VIHALS Table - white/green 125x74 cm,"green, white","{""width"": ""74 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\09 - VIHALS Table - whitegreen 125x74 cm.glb,https://www.ikea.com/fi/en/p/vihals-table-white-green-s79578512/,https://web-api.ikea.com/dimma/assets/geomagical/79578512/PS01_S01_NV_01/simple/glb/80df835e7b431267bad6c171d745a353-G-79578512-c7cfacbf394efc0db9323382d03ef1bd23387d1c-simple.glb?cn=pip
10,SKÅLSTA Table - walnut effect/U-shaped black-grey 140x80 cm,"brown, grey, black","{""width"": ""80 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\10 - SKÅLSTA Table - walnut effectU-shaped black-grey 140x80 cm.glb,https://www.ikea.com/fi/en/p/skalsta-table-walnut-effect-u-shaped-black-grey-s59608119/,https://web-api.ikea.com/dimma/assets/geomagical/59608119/PS01_S01_NV_01/simple/glb_draco/ddcfcfb653cc15571e75f355be3c6113-G-59608119-b0f02a9b5702e2db521d21351c6c2fc27fafc5b7-simple+draco.glb?cn=pip
11,STOCKHOLM 2025 Table - oak veneer/oak veneer 115 cm,brown,"{""width"": ""127 cm"", ""height"": ""75 cm""}",downloaded-files\桌子書桌\fi-dining-tables\11 - STOCKHOLM 2025 Table - oak veneeroak veneer 115 cm.glb,https://www.ikea.com/fi/en/p/stockholm-2025-table-oak-veneer-oak-veneer-s49579985/,https://web-api.ikea.com/dimma/assets/geomagical/49579985/PS01_S01_NV_01/simple/glb_draco/e7060f5c59ad67fa3d47bf69eacd474a-G-49579985-eade4aca26ec7c26930d73d6bd86a258dc2213f5-simple+draco.glb?cn=pip
