index,name,color,dimensions,filename,product_url,glb_url
1,RÄVSTEN Bar stool - counter height rubberwood 62 cm,beige,"{""width"": ""35 cm"", ""height"": ""62 cm"", ""seat_height"": ""62 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\01 - RÄVSTEN Bar stool - counter height rubberwood 62 cm.glb,https://www.ikea.com/fi/en/p/raevsten-bar-stool-counter-height-rubberwood-30597055/,https://web-api.ikea.com/dimma/assets/geomagical/30597055/PS01_S01_NV_01/simple/glb_draco/bcdd745608638e3daf6cb956b455eb9a-G-30597055-43d6def77e22ba10f3f74d43c9f7688553db109e-simple+draco.glb?cn=pip
2,RÄVSTEN Bar stool - counter height black 62 cm,black,"{""width"": ""35 cm"", ""height"": ""62 cm"", ""seat_height"": ""62 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\02 - RÄVSTEN Bar stool - counter height black 62 cm.glb,https://www.ikea.com/fi/en/p/raevsten-bar-stool-counter-height-black-70602069/,https://web-api.ikea.com/dimma/assets/geomagical/70602069/PS01_S01_NV_01/simple/glb_draco/8c33ee7941c960a21e242616e97f16a7-G-70602069-1905f81f1999a8788a442e4e739284c183b3c7bd-simple+draco.glb?cn=pip
3,STIG Bar stool with backrest - counter height black/black 63 cm,black,"{""width"": ""40 cm"", ""depth"": ""42 cm"", ""height"": ""90 cm"", ""seat_width"": ""36 cm"", ""seat_depth"": ""34 cm"", ""seat_height"": ""63 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\03 - STIG Bar stool with backrest - counter height blackblack 63 cm.glb,https://www.ikea.com/fi/en/p/stig-bar-stool-with-backrest-counter-height-black-black-30498418/,https://web-api.ikea.com/dimma/assets/1.2/30498418/PS01_S01_NV01/iqp1/glb/e2f6430cbd884bb5ad420956919e3fc5-30498418_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip
4,ROSENTORP Bar stool with backrest - counter height/white 63 cm,white,"{""width"": ""40 cm"", ""depth"": ""45 cm"", ""height"": ""92 cm"", ""seat_width"": ""40 cm"", ""seat_depth"": ""36 cm"", ""seat_height"": ""63 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\04 - ROSENTORP Bar stool with backrest - counter heightwhite 63 cm.glb,https://www.ikea.com/fi/en/p/rosentorp-bar-stool-with-backrest-counter-height-white-50618194/,https://web-api.ikea.com/dimma/assets/1.2/50618194/PS01_S01_NV01/rqp1/glb/559e1f38b0d985b1c558803dc3c77b8b-50618194_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
5,ROSENTORP Bar stool with backrest - counter height/black 63 cm,black,"{""width"": ""40 cm"", ""depth"": ""45 cm"", ""height"": ""92 cm"", ""seat_width"": ""40 cm"", ""seat_depth"": ""36 cm"", ""seat_height"": ""63 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\05 - ROSENTORP Bar stool with backrest - counter heightblack 63 cm.glb,https://www.ikea.com/fi/en/p/rosentorp-bar-stool-with-backrest-counter-height-black-10619930/,https://web-api.ikea.com/dimma/assets/1.2/10619930/PS01_S01_NV01/rqp1/glb/16157290cb2effc9eb451bfdd893754f-10619930_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,NORBERG Wall-mounted drop-leaf table - white 74x60 cm,white,"{""width"": ""74 cm"", ""depth"": ""60 cm"", ""height"": ""6 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\06 - NORBERG Wall-mounted drop-leaf table - white 74x60 cm.glb,https://www.ikea.com/fi/en/p/norberg-wall-mounted-drop-leaf-table-white-30180504/,https://web-api.ikea.com/dimma/assets/1.2/30180504/PS01_S01_NV01/iqp1/glb/308ea0f7c0664603b2ece97cf36dedc7-30180504_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip
7,NORDVIKEN Bar stool with backrest - black 75 cm,black,"{""width"": ""40 cm"", ""depth"": ""48 cm"", ""height"": ""110 cm"", ""seat_width"": ""40 cm"", ""seat_depth"": ""34 cm"", ""seat_height"": ""75 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\07 - NORDVIKEN Bar stool with backrest - black 75 cm.glb,https://www.ikea.com/fi/en/p/nordviken-bar-stool-with-backrest-black-80369112/,https://web-api.ikea.com/dimma/assets/1.2/80369112/PS01_S01_NV01/iqp1/glb/aa01e9d637064e8d9e2665ad7d6cc83c-80369112_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip
8,NORDVIKEN Bar stool with backrest - white 75 cm,white,"{""width"": ""40 cm"", ""depth"": ""48 cm"", ""height"": ""110 cm"", ""seat_width"": ""40 cm"", ""seat_depth"": ""34 cm"", ""seat_height"": ""75 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\08 - NORDVIKEN Bar stool with backrest - white 75 cm.glb,https://www.ikea.com/fi/en/p/nordviken-bar-stool-with-backrest-white-60369113/,https://web-api.ikea.com/dimma/assets/1.2/60369113/PS01_S01_NV01/iqp1/glb/631a6ec3626b4bfca9f353ba200af346-60369113_PS01_S01_NV01_iqp1_v1.4.11.glb?cn=pip
9,DALFRED Bar stool - black 63-74 cm,black,"{""width"": ""50 cm"", ""depth"": ""50 cm"", ""height"": ""63 cm"", ""seat_height"": ""63 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\09 - DALFRED Bar stool - black 63-74 cm.glb,https://www.ikea.com/fi/en/p/dalfred-bar-stool-black-60155602/,https://web-api.ikea.com/dimma/assets/1.2/60155602/PS01_S01_NV01/iqp1/glb/ac886af0de9449d6b89c01e16f33770f-60155602_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
10,LILLÅNÄS Bar stool - chrome-plated/Gunnared dark grey 76 cm,grey,"{""width"": ""47 cm"", ""depth"": ""52 cm"", ""height"": ""107 cm"", ""seat_width"": ""40 cm"", ""seat_depth"": ""35 cm"", ""seat_height"": ""76 cm""}",downloaded-files\椅子凳子長凳\fi-stools-benches\10 - LILLÅNÄS Bar stool - chrome-platedGunnared dark grey 76 cm.glb,https://www.ikea.com/fi/en/p/lillanaes-bar-stool-chrome-plated-gunnared-dark-grey-70534792/,https://web-api.ikea.com/dimma/assets/1.2/70534792/PS01_S01_NV01/rqp1/glb/f235be3996eb4c90820753cb92901296-70534792_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
