index,name,color,dimensions,filename,product_url,glb_url
1,BISSA Shoe cabinet with 3 compartments - white 49x28x135 cm,white,"{""width"": ""49 cm"", ""depth"": ""28 cm"", ""height"": ""135 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\01 - BISSA Shoe cabinet with 3 compartments - white 49x28x135 cm.glb,https://www.ikea.com/fi/en/p/bissa-shoe-cabinet-with-3-compartments-white-10530259/,https://web-api.ikea.com/dimma/assets/1.2/10530259/PS01_S01_NV01/rqp1/glb/b445891d9d394432b5a52a5d3c0aee98-10530259_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
2,STÄLL Shoe cabinet with 4 compartments - white 96x17x90 cm,white,"{""width"": ""96 cm"", ""depth"": ""17 cm"", ""height"": ""90 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\02 - STÄLL Shoe cabinet with 4 compartments - white 96x17x90 cm.glb,https://www.ikea.com/fi/en/p/staell-shoe-cabinet-with-4-compartments-white-60530266/,https://web-api.ikea.com/dimma/assets/1.2/60530266/PS01_S01_NV01/rqp1/glb/9bd131f18776421abe9fb1a1fae89aca-60530266_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
3,BRUSALI Shoe cabinet with 3 compartments - white 61x30x130 cm,white,"{""width"": ""61 cm"", ""depth"": ""30 cm"", ""height"": ""130 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\03 - BRUSALI Shoe cabinet with 3 compartments - white 61x30x130 cm.glb,https://www.ikea.com/fi/en/p/brusali-shoe-cabinet-with-3-compartments-white-80480393/,https://web-api.ikea.com/dimma/assets/1.2/80480393/PS01_S01_NV01/iqp1/glb/536a2a11111e4ec1adc58570d90e5649-80480393_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
4,BISSA Shoe cabinet with 2 compartments - white 49x28x93 cm,white,"{""width"": ""49 cm"", ""depth"": ""28 cm"", ""height"": ""93 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\04 - BISSA Shoe cabinet with 2 compartments - white 49x28x93 cm.glb,https://www.ikea.com/fi/en/p/bissa-shoe-cabinet-with-2-compartments-white-70530256/,https://web-api.ikea.com/dimma/assets/geomagical/50242737/PS01_S01_NV_01/simple/glb/1178d58c388fe5b8c3428da081bdf77b-G-50242737-50e04ca353cbd148deca2d20ef5c8fc3e07d44b0-simple.glb?cn=pip
5,GULLABERG Shoe cabinet with 4 compartments - white 105x22x107 cm,,"{""width"": ""105 cm"", ""depth"": ""22 cm"", ""height"": ""107 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\05 - GULLABERG Shoe cabinet with 4 compartments - white 105x22x107 cm.glb,https://www.ikea.com/fi/en/p/gullaberg-shoe-cabinet-with-4-compartments-white-50587710/,https://web-api.ikea.com/dimma/assets/1.2/50587710/PS01_S01_NV01/rqp1/glb/1beef6ffd0bff9090d291180b7d805ce-50587710_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,GULLABERG Shoe cabinet with 4 compartments - grey 105x22x107 cm,,"{""width"": ""105 cm"", ""depth"": ""22 cm"", ""height"": ""107 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\06 - GULLABERG Shoe cabinet with 4 compartments - grey 105x22x107 cm.glb,https://www.ikea.com/fi/en/p/gullaberg-shoe-cabinet-with-4-compartments-grey-10587707/,https://web-api.ikea.com/dimma/assets/1.2/10587707/LPT_S01_NV01/rqp1/glb/e0bfc0f2616e3ec307024004adc89327-10587707_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
7,BISSA Shoe cabinet with 2 compartments - black-brown 49x28x93 cm,"brown, black","{""width"": ""49 cm"", ""depth"": ""28 cm"", ""height"": ""93 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\07 - BISSA Shoe cabinet with 2 compartments - black-brown 49x28x93 cm.glb,https://www.ikea.com/fi/en/p/bissa-shoe-cabinet-with-2-compartments-black-brown-20530206/,https://web-api.ikea.com/dimma/assets/1.2/20530206/PS01_S01_NV01/rqp1/glb/797e45341ad44ac2903170da772e89a4-20530206_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
8,MACKAPÄR Shoe cabinet/storage - white 80x35x102 cm,white,"{""width"": ""80 cm"", ""depth"": ""35 cm"", ""height"": ""102 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\08 - MACKAPÄR Shoe cabinetstorage - white 80x35x102 cm.glb,https://www.ikea.com/fi/en/p/mackapaer-shoe-cabinet-storage-white-50334751/,https://web-api.ikea.com/dimma/assets/1.2/50334751/PS01_S01_NV01/iqp1/glb/50334751_PS01_S01_NV01_IQP1_2.0_431eaafa62ea747d02d5e502cf346314.glb?cn=pip
9,MURVEL Shoehorn - grey 61 cm,grey,"{""width"": ""5 cm"", ""depth"": ""8 cm"", ""height"": ""5 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\09 - MURVEL Shoehorn - grey 61 cm.glb,https://www.ikea.com/fi/en/p/murvel-shoehorn-grey-40611367/,https://web-api.ikea.com/dimma/assets/1.2/40611367/PS01_S01_NV01/rqp1/glb/ebaf0075bdd02e651330ebd754b9e11f-40611367_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,STÄLL Shoe cabinet with 3 compartments - white 79x29x148 cm,white,"{""width"": ""79 cm"", ""depth"": ""29 cm"", ""height"": ""148 cm""}",downloaded-files\衣櫃衣物收納\fi-clothes-racks\10 - STÄLL Shoe cabinet with 3 compartments - white 79x29x148 cm.glb,https://www.ikea.com/fi/en/p/staell-shoe-cabinet-with-3-compartments-white-50530262/,https://web-api.ikea.com/dimma/assets/1.2/50530262/PS01_S01_NV01/rqp1/glb/57e41d3815d5435d9317486e5c69eb52-50530262_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
