index,name,color,dimensions,filename,product_url,glb_url
1,BRIMNES Wardrobe with 3 doors - white 117x50x190 cm,white,"{""width"": ""117 cm"", ""depth"": ""50 cm"", ""height"": ""190 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\01 - BRIMNES Wardrobe with 3 doors - white 117x50x190 cm.glb,https://www.ikea.com/fi/en/p/brimnes-wardrobe-with-3-doors-white-40407922/,https://web-api.ikea.com/dimma/assets/1.2/40407922/PS01_S01_NV01/isp1/glb_draco/40407922_PS01_S01_NV01_ISP1_2.0_7de5f26a73c44b79897bf9738b095bc0.glb?cn=pip
2,KLEPPSTAD Wardrobe with 3 doors - white 117x55x176 cm,white,"{""width"": ""117 cm"", ""depth"": ""55 cm"", ""height"": ""176 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\02 - KLEPPSTAD Wardrobe with 3 doors - white 117x55x176 cm.glb,https://www.ikea.com/fi/en/p/kleppstad-wardrobe-with-3-doors-white-00441758/,https://web-api.ikea.com/dimma/assets/1.2/00441758/PS01_S01_NV01/iqp1/glb/00441758_PS01_S01_NV01_IQP1_2.0_7b17687c2ccb4775a25777f35e583269.glb?cn=pip
3,BRIMNES Wardrobe with 2 doors - white 78x50x190 cm,white,"{""width"": ""78 cm"", ""depth"": ""50 cm"", ""height"": ""190 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\03 - BRIMNES Wardrobe with 2 doors - white 78x50x190 cm.glb,https://www.ikea.com/fi/en/p/brimnes-wardrobe-with-2-doors-white-40400478/,https://web-api.ikea.com/dimma/assets/1.2/40400478/PS01_S01_NV01/isp1/glb_draco/40400478_PS01_S01_NV01_ISP1_2.0_d333cf66ad38404ea8456c32934284ee.glb?cn=pip
4,KLEPPSTAD Wardrobe with 2 doors - white 79x55x176 cm,white,"{""width"": ""79 cm"", ""depth"": ""55 cm"", ""height"": ""176 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\04 - KLEPPSTAD Wardrobe with 2 doors - white 79x55x176 cm.glb,https://www.ikea.com/fi/en/p/kleppstad-wardrobe-with-2-doors-white-80437234/,https://web-api.ikea.com/dimma/assets/1.2/80437234/PS01_S01_NV01/iqp1/glb/8d32d9fc75874f2f9754367a2a669e11-80437234_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
5,RAKKESTAD Wardrobe with 3 doors - black-brown 117x176 cm,"brown, black","{""width"": ""117 cm"", ""depth"": ""55 cm"", ""height"": ""176 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\05 - RAKKESTAD Wardrobe with 3 doors - black-brown 117x176 cm.glb,https://www.ikea.com/fi/en/p/rakkestad-wardrobe-with-3-doors-black-brown-70453762/,https://web-api.ikea.com/dimma/assets/1.2/70453762/PS01_S01_NV01/iqp1/glb/21a52c27ed5742df99adf7cfc7ec6e61-70453762_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
6,SUNDVIK Wardrobe - white 80x50x171 cm,white,"{""width"": ""80 cm"", ""depth"": ""50 cm"", ""height"": ""171 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\06 - SUNDVIK Wardrobe - white 80x50x171 cm.glb,https://www.ikea.com/fi/en/p/sundvik-wardrobe-white-10269696/,https://web-api.ikea.com/dimma/assets/1.2/10269696/PS01_S01_NV01/iqp1/glb/a10c61d1c86b4d7e899d46b249d05d89-10269696_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
7,KLEPPSTAD Wardrobe with sliding doors - white 117x55x176 cm,white,"{""width"": ""117 cm"", ""depth"": ""55 cm"", ""height"": ""176 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\07 - KLEPPSTAD Wardrobe with sliding doors - white 117x55x176 cm.glb,https://www.ikea.com/fi/en/p/kleppstad-wardrobe-with-sliding-doors-white-90437238/,https://web-api.ikea.com/dimma/assets/1.2/90437238/PS01_S01_NV01/iqp1/glb/3dd9d9b11b7a421594c1158cd5ee6885-90437238_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
8,PAX / BERGSBO Wardrobe - dark grey/dark grey 150x60x201 cm,grey,"{""width"": ""150.0 cm"", ""depth"": ""60.0 cm"", ""height"": ""201.2 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\08 - PAX BERGSBO Wardrobe - dark greydark grey 150x60x201 cm.glb,https://www.ikea.com/fi/en/p/pax-bergsbo-wardrobe-dark-grey-dark-grey-s39501435/,https://web-api.ikea.com/dimma/assets/geomagical/39501435/PS01_S01_NV_01/simple/glb_draco/9580aadedb8983c521bedde8fa47d0ae-G-39501435-cc4308a044e4abff6802991dd15aac0bcefb7dbf-simple+draco.glb?cn=pip
9,PAX / BERGSBO Wardrobe - white/white 150x60x236 cm,white,"{""width"": ""150.0 cm"", ""depth"": ""60.0 cm"", ""height"": ""236.4 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\09 - PAX BERGSBO Wardrobe - whitewhite 150x60x236 cm.glb,https://www.ikea.com/fi/en/p/pax-bergsbo-wardrobe-white-white-s19127297/,https://web-api.ikea.com/dimma/assets/1.2/19127297/PS01_S01_NV01/isp1/glb/19127297_PS01_S01_NV01_ISP1_2.0_b4137f0efda74ef98dce4935be2fef03.glb?cn=pip
10,PAX / BERGSBO Wardrobe - dark grey/dark grey 150x60x236 cm,grey,"{""width"": ""150.0 cm"", ""depth"": ""60.0 cm"", ""height"": ""236.4 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\10 - PAX BERGSBO Wardrobe - dark greydark grey 150x60x236 cm.glb,https://www.ikea.com/fi/en/p/pax-bergsbo-wardrobe-dark-grey-dark-grey-s99501437/,https://web-api.ikea.com/dimma/assets/geomagical/99501437/PS01_S01_NV_01/simple/glb/397ccda4cb154e6f26cd735e634389ef-G-99501437-487c81537f8c37aff67fe807f91379efd0263be5-simple.glb?cn=pip
11,LASTARE Wardrobe combination - white 60x42x201 cm,,"{""width"": ""60 cm"", ""depth"": ""42 cm"", ""height"": ""201 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\11 - LASTARE Wardrobe combination - white 60x42x201 cm.glb,https://www.ikea.com/fi/en/p/lastare-wardrobe-combination-white-s79613469/,https://web-api.ikea.com/dimma/assets/geomagical/79613469/PS01_S01_NV_01/simple/glb_draco/4ccc38899a298cdb3dd3d7afaae57e44-G-79613469-fab2d86617ae6ca6a42cd367048a1ae5f32e1e75-simple+draco.glb?cn=pip
12,GÖMPYSSLING LED lighting with sensor - white/battery-operated 7 cm,white,"{""width"": ""7 cm"", ""depth"": ""19 mm"", ""height"": ""19 mm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\12 - GÖMPYSSLING LED lighting with sensor - whitebattery-operated 7 cm.glb,https://www.ikea.com/fi/en/p/goempyssling-led-lighting-with-sensor-white-battery-operated-80602375/,https://web-api.ikea.com/dimma/assets/1.2/80602375/PS01_S01_NV01/rqp1/glb/3398feb7b9391cea6cdecc6d92b5ec77-80602375_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
13,ANKARUDDEN Wardrobe with sliding doors - oak effect 98x60x190 cm,brown,"{""width"": ""98 cm"", ""depth"": ""60 cm"", ""height"": ""190 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\13 - ANKARUDDEN Wardrobe with sliding doors - oak effect 98x60x190 cm.glb,https://www.ikea.com/fi/en/p/ankarudden-wardrobe-with-sliding-doors-oak-effect-50626250/,https://web-api.ikea.com/dimma/assets/1.2/50626250/PS01_S01_NV01/rqp1/glb/3b7d470ac5c061a8b432093ef3256dbe-50626250_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
14,PAX / FORSAND Wardrobe combination - white/white 150x60x236 cm,white,"{""width"": ""150.0 cm"", ""depth"": ""60.0 cm"", ""height"": ""236.4 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\14 - PAX FORSAND Wardrobe combination - whitewhite 150x60x236 cm.glb,https://www.ikea.com/fi/en/p/pax-forsand-wardrobe-combination-white-white-s79494305/,https://web-api.ikea.com/dimma/assets/geomagical/79429715/PS01_S01_NV_01/simple/glb_draco/9c36e487f1184577ac37d1ce63219902-G-79429715-db76a3b961b4b9182d87a749ead3321ed59a0823-simple+draco.glb?cn=pip
15,PAX / FORSAND Wardrobe combination - white/white stained oak effect 150x60x201 cm,"beige, white","{""width"": ""150.0 cm"", ""depth"": ""60.0 cm"", ""height"": ""201.2 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\15 - PAX FORSAND Wardrobe combination - whitewhite stained oak effect 150x60x201 cm.glb,https://www.ikea.com/fi/en/p/pax-forsand-wardrobe-combination-white-white-stained-oak-effect-s99478111/,https://web-api.ikea.com/dimma/assets/geomagical/99478111/PS01_S01_NV_01/simple/glb/3feece70e1e70189ea7eeccaeb457f58-G-99478111-26840b34da037209632fd0e305d3fed2f3a778d0-simple.glb?cn=pip
16,PAX / FORSAND Wardrobe combination - white stained oak effect/white stained oak effect 150x60x236 cm,beige,"{""width"": ""150.0 cm"", ""depth"": ""60.0 cm"", ""height"": ""236.4 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\16 - PAX FORSAND Wardrobe combination - white stained oak effectwhite stained oak effect 150x60x236 cm.glb,https://www.ikea.com/fi/en/p/pax-forsand-wardrobe-combination-white-stained-oak-effect-white-stained-oak-effect-s89429710/,https://web-api.ikea.com/dimma/assets/1.2/89429710/PS01_S01_NV01/isp1/glb/89429710_PS01_S01_NV01_ISP1_2.0_a7da86e84486450eb4598c051c885973.glb?cn=pip
17,RÅDMANSÖ Wardrobe - brown walnut effect 118x64x190 cm,brown,"{""width"": ""118 cm"", ""depth"": ""64 cm"", ""height"": ""190 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\17 - RÅDMANSÖ Wardrobe - brown walnut effect 118x64x190 cm.glb,https://www.ikea.com/fi/en/p/radmansoe-wardrobe-brown-walnut-effect-70593606/,https://web-api.ikea.com/dimma/assets/1.2/70593606/PS01_S01_NV01/rqp1/glb/793f61bb6ef04800be8e380f492bac49-70593606_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
18,VISTHUS Wardrobe - grey/white 122x59x216 cm,"grey, white","{""width"": ""122 cm"", ""depth"": ""59 cm"", ""height"": ""216 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\18 - VISTHUS Wardrobe - greywhite 122x59x216 cm.glb,https://www.ikea.com/fi/en/p/visthus-wardrobe-grey-white-90493446/,https://web-api.ikea.com/dimma/assets/1.2/50347616/PS01_S01_NV01/isp1/glb_draco/50347616_PS01_S01_NV01_ISP1_2.0_f05d701bf4a24859b335069dbf93fbfb.glb?cn=pip
19,JONAXEL Storage combination - white 25x51x70 cm,white,"{""width"": ""25 cm"", ""depth"": ""51 cm"", ""height"": ""70 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\19 - JONAXEL Storage combination - white 25x51x70 cm.glb,https://www.ikea.com/fi/en/p/jonaxel-storage-combination-white-s89297130/,https://web-api.ikea.com/dimma/assets/1.2/89297130/PS01_S01_NV01/isp1/glb_draco/89297130_PS01_S01_NV01_ISP1_2.0_c11aef47dc0945d39941a406fb6663ff.glb?cn=pip
20,JONAXEL Storage combination - white 50x51x70 cm,white,"{""width"": ""50 cm"", ""depth"": ""51 cm"", ""height"": ""70 cm""}",downloaded-files\衣櫃衣物收納\fi-wardrobes\20 - JONAXEL Storage combination - white 50x51x70 cm.glb,https://www.ikea.com/fi/en/p/jonaxel-storage-combination-white-s09297134/,https://web-api.ikea.com/dimma/assets/1.2/09297134/PS01_S01_NV01/isp1/glb_draco/09297134_PS01_S01_NV01_ISP1_2.0_2b9a8330bead4d54afcb7d68c2a38012.glb?cn=pip
