index,name,color,dimensions,filename,product_url,glb_url
1,BORRBY Lantern for tealight - in/outdoor black 20 cm,black,"{""width"": ""11 cm"", ""height"": ""20 cm""}",downloaded-files\鏡子\fi-standing-mirrors\01 - BORRBY Lantern for tealight - inoutdoor black 20 cm.glb,https://www.ikea.com/fi/en/p/borrby-lantern-for-tealight-in-outdoor-black-60608854/,https://web-api.ikea.com/dimma/assets/1.2/60608854/PS01_S01_NV01/rqp1/glb/cd9ee58f1d0955d7bfe6167b96cdcca6-60608854_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
2,BERGGRAN Lantern for pillar candle - in/outdoor anthracite 34 cm,"grey, black","{""width"": ""12.5 cm"", ""height"": ""34 cm""}",downloaded-files\鏡子\fi-standing-mirrors\02 - BERGGRAN Lantern for pillar candle - inoutdoor anthracite 34 cm.glb,https://www.ikea.com/fi/en/p/berggran-lantern-for-pillar-candle-in-outdoor-anthracite-90559404/,https://web-api.ikea.com/dimma/assets/1.2/90559404/PS01_S01_NV01/rqp1/glb/6a5c1733c6f45e9a957c78f7358033fd-90559404_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
3,POMP Vase/lantern - clear glass 18 cm,white,"{""height"": ""18 cm""}",downloaded-files\鏡子\fi-standing-mirrors\03 - POMP Vaselantern - clear glass 18 cm.glb,https://www.ikea.com/fi/en/p/pomp-vase-lantern-clear-glass-30377478/,https://web-api.ikea.com/dimma/assets/1.2/80326537/PS01_S01_NV01/iqp1/glb/80326537_PS01_S01_NV01_IQP1_2.0_8fc1bce96d044ea0bc028d2aa0d8df48.glb?cn=pip
4,"KRINGSYNT Lantern for tealight, in/outdoor - white 21 cm",white,"{""width"": ""11 cm"", ""height"": ""21 cm""}","downloaded-files\鏡子\fi-standing-mirrors\04 - KRINGSYNT Lantern for tealight, inoutdoor - white 21 cm.glb",https://www.ikea.com/fi/en/p/kringsynt-lantern-for-tealight-in-outdoor-white-70509702/,https://web-api.ikea.com/dimma/assets/geomagical/70509702/PS01_S01_NV_01/simple/glb_draco/63b671dad33641aebdf53b02a24c3bef-G-70509702-49ae33cba1c65247b51f5b5efed90fcec212fdbe-simple+draco.glb?cn=pip
5,"FLODSVALA Lantern for tealight, in/outdoor - off-white 21 cm",white,"{""width"": ""11 cm"", ""height"": ""21 cm""}","downloaded-files\鏡子\fi-standing-mirrors\05 - FLODSVALA Lantern for tealight, inoutdoor - off-white 21 cm.glb",https://www.ikea.com/fi/en/p/flodsvala-lantern-for-tealight-in-outdoor-off-white-30609355/,https://web-api.ikea.com/dimma/assets/1.2/30609355/PS01_S01_NV01/rqp1/glb/35fd967ebb7be60392d6face208a8df8-30609355_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
6,PÅVEFINK Lantern for pillar candle - bamboo 33 cm,brown,"{""height"": ""33 cm""}",downloaded-files\鏡子\fi-standing-mirrors\06 - PÅVEFINK Lantern for pillar candle - bamboo 33 cm.glb,https://www.ikea.com/fi/en/p/pavefink-lantern-for-pillar-candle-bamboo-80610002/,https://web-api.ikea.com/dimma/assets/1.2/80610002/PS01_S01_NV01/rqp1/glb/e6a9a85e204995534f12d47126f3ac5c-80610002_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
7,"TOFSAND Lantern for tealight, in/outdoor - yellow 21 cm",yellow,"{""height"": ""21 cm""}","downloaded-files\鏡子\fi-standing-mirrors\07 - TOFSAND Lantern for tealight, inoutdoor - yellow 21 cm.glb",https://www.ikea.com/fi/en/p/tofsand-lantern-for-tealight-in-outdoor-yellow-50619631/,https://web-api.ikea.com/dimma/assets/geomagical/50619631/PS01_S01_NV_01/simple/glb_draco/12d78a97734becc7139581897f82965f-G-50619631-3def08ebcac613f73e090a68c07552cc29e2aef2-simple+draco.glb?cn=pip
8,SOLUPPGÅNG LED lantern - outdoor battery-operated/dimmable,,"{""width"": ""13 cm"", ""height"": ""235 mm""}",downloaded-files\鏡子\fi-standing-mirrors\08 - SOLUPPGÅNG LED lantern - outdoor battery-operateddimmable.glb,https://www.ikea.com/fi/en/p/soluppgang-led-lantern-outdoor-battery-operated-dimmable-20621273/,https://web-api.ikea.com/dimma/assets/geomagical/20621273/PS01_S01_NV_01/simple/glb/03d0ffe36a6af0d3764760a869ad2811-G-20621273-db9f8ace74e2a137b1cd2f68009970488daefb48-simple.glb?cn=pip
9,PÅVEFINK Lantern for pillar candle - bamboo 25 cm,brown,"{""height"": ""25 cm""}",downloaded-files\鏡子\fi-standing-mirrors\09 - PÅVEFINK Lantern for pillar candle - bamboo 25 cm.glb,https://www.ikea.com/fi/en/p/pavefink-lantern-for-pillar-candle-bamboo-60609976/,https://web-api.ikea.com/dimma/assets/1.2/60609976/PS01_S01_NV01/rqp1/glb/471c9e813f4e0b59200688141753094d-60609976_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
10,BORRBY Lantern for tealight - in/outdoor white 20 cm,white,"{""width"": ""11 cm"", ""height"": ""20 cm""}",downloaded-files\鏡子\fi-standing-mirrors\10 - BORRBY Lantern for tealight - inoutdoor white 20 cm.glb,https://www.ikea.com/fi/en/p/borrby-lantern-for-tealight-in-outdoor-white-10608856/,https://web-api.ikea.com/dimma/assets/1.2/10608856/PS01_S01_NV01/rqp1/glb/00cfacf82f40d99bf6023cd691dd4dee-10608856_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
11,HÖVISK Lantern for block candle - handmade bamboo 36 cm,beige,"{""width"": ""30 cm"", ""height"": ""36 cm""}",downloaded-files\鏡子\fi-standing-mirrors\11 - HÖVISK Lantern for block candle - handmade bamboo 36 cm.glb,https://www.ikea.com/fi/en/p/hoevisk-lantern-for-block-candle-handmade-bamboo-60531157/,https://web-api.ikea.com/dimma/assets/geomagical/60531157/PS01_S01_NV_01/simple/glb_draco/853f94b4f8ca11180e868e65d79d51fd-G-60531157-157c5ab83bd91320468e0e8a888b51b5e41114a6-simple+draco.glb?cn=pip
12,VÅRSYREN Lantern for tealight - brown-orange 12 cm,"brown, orange","{""width"": ""9 cm"", ""height"": ""12 cm""}",downloaded-files\鏡子\fi-standing-mirrors\12 - VÅRSYREN Lantern for tealight - brown-orange 12 cm.glb,https://www.ikea.com/fi/en/p/varsyren-lantern-for-tealight-brown-orange-50587442/,https://web-api.ikea.com/dimma/assets/1.2/50587442/PS01_S01_NV01/rqp1/glb/50587442_PS01_S01_NV01_RQP1_4.0_5f018216cdf4466fa919a3a6abde8b06.glb?cn=pip
13,VÅRSYREN Lantern for tealight - white 12 cm,white,"{""width"": ""9 cm"", ""height"": ""12 cm""}",downloaded-files\鏡子\fi-standing-mirrors\13 - VÅRSYREN Lantern for tealight - white 12 cm.glb,https://www.ikea.com/fi/en/p/varsyren-lantern-for-tealight-white-60581784/,https://web-api.ikea.com/dimma/assets/1.2/60581784/PS01_S01_NV01/rqp1/glb/60581784_PS01_S01_NV01_RQP1_4.0_69d0a5e2010d464a84fbc6ab542785e7.glb?cn=pip
14,"ENRUM Lantern for tealight, in/outdoor - white 22 cm",white,"{""width"": ""10 cm"", ""height"": ""22 cm""}","downloaded-files\鏡子\fi-standing-mirrors\14 - ENRUM Lantern for tealight, inoutdoor - white 22 cm.glb",https://www.ikea.com/fi/en/p/enrum-lantern-for-tealight-in-outdoor-white-90526357/,https://web-api.ikea.com/dimma/assets/1.2/90526357/PS01_S01_NV01/rqp1/glb/b4f6e4ecdd70432689bb62ccf41b8c3d-90526357_PS01_S01_NV01_RQP1_3.0.glb?cn=pip
