index,name,color,dimensions,filename,product_url,glb_url
1,BYÅS TV bench - high-gloss white 160x42x45 cm,white,"{""width"": ""160 cm"", ""depth"": ""42 cm"", ""height"": ""45 cm"", ""max_load/shelf"": ""10 kg""}",downloaded-files\電視影音家具\fi-tv-benches\01 - BYÅS TV bench - high-gloss white 160x42x45 cm.glb,https://www.ikea.com/fi/en/p/byas-tv-bench-high-gloss-white-80227797/,https://web-api.ikea.com/dimma/assets/1.2/80227797/PS01_S01_NV01/iqp1/glb/dfaa874b4dc14301ac645447869da992-80227797_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
2,BESTÅ TV bench with doors - white/Lappviken/Stubbarp white 120x42x48 cm,white,"{""width"": ""120 cm"", ""depth"": ""42 cm"", ""height"": ""48 cm"", ""max_load/shelf"": ""20 kg""}",downloaded-files\電視影音家具\fi-tv-benches\02 - BESTÅ TV bench with doors - whiteLappvikenStubbarp white 120x42x48 cm.glb,https://www.ikea.com/fi/en/p/besta-tv-bench-with-doors-white-lappviken-stubbarp-white-s29419436/,https://web-api.ikea.com/dimma/assets/1.2/29419436/PS01_S01_NV01/isp1/glb/29419436_PS01_S01_NV01_ISP1_2.0_11587b9e1b634bfcaae5b4d14727dea8.glb?cn=pip
3,BESTÅ TV bench with doors - black-brown/Lappviken walnut effect 180x42x38 cm,"brown, black","{""width"": ""180 cm"", ""depth"": ""42 cm"", ""height"": ""38 cm"", ""max_load/shelf"": ""20 kg""}",downloaded-files\電視影音家具\fi-tv-benches\03 - BESTÅ TV bench with doors - black-brownLappviken walnut effect 180x42x38 cm.glb,https://www.ikea.com/fi/en/p/besta-tv-bench-with-doors-black-brown-lappviken-walnut-effect-s09612171/,https://web-api.ikea.com/dimma/assets/geomagical/09612171/PS01_S01_NV_01/simple/glb/9913578527e9c685d38cb431b3469d54-G-09612171-d2257fc1e687ccb906c49946194d9699476708e7-simple.glb?cn=pip
4,LACK TV bench - white 120x35x36 cm,white,"{""width"": ""120 cm"", ""depth"": ""35 cm"", ""height"": ""36 cm"", ""max_load/shelf"": ""15 kg""}",downloaded-files\電視影音家具\fi-tv-benches\04 - LACK TV bench - white 120x35x36 cm.glb,https://www.ikea.com/fi/en/p/lack-tv-bench-white-30498890/,https://web-api.ikea.com/dimma/assets/1.2/30498890/PS01_S01_NV01/iqp1/glb/9c24e23e8c214edfa1f8f8fd5433874b-30498890_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
5,LACK TV bench - black-brown 120x35x36 cm,"brown, black","{""width"": ""120 cm"", ""depth"": ""35 cm"", ""height"": ""36 cm"", ""max_load/shelf"": ""15 kg""}",downloaded-files\電視影音家具\fi-tv-benches\05 - LACK TV bench - black-brown 120x35x36 cm.glb,https://www.ikea.com/fi/en/p/lack-tv-bench-black-brown-20498937/,https://web-api.ikea.com/dimma/assets/1.2/20498937/PS01_S01_NV01/iqp1/glb/3a8e749bc9a2494b9608e1681bdad0fe-20498937_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
6,STOCKHOLM 2025 TV bench with sliding doors - oak veneer 179x42x56 cm,beige,"{""width"": ""178.8 cm"", ""depth"": ""42.0 cm"", ""height"": ""56.2 cm"", ""max_load/shelf"": ""15 kg""}",downloaded-files\電視影音家具\fi-tv-benches\06 - STOCKHOLM 2025 TV bench with sliding doors - oak veneer 179x42x56 cm.glb,https://www.ikea.com/fi/en/p/stockholm-2025-tv-bench-with-sliding-doors-oak-veneer-40586508/,https://web-api.ikea.com/dimma/assets/1.2/40586508/LPT_S01_NV01/rqp1/glb/602421b17ebf67e7748b9816b59f0de1-40586508_LPT_S01_NV01_RQP1_4.0.glb?cn=pip
7,BESTÅ TV bench - white 180x40x38 cm,,"{""width"": ""180 cm"", ""depth"": ""40 cm"", ""height"": ""38 cm""}",downloaded-files\電視影音家具\fi-tv-benches\07 - BESTÅ TV bench - white 180x40x38 cm.glb,https://www.ikea.com/fi/en/p/besta-tv-bench-white-00474070/,https://web-api.ikea.com/dimma/assets/geomagical/00474070/PS01_S01_NV_01/simple/glb_draco/b86f30dc6c8e2613a6110bf35ec0e560-G-00474070-f941bed2f6415f6abaf58cd707d9c02853c3ed8d-simple+draco.glb?cn=pip
8,BESTÅ TV bench - white 180x40x64 cm,,"{""width"": ""180 cm"", ""depth"": ""40 cm"", ""height"": ""64 cm""}",downloaded-files\電視影音家具\fi-tv-benches\08 - BESTÅ TV bench - white 180x40x64 cm.glb,https://www.ikea.com/fi/en/p/besta-tv-bench-white-70299879/,https://web-api.ikea.com/dimma/assets/1.2/70299879/PS01_S01_NV01/rqp1/glb/bb3c20d5ed4946479d97dab9be7fef0d-70299879_PS01_S01_NV01_RQP1_4.0.glb?cn=pip
9,BESTÅ TV bench - white 120x40x64 cm,,"{""width"": ""120 cm"", ""depth"": ""40 cm"", ""height"": ""64 cm""}",downloaded-files\電視影音家具\fi-tv-benches\09 - BESTÅ TV bench - white 120x40x64 cm.glb,https://www.ikea.com/fi/en/p/besta-tv-bench-white-40299890/,https://web-api.ikea.com/dimma/assets/1.2/40299890/PS01_S01_NV01/iqp1/glb/c4b8277179974fe58595fa4d61a4199d-40299890_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
10,BRIMNES TV bench - black 180x41x53 cm,black,"{""width"": ""180 cm"", ""depth"": ""41 cm"", ""height"": ""53 cm""}",downloaded-files\電視影音家具\fi-tv-benches\10 - BRIMNES TV bench - black 180x41x53 cm.glb,https://www.ikea.com/fi/en/p/brimnes-tv-bench-black-70409873/,https://web-api.ikea.com/dimma/assets/1.2/70409873/PS01_S01_NV01/iqp1/glb/3dfcaff283cf452f87eca364a0881751-70409873_PS01_S01_NV01_IQP1_2.0.glb?cn=pip
